location,source,target
OutsideSOE.InteractTips,这个人在干嘛？,
OutsideSOE.Miki.1,嘿。,
OutsideSOE.Someone.2,我只是在热热身。,
OutsideSOE.Miki.3,（我还什么都没问……）,
OutsideSOE.Someone.4,要下雨了。,
OutsideSOE.Someone.5,我希望你能帮我做出决定。,
OutsideSOE.Someone.6,战火中奏响的米隆加。,
OutsideSOE.Someone.7,一步一步——,
OutsideSOE.Someone.8,踏着血污和火焰。,
OutsideSOE.Someone.9,我没有多少时间了。,
OutsideSOE.Miki.10.1,我好像知道你是谁了。,
OutsideSOE.Someone.11,你不知道。,
OutsideSOE.Someone.12,你从来都不知道我是谁。,
OutsideSOE.Someone.13,我自己也并不清楚。,
OutsideSOE.Miki.10.2,你是在和我说话吗？,
OutsideSOE.Someone.15,是的。,
OutsideSOE.Someone.16,可能你尚未知晓——,
OutsideSOE.Someone.17,或是沉浸在恋爱的欢欣中。,
OutsideSOE.Someone.18,或是徜徉于没有尽头的夏日。,
OutsideSOE.Someone.19,不会太久了。,
OutsideSOE.Someone.20,无论成败，世界会被永远改变。,
OutsideSOE.Miki.21,好吧。,
OutsideSOE.Miki.22.1,我可以再待一会儿。,
OutsideSOE.Miki.23,如果你只是想说说话，念念诗。,
OutsideSOE.Miki.24,我愿意听。,
OutsideSOE.Miki.25,谁都有这种时候。,
OutsideSOE.Miki.26,你把事情讲明白点。,
OutsideSOE.Miki.27,我说不定可以给你点——免费的建议。,
OutsideSOE.Miki.22.2,我得走了。,
OutsideSOE.Someone.29,……,
OutsideSOE.Someone.30,余烬中重生的天使。,
OutsideSOE.Someone.31,新世界里，被魔法染透的天空。,
OutsideSOE.Someone.32,再也没有神的信徒。,
OutsideSOE.Someone.33,为什么善良的人总要受苦？,
OutsideSOE.Someone.34,为什么拥有权势的人总要压榨别人？,
OutsideSOE.Miki.35.1,我不知道。,
OutsideSOE.Miki.35.2,社会就是这个样子。,
OutsideSOE.Miki.37,社会啊社会……,
OutsideSOE.Miki.38,你要来一根吗？,
OutsideSOE.Someone.39,不，谢谢。,
OutsideSOE.Miki.35.3,我觉得这不是你想问的问题。,
OutsideSOE.Someone.41,我会害怕。,
OutsideSOE.Someone.42,我很沉溺于过去。,
OutsideSOE.Miki.43,请说得直白一点。,
OutsideSOE.Someone.44,我不能告诉你更多。,
OutsideSOE.Someone.45,我不想把你卷进来。,
OutsideSOE.Miki.46,那你为什么要开口？,
OutsideSOE.Someone.47,……,
OutsideSOE.Someone.48,我和我的伙伴们，都在为了一个更好的世界而战斗。,
OutsideSOE.Someone.49,他们中的有些人牺牲了。,
OutsideSOE.Someone.50,我想沿着伙伴们的道路继续前进下去。,
OutsideSOE.Someone.51,这条路上尽是鲜血。,
OutsideSOE.Someone.52,会有更多人牵涉其中。,
OutsideSOE.Miki.53,这会达成你们的目的吗？,
OutsideSOE.Someone.54,可能会，我没有信心。,
OutsideSOE.Someone.55,还有一种办法。,
OutsideSOE.Someone.56,只要由我一个人来承担。,
OutsideSOE.Someone.57,我一个人就好。,
OutsideSOE.Someone.58,我来当背叛者。,
OutsideSOE.Miki.59,一个人真的可以做到吗？,
OutsideSOE.Someone.60,可以。,
OutsideSOE.Someone.61,告诉我吧。,
OutsideSOE.Someone.62,我应该怎么做？,
OutsideSOE.Miki.63.1,和同伴们一起。,
OutsideSOE.Someone.64,是吗……,
OutsideSOE.Someone.101,我不想再让任何人牺牲了。,
OutsideSOE.Miki.102,……,
OutsideSOE.Miki.103,我说实话，我有点不明白你。,
OutsideSOE.Miki.104,我没有遇到过什么崇高浪漫的事情。,
OutsideSOE.Miki.105,我见过最大的冲突是我同事和施工员打架。,
OutsideSOE.Someone.106,……,
OutsideSOE.Someone.107,你出手了吗？,
OutsideSOE.Miki.108,出手了。,
OutsideSOE.Miki.109,那个时候我必须捍卫建筑师的尊严。,
OutsideSOE.Miki.110,没有。,
OutsideSOE.Miki.111,我不想受伤。,
OutsideSOE.Miki.112,也不想留下什么案底。,
OutsideSOE.Miki.113,我在麻园本来就活得提心吊胆。,
OutsideSOE.Someone.114,我明白。,
OutsideSOE.Miki.115,当然了。,
OutsideSOE.Someone.116,当然了，你想用这个敷衍过去。,
OutsideSOE.Someone.117,没关系，我理解你。,
OutsideSOE.Someone.118,谢谢告诉我这些，Miki。,
OutsideSOE.Miki.119,哦，不客气。,
OutsideSOE.Miki.120,……,
OutsideSOE.Someone.121,……,
OutsideSOE.Miki.122,这话有点突然，你长得像我高中的一个同学。,
OutsideSOE.Miki.123,这是可以说的吗？,
OutsideSOE.Miki.124,听着有点像搭讪，不过我真的——,
OutsideSOE.Someone.125,我的容貌不重要。,
OutsideSOE.Someone.126,你已经忘记了，不必再费神想起。,
OutsideSOE.Someone.127,我已经明白要怎么做了，我该走了。,
OutsideSOE.Miki.128,（等等……他刚刚是不是叫了我的名字。）,
OutsideSOE.Someone.65,……,
OutsideSOE.Someone.66,月亮里诞生出的月亮。,
OutsideSOE.Someone.67,群星和月光会指引我们。,
OutsideSOE.Miki.63.2,独自承担。,
OutsideSOE.Miki.63.3,我不知道。,
OutsideSOE.Someone.70,我明白了。,
