location,source,target
DomCut.Dom.1,Miki。,
DomCut.Monologue.2,——！,
DomCut.Monologue.3,冷静、冷静。,
DomCut.Dom.4,你在哪里？,
DomCut.Monologue.5,完了完了完了，翘班被抓了。,
DomCut.Typing.6.1,我在公司呢,
DomCut.Typing.6.2,我在楼下买咖啡,
DomCut.Dom.8,哦。你快点回去。,
DomCut.Dom.9,祝吉那个小区的设计图要改一下。,
DomCut.Dom.10,明天让 Kris 把现场照片给你，你按施工方盖的把图改了。,
DomCut.Typing.11,好的，我明白了,
DomCut.Dom.12,嗯。今晚不开例会了，你走的时候锁门关灯。,
DomCut.Typing.13.1,收到,
DomCut.Typing.13.2,好的,
DomCut.Monologue.15,呼……虚惊一场。,
DomCut.Monologue.16,看来明天又要加班了……,
DomCut.Monologue.17,鬼知道那些施工的又把建筑魔改成什么样了。,
DomCut.Monologue.18,建蔽率啊、绿化率啊、至少别动这些东西。,
DomCut.Monologue.19,放过我吧！,
