MikiRestar.Monologue.1,……,
MikiRestar.Monologue.2,恢复正常了吗？,
MikiRestar.Monologue.3,全、全没了？,
MikiRestar.Monologue.4,靠，这下无从下手了啊……,
MikiRestar.Monologue.5,总之先看看能不能从通讯录找回来吧。,
MikiRestar.Monologue.6,好，通讯录还能用……,
MikiRestar.Monologue.7,至少还有部分能用吧。,
MikiRestar.Monologue.8,替身功能也正常。,
MikiRestar.Monologue.9,Nil 是指望不上了，稍微整理一下已有的线索吧。,
MikiRestar.Monologue.100,<color=#DB7F20>没能 </color>把 Will 所有的好友都看一遍。,
MikiRestar.Monologue.101,几乎把 Will <color=#DB7F20>所有 </color>的好友都看过一遍了。,
MikiRestar.Monologue.102,但找到了一条相关，却没办法确定的内容。,
MikiRestar.Monologue.10,最重要的事情，Will 的去向。,
MikiRestar.Monologue.11,这小子偏偏在关键时候发了句<color=#DB7F20> 语音 </color>。,
MikiRestar.Monologue.12,就不能直接转成文字吗！,
MikiRestar.Monologue.13,这样的话就要找到 Lynn 才能得知 Will 的去向了……,
MikiRestar.Monologue.111,偏巧 Will 的通讯录上<color=#DB7F20> 没有 Lynn </color>这个人……,
MikiRestar.Monologue.112,是 BUG 吗？还是他被删了……？,
MikiRestar.Todo.100,找不到 Lynn 和语音内容,
MikiRestar.Monologue.15,不过 Ben 和 Will 的对话里提到过这个人……,
MikiRestar.Monologue.16,麻园真小……,
MikiRestar.Monologue.17,说不定可以<color=#DB7F20> 通过 Ben </color>找到她。,
MikiRestar.Todo.109,用自己的账号通过 Ben 找到 Lynn,
MikiRestar.Monologue.18,虽然还看不出来具体原因，但 Viz 大概是欠了一笔账……,
MikiRestar.Monologue.19,后来她在生日那天私下去和方舟游戏的 Rici 见面……,
MikiRestar.Monologue.20,是因为钱的原因吗……,
MikiRestar.Todo.101,Viz 有一些经济问题,
MikiRestar.Monologue.21,还是说是因为“晚安”和“对不起”……,
MikiRestar.Monologue.22,好像<color=#DB7F20> 这两个人的关系 </color>对我的六十万非常重要……,
MikiRestar.Monologue.23,我搞不明白……,
MikiRestar.Todo.102,Will 和 Viz 还有纠缠不清的关系,
MikiRestar.Monologue.24,Will 答应过不向 Frank 透露 Viz 和方舟接触的事情。,
MikiRestar.Monologue.25,那是几号的事情来着……,
MikiRestar.Monologue.26,好像是在 Frank 告诉 Will 要做手游之前……,
MikiRestar.Monologue.27,要怎么处理才好呢……,
MikiRestar.Todo.103,只有 Will 知道 Viz 和方舟的事情,
MikiRestar.Monologue.28,这件事情最炸裂也是和我的六十万最没有关系的一个部分……,
MikiRestar.Monologue.29,Amanda 是 Alan 的老婆。,
MikiRestar.Monologue.30,同时是 Frank 的未婚妻。,
MikiRestar.Monologue.31,事情竟会如此发展……,
MikiRestar.Monologue.103,Frank想和Amanda结婚。,
MikiRestar.Monologue.104,Alan想和Amanda离婚。,
MikiRestar.Monologue.105,"嘶……同名吗？
但这件事应该和我的六十万没有什么关系。",
MikiRestar.Todo.106,Frank想和Amanda结婚,
MikiRestar.Monologue.107,这件事应该和我的六十万没有什么关系。,
MikiRestar.Monologue.33,这次的委托人Norida。,
MikiRestar.Monologue.34,在给Will的小作文里表达出了相当的决心。,
MikiRestar.Monologue.35,是不是可以用这份决心打动公司里的人……？,
MikiRestar.Todo.108,Norida 很有决心,
MikiRestar.Monologue.36,好像没有收集到什么有用的线索。,
MikiRestar.Monologue.37,我感觉到……,
MikiRestar.Monologue.38,不妙。,
MikiRestar.Monologue.39,或者说——,
MikiRestar.Monologue.40,已经结束咧！,
MikiRestar.Monologue.41,三位创始人中有两位离开……,
MikiRestar.Monologue.42,这公司真的还有救吗……,
MikiRestar.Monologue.43,那我的六十万，岂不是也会很快缩水……,
MikiRestar.Monologue.44,要在这之前脱手才行……,
MikiRestar.Monologue.45,现在不是想这个的时候。,
MikiRestar.Monologue.46,要想办法找到 Will，或者试试说服 Frank 不要起诉 Norida。,
MikiRestar.Monologue.47,决定好用谁的替身就发起聊天吧。,
MikiRestar.Todo.0,用 Will 或 Norida 给 Frank 发消息,
MikiRestar.Todo.1,用 Will 或 Norida 给 Viz 发消息,
