location,source,target
FinalReviewTT.TE1.1,Nil和Miki没能阻止Carl的计划——,
FinalReviewTT.TE1.2,无数个Pi的分身占据了整个亚东的网络。,
FinalReviewTT.TE1.3,在那个“更好的世界”里，赛博生命彻底主导了网络——,
FinalReviewTT.TE1.4,神之域超门和TT联合创建了一个庞大的数据中心。,
FinalReviewTT.TE1.5,它们的秩序开始生根蔓延，,
FinalReviewTT.TE1.6,目标是将所有人、赛博生命都安排在它的计算之内。,
FinalReviewTT.TE2.1,在那场战斗以后——,
FinalReviewTT.TE2.2,TT中涉嫌违法的人员均被捕入狱——,
FinalReviewTT.TE2.3,亚东网络监察委员会和亚东反垄断机构将分解TT的计划推上日程。,
FinalReviewTT.TE2.4,关于赛博生命和真人如何共处的话题每天引爆新鲜事十多次。,
FinalReviewTT.TE2.5,在争论和冲突中，网速暂时慢了下来——,
FinalReviewTT.TE2.6,但赛博生命主导的电信公司也许值得信赖。,
FinalReviewTT.TE2.7,也许还有人机合资的饮料店、烧烤店和财会公司——,
FinalReviewTT.TE2.8,和很多以前想象不到的神奇组合。,
FinalReviewTT.TE2.9,一个新的时代开始了。,
FinalReviewTT.N.1,Miki再也没有在网上见到过Pi和Nil。,
FinalReviewTT.N.2,赛博生命好像一夜之间消失在了互联网上。,
FinalReviewTT.N.3,除此之外好像一切都井然有序地运行着。,
FinalReviewTT.N.4,好像一切都与生活在这里的人无关。,
