location,source,target
MikiThinkNori.Monologue.1,让我好好回想一下。,
MikiThinkNori.Monologue.2,这个 Norida，和上次的 Nami 还有点不一样。,
MikiThinkNori.Monologue.3,既是总监，又是法人，还是实习生。,
MikiThinkNori.Monologue.4,应该从哪一个人入手呢……,
MikiThinkNori.Monologue.5,素有积怨的中年程序员<color=#DB7F20> Frank。,
MikiThinkNori.Monologue.6,还是暧昧不清的美术师<color=#DB7F20> Viz。,
MikiThinkNori.Monologue.7,这家公司的事情逐渐变得有趣起来。,
MikiThinkNori.Monologue.8,找到人或者剧本……,
MikiThinkNori.Monologue.9,让<color=#DB7F20> Nil 黑进 Will 的电脑 </color>拿到剧本……,
MikiThinkNori.Monologue.10,有这个可能吗？,
MikiThinkNori.Monologue.11,好，现在已经有这三条路了。,
MikiThinkNori.Monologue.12,这可是笔价值 60 万的大单子。,
MikiThinkNori.Monologue.13,做完这单我就隐退。,
MikiThinkNori.Monologue.14,……,
MikiThinkNori.Monologue.15,不、不。,
MikiThinkNori.Monologue.16,以后还会有更大的单子。,
MikiThinkNori.Monologue.17,我要在天角买块地。,
MikiThinkNori.Monologue.18,Miki 的个人住宅正一砖一瓦地建起来。,
MikiThinkNori.Monologue.19,呵呵哈哈哈哈哈——！,
MikiThinkNori.Todo.1,询问 Frank,
MikiThinkNori.Todo.2,询问 Viz,
MikiThinkNori.Todo.3,询问 Nil,
