location,source,target
06AlanDivorceNOR.Alan.1,事情解决得差不多了,
06AlanDivorceNOR.Alan.2,Amanda 答应了离婚，我找她要了笔赔偿，算是好聚好散吧,
06AlanDivorceNOR.Alan.3,谢谢你的帮忙,
06AlanDivorceNOR.Alan.4,我就是来通报一下，顺便给你结清报酬,
06AlanDivorceNOR.Alan.5,定金就算是咨询费了,
06AlanDivorceNOR.Alan.6,500给你，还有300的小费，谢谢你让我重新甚是了自己的人生,
06AlanDivorceNOR.Alan.7,审视,
06AlanDivorceNOR.Typing.8.1,审视只值300吗,
06AlanDivorceNOR.think.9,既然事情解决了，开个玩笑吧,
06AlanDivorceNOR.Alan.10,你认真提的吗？,
06AlanDivorceNOR.Alan.11,如果是的话，我会仔细考虑,
06AlanDivorceNOR.Typing.12,没有，我开玩笑的,
06AlanDivorceNOR.Alan.13,你变得有点像你的同伙了,
06AlanDivorceNOR.Typing.14.1,你们私下勾结了吗？,
06AlanDivorceNOR.Alan.15,是的，我们达成了一些工程师之间的交易,
06AlanDivorceNOR.Alan.16,一个工程师需要帮助的时候总会有另一个工程师挺身而出,
06AlanDivorceNOR.Alan.17,不过我答应了那个男人要保守秘密,
06AlanDivorceNOR.Alan.18,我不能说得太自信,
06AlanDivorceNOR.Alan.19,仔细,
06AlanDivorceNOR.Typing.20,哪个男人,
06AlanDivorceNOR.Alan.21,我不能说,
06AlanDivorceNOR.Typing.14.2,我一直是这样的,
06AlanDivorceNOR.Alan.23,好吧，我还不太了解你,
06AlanDivorceNOR.Alan.24,你的工作很出色,
06AlanDivorceNOR.Typing.25,下次会指名我吗？,
06AlanDivorceNOR.Alan.26,也许吧,
06AlanDivorceNOR.Alan.27,最好别有下回,
06AlanDivorceNOR.Alan.28,你知道吗，我想明白了一件事情,
06AlanDivorceNOR.Typing.8.2,有什么感悟吗？,
06AlanDivorceNOR.think.30,有一天我也会变老,
06AlanDivorceNOR.Alan.31,油的,
06AlanDivorceNOR.Alan.32,有的,
06AlanDivorceNOR.Alan.33,我要学着放下,
06AlanDivorceNOR.Alan.34,我有更重要的事情要做,
06AlanDivorceNOR.Alan.35,我的前半生，30岁以前,
06AlanDivorceNOR.Alan.36,考最好的大学，进最大的公司,
06AlanDivorceNOR.Alan.37,和一个漂亮的同事结婚，置办那些蠢的头晕的排场,
06AlanDivorceNOR.Alan.38,只有偷偷摸摸，借着提升自己的名义才能搞搞自己想做的软件,
06AlanDivorceNOR.Alan.39,我花太多时间在所谓的人生义务上了,
06AlanDivorceNOR.Alan.40,考不上大学，找不到工作，找不到老婆,
06AlanDivorceNOR.Alan.41,这些看起来吓人，实际上没什么所谓,
06AlanDivorceNOR.Alan.42,找不到自己才吓人,
06AlanDivorceNOR.Alan.43,也许现在有点晚,
06AlanDivorceNOR.Alan.44,我已经不年轻了,
06AlanDivorceNOR.Alan.45,总之谢谢你，小替身,
06AlanDivorceNOR.Alan.46,接下来我会自己面对命运,
06AlanDivorceNOR.Typing.47,有什么计划吗？,
06AlanDivorceNOR.Alan.48,嗯，我想写去开个编程专栏,
