"location","source","target"
"﻿MaxLove.Max.2","我","我"
"MaxLove.Max.3","我不知道要怎么说了","我不知道要怎么说了"
"MaxLove.Max.4","其实我也一直对你","其实我也一直对你"
"MaxLove.Max.5","就算","就算"
"MaxLove.Max.6","就是","就是"
"MaxLove.Max.7","我也爱你","我也爱你"
"MaxLove.Max.8","那是不是说，从今往后，我们就是恋人了","那是不是说，从今往后，我们就是恋人了"
"MaxLove.Monologue.100","居然……","居然……"
"MaxLove.Monologue.101","只好继续下去了。","只好继续下去了。"
"MaxLove.Typing.9","嗯，请多多关照，我的另一半","嗯，请多多关照，我的另一半"
"MaxLove.Typing.10","是的，过去、未来、永远永远","是的，过去、未来、永远永远"
"MaxLove.Typing.11","已经不可以反悔了哦","已经不可以反悔了哦"
"MaxLove.Max.12","我真的","我真的"
"MaxLove.Max.13","不敢相信，这居然是真的","不敢相信，这居然是真的"
"MaxLove.Max.14","那 Kathy 小姐，今天会过来喝咖啡吗？","那 Kathy 小姐，今天会过来喝咖啡吗？"
"MaxLove.Typing.15","还叫我 Kathy 小姐吗？","还叫我 Kathy 小姐吗？"
"MaxLove.Max.16","呃，那我应该叫什么","呃，那我应该叫什么"
"MaxLove.Typing.17","叫我 Kat 就好了","叫我 Kat 就好了"
"MaxLove.Max.18","嗯！Kat","嗯！Kat"
"MaxLove.Typing.19","那明天见咯，Max","那明天见咯，Max"
"MaxLove.Max.20","明天见，Kat！","明天见，Kat！"
"MaxLove.Monologue.21","但愿自己没有做多余的事情……","但愿自己没有做多余的事情……"
"MaxLove.Typing.23","结束了","结束了"
"MaxLove.Kathy.24","是吗！怎么样 怎么样","是吗！怎么样 怎么样"
"MaxLove.Kathy.25","问清楚了吗","问清楚了吗"
"MaxLove.Typing.26","嗯，他和 Sella 只是同事关系","嗯，他和 Sella 只是同事关系"
"MaxLove.Todo.-0","Max 和 Sella 似乎只是同事","Max 和 Sella 似乎只是同事"
"MaxLove.Typing.27","然后他现在是你的男朋友了","然后他现在是你的男朋友了"
"MaxLove.Typing.28","祝你们幸福","祝你们幸福"
"MaxLove.Todo.-1","Max 和 Kathy 在一起了","Max 和 Kathy 在一起了"
"MaxLove.Kathy.29","什么什么什么什么什么什么","什么什么什么什么什么什么"
"MaxLove.Kathy.30","这是 真的吗 MImi！！","这是 真的吗 MImi！！"
"MaxLove.Typing.31","我是Miki","我是Miki"
"MaxLove.Kathy.32","哦 哦 对不起 我太激动了","哦 哦 对不起 我太激动了"
"MaxLove.Kathy.33","这是真的吗","这是真的吗"
"MaxLove.Kathy.34","Max 也喜欢我吗","Max 也喜欢我吗"
"MaxLove.Typing.35","是的","是的"
"MaxLove.Kathy.36","太感谢你了！！","太感谢你了！！"
"MaxLove.Typing.37","不过，你下次还是把委托说清楚","不过，你下次还是把委托说清楚"
"MaxLove.Typing.38","伪造需求的话我这边很难办","伪造需求的话我这边很难办"
"MaxLove.Typing.39","这次就算了","这次就算了"
"MaxLove.Think.200","算了，反正是我不小心做了多余的事","算了，反正是我不小心做了多余的事"
"MaxLove.Kathy.40","好的 万分感谢","好的 万分感谢"
"MaxLove.Typing.41","这次要加收50％的费用","这次要加收50％的费用"
"MaxLove.Think.201","不对，我似乎做了额外的工作！","不对，我似乎做了额外的工作！"
"MaxLove.Kathy.42","好的 没问题","好的 没问题"
"MaxLove.Kathy.43","我现在就把钱转过去","我现在就把钱转过去"
"MaxLove.Monologue.44","看来这次的事件告一段落了。","看来这次的事件告一段落了。"
"MaxLove.Monologue.45","Kathy 原本只是想让我问清楚她“男友” Max “出轨” Sella 的事情。","Kathy 原本只是想让我问清楚她“男友” Max “出轨” Sella 的事情。"
"MaxLove.Monologue.46","结果现在 Max 真的是 Kathy 的男友了。","结果现在 Max 真的是 Kathy 的男友了。"
