"location","source","target"
"﻿D9E8ReLith.Tips.1","您没有使用账号的权限","您没有使用账号的权限"
"D9E8ReLith.Typing.1","我弄完了","我弄完了"
"D9E8ReLith.Lith.2","时间到了，怎么样","时间到了，怎么样"
"D9E8ReLith.Typing.3","一共是这些钱","一共是这些钱"
"D9E8ReLith.Lith.4","和我的委托比起来差太多了","和我的委托比起来差太多了"
"D9E8ReLith.Lith.5","果然不该拜托你的","果然不该拜托你的"
"D9E8ReLith.Lith.6","你太没用了","你太没用了"
"D9E8ReLith.Typing.7","别说这些，给一半的钱吧","别说这些，给一半的钱吧"
"D9E8ReLith.Typing.8","对不起，我的问题","对不起，我的问题"
"D9E8ReLith.Monologue.9","我靠——！",""
"D9E8ReLith.Lith.10","嗯，还差一点不过","嗯，还差一点不过"
"D9E8ReLith.Lith.11","已经做得很好了","已经做得很好了"
"D9E8ReLith.Typing.12","那我的报酬","那我的报酬"
"D9E8ReLith.Lith.13","不好意思啊","不好意思啊"
"D9E8ReLith.Typing.14","嗯？","嗯？"
"D9E8ReLith.Typing.15","别跑","别跑"
"D9E8ReLith.Lith.16","其实这些都是我编的","其实这些都是我编的"
"D9E8ReLith.Lith.17","我没有所谓的家人","我没有所谓的家人"
"D9E8ReLith.Lith.18","我有不能向你说明的苦衷","我有不能向你说明的苦衷"
"D9E8ReLith.Typing.19","别","别"
"D9E8ReLith.Lith.20","你是个好人","你是个好人"
"D9E8ReLith.Typing.21","什么意思哦？","什么意思哦？"
"D9E8ReLith.Monologue.22","我靠——！","我靠——！"
"D9E8ReLith.Lith.23","十分感谢，这次终于是赶上了","十分感谢，这次终于是赶上了"
"D9E8ReLith.todo.24","去找 Nil 说明跑单","去找 Nil 说明跑单"
"D9E8ReLith.Typing.25","被跑单了","被跑单了"
"D9E8ReLith.Typing.26","我要复仇","我要复仇"
"D9E8ReLith.Nil.27","哈？","哈？"
"D9E8ReLith.Nil.1001","别急，让我看看","别急，让我看看"
"D9E8ReLith.Nil.28","哼上下，意料之中","哼上下，意料之中"
"D9E8ReLith.Nil.29","我已经准备好追踪路线了","我已经准备好追踪路线了"
"D9E8ReLith.Nil.30","我去去就回","我去去就回"
"D9E8ReLith.Nil.31","不过我想起一个有意思的东西","不过我想起一个有意思的东西"
"D9E8ReLith.Nil.32","你现在要听吗？","你现在要听吗？"
"D9E8ReLith.Typing.33","先把钱追回来","先把钱追回来"
"D9E8ReLith.Nil.34","okk","okk"
"D9E8ReLith.Nil.1002","那就作为旅途中抚慰辛劳的红茶","那就作为旅途中抚慰辛劳的红茶"
"D9E8ReLith.Nil.1003","为你讲述这个故事罢","为你讲述这个故事罢"
"D9E8ReLith.Typing.35","说吧","说吧"
"D9E8ReLith.Nil.36","我统计了一下 S4U 成立以来跑单人和上网时长的关系","我统计了一下 S4U 成立以来跑单人和上网时长的关系"
"D9E8ReLith.Nil.37","得出的结论是上网时间越久的人越容易跑单","得出的结论是上网时间越久的人越容易跑单"
"D9E8ReLith.Typing.38","上网时间怎么统计的","上网时间怎么统计的"
"D9E8ReLith.Nil.39","问卷咯","问卷咯"
"D9E8ReLith.Typing.40","你又在和我调情吗？","你又在和我调情吗？"
"D9E8ReLith.Nil.41","说起调情的话就不得不提便利店的后厨了","说起调情的话就不得不提便利店的后厨了"
"D9E8ReLith.Nil.42","我有没有说过","我有没有说过"
"D9E8ReLith.Typing.43","谢谢","谢谢"
"D9E8ReLith.Nil.44","唉，你这家伙完全不懂我的温柔啊！","唉，你这家伙完全不懂我的温柔啊！"
"D9E8ReLith.Typing.45","好的",""
"D9E8ReLith.Nil.46","咳咳","咳咳"
"D9E8ReLith.Nil.47","你可以下班了","你可以下班了"
"D9E8ReLith.Typing.48","就算你不说我也会的","就算你不说我也会的"
"D9E8ReLith.Nil.49","嘎哈哈哈","嘎哈哈哈"
"D9E8ReLith.Nil.50","我昨天开始就想说这个了","我昨天开始就想说这个了"
"D9E8ReLith.Typing.51","拜了",""
"D9E8ReLith.Typing.52","好的，老大","好的，老大"
"D9E8ReLith.Nil.53","哦啊哈哈","哦啊哈哈"
"D9E8ReLith.Nil.54","你就是公司的未来，下班也不能松懈哦","你就是公司的未来，下班也不能松懈哦"
"D9E8ReLith.Typing.55","好的","好的"
"D9E8ReLith.Typing.56","我会马上松懈成一滩","我会马上松懈成一滩"
"D9E8ReLith.Nil.57","/表情：难受","/表情：难受"
"D9E8ReLith.Typing.58","拜了","拜了"
"D9E8ReLith.Nil.59","拜","拜"
