location,source,target
MaxBreak.Max.1,哈哈哈，没有啦,
MaxBreak.Max.2,我开玩笑的,
MaxBreak.Max.3,唉,
MaxBreak.Max.4,恋爱真难,
MaxBreak.Max.5,那先这样咯，我去休息啦,
MaxBreak.Typing.6,是啊，恋爱真难,
MaxBreak.Monologue.7,反正他们也不是恋人，姑且算是完成了委托吧。,
MaxBreak.Todo.-1,Kathy 似乎和 Max 不是恋人,
MaxBreak.Typing.9,结束了,
MaxBreak.Kathy.10,是吗！怎么样 怎么样,
MaxBreak.Kathy.11,问清楚了吗？,
MaxBreak.Typing.12,嗯，他和 Sella 只是同事关系,
MaxBreak.Todo.-0,Max 和 Sella 似乎只是同事,
MaxBreak.Typing.13,Max在向她请教一些恋爱问题,
MaxBreak.Kathy.14,是什么样的 恋爱问题,
MaxBreak.Typing.15,这个他没说,
MaxBreak.Kathy.16,嗯嗯 我知道了 这次多谢了,
MaxBreak.Typing.17,不过，你下次还是把委托说清楚,
MaxBreak.Typing.18,伪造需求的话我这边很难办,
MaxBreak.Typing.19,这次就算了,
MaxBreak.Think.200,算了，不纠结这个了,
MaxBreak.Kathy.20,好的 不好意思 给您添麻烦了,
MaxBreak.Typing.21,这次要加收50％的费用,
MaxBreak.Think.201,五万……好想存到五万,
MaxBreak.Kathy.22,……好吧,
MaxBreak.Monologue.23,看来这次的事件告一段落了。,
MaxBreak.Monologue.24,Kathy 原本只是想让我问清楚她“男友” Max “出轨” Sella 的事情。,
MaxBreak.Monologue.25,结果 Kathy 和 Max 根本不是恋人。,
MaxBreak.Monologue.26,姑且算是完成了委托吧。,
MaxBreak.Todo.100,"使用""控制台""保存今日记录并下楼",
MaxBreak.Todo.101,找 Kathy 汇报情况,
