location,source,target
MalowCome.Typing.1.1,你好，有什么需要帮助的吗？,
MalowCome.Malow.2,刚刚不是填了好几个表格了吗？,
MalowCome.Malow.3,什么效率。,
MalowCome.Typing.1.2,你好，请问需要心理咨询吗,
MalowCome.Malow.5,呵呵，心理咨询，小布的玩意儿。,
MalowCome.Malow.6,我是生物医学博士导师，照理来说我不该相信你们这些小年轻搞的乱七八糟的东西,
MalowCome.Malow.7,一个教授必须要有社会责任感,
MalowCome.Malow.8,不能让学界和世俗社会不安,
MalowCome.Monologue.9,他不会是为了押韵才这么说的吧……,
MalowCome.Monologue.10,这两句话完全没关系啊。,
MalowCome.Monologue.11,感觉遇到难缠的客人了。,
MalowCome.Malow.12,但是我呢，也到要结婚的年纪了,
MalowCome.Malow.13,传宗接代的责任是很重的,
MalowCome.Typing.14.1,你要我给你介绍对象吗？,
MalowCome.Typing.14.2,我们目前没有这种业务,
MalowCome.Malow.16,哦，我没有找对象的需求,
MalowCome.Malow.17,我已经有对象了,
MalowCome.Malow.18,而且正好我要让你做的就是和她有关的事情,
MalowCome.Malow.19,最近她有点不安分,
MalowCome.Typing.20.1,出轨了吗,
MalowCome.Malow.21,肯定没有啊,
MalowCome.Typing.20.2,麻烦说得具体一点,
MalowCome.Malow.23,现在假如说有一个女人,
MalowCome.Malow.24,已经是两个孩子的妈了,
MalowCome.Malow.25,但是说话做事还是一点城府都没有,
MalowCome.Typing.26,我们能不能直奔主题,
MalowCome.Malow2.27,你别急，你先听我讲完,
MalowCome.Malow.28,这个女人有一个儿子一个女儿,
MalowCome.Malow.29,这个女人有两个女儿,
MalowCome.Malow.30,但是我说实话，她不比她女儿聪明多少,
MalowCome.Malow.31,像个小孩一样幼稚,
MalowCome.Malow.32,每天都在网络上发表一些激进的言论,
MalowCome.Malow.33,说什么机动结晶无效啊,
MalowCome.Malow.34,机动结晶无法通过双盲测试啊,
MalowCome.Malow.35,呵呵，什么双不双盲，那都是现代制药公司编出来骗人的,
MalowCome.Malow.36,你们那些先进的现代医学，把感冒治好了吗？,
MalowCome.Malow.37,治不好吧,
MalowCome.Typing.38,我不太懂机动结晶 ,
MalowCome.Malow.39,你不需要懂,
MalowCome.Typing.40,那些东西真的有用吗,
MalowCome.Malow.41,我想这不是你应该关心的事情,
MalowCome.Malow.42,我们有这么多优秀的学者在制药行业工作,
MalowCome.Malow.43,如果它没用，我们都是傻逼吗？,
MalowCome.Malow.44,机动结晶，是最新锐最值得信任的,
MalowCome.Malow.45,上一辈人的智慧不是你们这些年轻人可以亵渎的,
MalowCome.Malow.46,有个好心人想帮她和机动结晶那边勾兑一下缓和关系,
MalowCome.Malow.47,于是请了个医学院的副教授，请到她的诊所,
MalowCome.Typing.48,医学院是？,
MalowCome.Malow.49,大川医科大学,
MalowCome.Malow.50,原来的梁源医学院,
MalowCome.Malow.51,那个副教授拿你们的话来说，也是个网红,
MalowCome.Malow.52,你猜猜他直播间里一晚上能卖出多少扑热白油酊？,
MalowCome.Monologue.53,扑热白油酊……是个什么东西？,
MalowCome.Typing.54.1,我不在意,
MalowCome.Malow.55,呵呵，说出来吓你一跳,
MalowCome.Malow.56,也就五千多份吧,
MalowCome.Typing.57.1,哇塞，好棒,
MalowCome.Monologue.1001,妈的，棒个锤子……,
MalowCome.Monologue.58,这是否有点太弱智了。,
MalowCome.Typing.57.2,可是这和我有什么关系呢？,
MalowCome.Monologue.1002,能别说了吗？,
MalowCome.Typing.54.2,一百份？,
MalowCome.Malow.61,呵呵，一百？你别给五千听到,
MalowCome.Typing.54.3,猜？,
MalowCome.Typing.63,猜的话是另外的价钱,
MalowCome.Typing.64,如果需要陪聊还麻烦您重新下个陪聊订单,
MalowCome.Typing.65.1,我的价格是 500/小时,
MalowCome.Typing.65.2,我的价格是 1000/小时,
MalowCome.Malow.67,你自己算算，一份 29，五千份就是十五万,
MalowCome.Monologue.68,诶……真好啊，他们这些卖份数的工作。,
MalowCome.Monologue.69,随便乘一乘就几千上万的。,
MalowCome.Monologue.70,我的工资减掉房租减掉吃饭减掉抽烟减掉上税——,
MalowCome.Monologue.71,哦，我甚至不够上税的。,
MalowCome.Malow.72,结果你猜她做了什么？,
MalowCome.Malow.73,她直接把人家请出去了,
MalowCome.Malow.74,你说这算个什么事,
MalowCome.Typing.75,呃……所以你是那个好心人？,
