location,source,target
09NilTruth.Monologue.1,就是这个喵！,
09NilTruth.Typing.2,哼，这一次终于被我抓到了,
09NilTruth.Typing.3,铁证如山，百口莫辩。,
09NilTruth.Nil.4,好吧，被你抓到了,
09NilTruth.Nil.5,我就是狂潮新闻的皮下,
09NilTruth.Nil.6,你想知道什么就问吧,
09NilTruth.Typing.7,你和 Alan 密谋了什么？,
09NilTruth.Nil.8,呃，一些工程师事务，和 TT 有关,
09NilTruth.Nil.9,我有个同伴失踪了，我怀疑可能和 TT 有关，拜托他去找,
09NilTruth.Nil.10,只能告诉你这么多,
09NilTruth.Typing.11.1,为啥？,
09NilTruth.Nil.12,我不想再失去另一个同伴,
09NilTruth.Nil.13,不告诉你，你才没有危险,
09NilTruth.Typing.11.2,你没有投靠 TT 吧？,
09NilTruth.Nil.15,我不可能投靠 TT，永远都不可能,
09NilTruth.Typing.11.3,好,
09NilTruth.Typing.17,那这个号？,
09NilTruth.Nil.18,就是用来曝光 TT 的，我也不清楚有没有用,
09NilTruth.Nil.19,只是一种尝试吧,
09NilTruth.Nil.20,刚才想试试炸号了没，就被你逮住了,
09NilTruth.Typing.21.1,没意思，我想看见血流成河,
09NilTruth.Typing.21.2,好吧，好像没我想的那么精彩,
09NilTruth.Typing.23,就没有什么有张力的事情吗,
09NilTruth.Nil.24,这个,
09NilTruth.Nil.25,l6Pm2Db8Dazg7D4aH4NG10xNWxLq0Ee4,
09NilTruth.Nil.26,保管好它,
09NilTruth.Nil.27,如果有一天我不在了,
09NilTruth.Typing.28,啊？为什么这么说啊,
09NilTruth.Nil.29,没什么喵,
09NilTruth.Nil.30,就是,
09NilTruth.Nil.31,晚上难免会胡思乱想，哈哈，,
09NilTruth.Nil.32,总之你存好这个链接，拿笔抄下来最好,
09NilTruth.Nil.33,我先睡了，好困,
09NilTruth.Typing.34.1,好吧,
09NilTruth.Typing.34.2,晚安,
09NilTruth.Monologue.36,有点担心 Nil 的情况。,
09NilTruth.Monologue.37,等他这一头过去了明天问问看能不能帮上什么忙吧。,
