"location","source","target"
"﻿Question.0.Info","2 + 2 = ?","2 + 2 = ?"
"Question.0.Answer.1","2","2"
"Question.0.Answer.2","4","4"
"Question.0.Answer.3","22","22"
"Question.1.Info","赛博生命依靠什么维生？","赛博生命依靠什么维生？"
"Question.1.Answer.1","算量","算量"
"Question.1.Answer.2","打工","打工"
"Question.1.Answer.3","服务器","服务器"
"Question.1.Answer.4","TT","TT"
"Question.2.Info","麻园的夏天通常从什么时候开始?","麻园的夏天通常从什么时候开始?"
"Question.2.Answer.1","5月","5月"
"Question.2.Answer.2","6月","6月"
"Question.2.Answer.3","9月","9月"
"Question.2.Answer.4","11月","11月"
"Question.3.Info","两手向外平举、各持绳子一端，用手肘和手腕甩起绳子，在绳子接触地面时跃起。上述行为是一种？","两手向外平举、各持绳子一端，用手肘和手腕甩起绳子，在绳子接触地面时跃起。上述行为是一种？"
"Question.3.Answer.1","仪式","仪式"
"Question.3.Answer.2","运动","运动"
"Question.3.Answer.3","生产工艺","生产工艺"
"Question.3.Answer.4","我不知道",""
"Question.4.Info","麻园高中生口中的C5通常是指？","麻园高中生口中的C5通常是指？"
"Question.4.Answer.1","碳的同位素","碳的同位素"
"Question.4.Answer.2","驾照","驾照"
"Question.4.Answer.3","打印机","打印机"
"Question.4.Answer.4","大学","大学"
"Question.5.Info","在日常语境下，下列行为中最有可能导致疼痛的是？","在日常语境下，下列行为中最有可能导致疼痛的是？"
"Question.5.Answer.1","躺在床上玩手机","躺在床上玩手机"
"Question.5.Answer.2","开痛车","开痛车"
"Question.5.Answer.3","剁手","剁手"
"Question.5.Answer.4","以上皆不会","以上皆不会"
"Question.6.Info","TT 的工作理念是？","TT 的工作理念是？"
"Question.6.Answer.1","更美好的世界","更美好的世界"
"Question.6.Answer.2","智能服务于人","智能服务于人"
"Question.6.Answer.3","权力大于力量","权力大于力量"
"Question.6.Answer.4","以上皆是","以上皆是"
"Question.7.Info","假如有实系数多项式（如 p(x) = ax^2 + bx + c ）形成一个线性空间。这个多项式空间实际上是定义在数轴上的所有连续函数所形成的更大空间的一个子集（子空间）。也就是说，每一个实系数多项式都可以看作是一个连续函数，但并不是所有的连续函数都是多项式。因此可以认为？","假如有实系数多项式（如 p(x) = ax^2 + bx + c ）形成一个线性空间。这个多项式空间实际上是定义在数轴上的所有连续函数所形成的更大空间的一个子集（子空间）。也就是说，每一个实系数多项式都可以看作是一个连续函数，但并不是所有的连续函数都是多项式。因此可以认为？"
"Question.7.Answer.1","该连续函数空间不可能包括形如 f(x) = \sin(x) 或 g(x) = e^x 的多项式","该连续函数空间不可能包括形如 f(x) = \sin(x) 或 g(x) = e^x 的多项式"
"Question.7.Answer.2","我不知道",""
"Question.7.Answer.3","连续函数空间至少包含全体实系数多项式构成的一个子空间","连续函数空间至少包含全体实系数多项式构成的一个子空间"
"Question.7.Answer.4","实系数多项式空间不是连续函数空间中的一个特殊部分","实系数多项式空间不是连续函数空间中的一个特殊部分"
"Question.8.Info","在吃主食+超级盒巧克力抹茶冰淇淋时，第一勺最有可能体会到的最强的风味是？","在吃主食+超级盒巧克力抹茶冰淇淋时，第一勺最有可能体会到的最强的风味是？"
"Question.8.Answer.1","巧克力的苦味","巧克力的苦味"
"Question.8.Answer.2","抹茶的香味","抹茶的香味"
"Question.8.Answer.3","焦糖的甜味","焦糖的甜味"
"Question.8.Answer.4","木头的味道","木头的味道"
"Question.9.Info","通常情况下如果我没有麦克风设备，则我？","通常情况下如果我没有麦克风设备，则我？"
