location,source,target
ChatLevi1.Levi.1,哟。,
ChatLevi1.Typing.2,你是？,
ChatLevi1.Typing.200,您好,
ChatLevi1.Levi.3,别动,
ChatLevi1.Levi.4,我是 TT 下属的网络监察员,
ChatLevi1.Levi.5,我现在掌握了一些你的犯罪证据,
ChatLevi1.Levi.6,请你配合我的调查,
ChatLevi1.Levi.7,你无权保持沉默,
ChatLevi1.Levi.8,如果你不配合调查,
ChatLevi1.Levi.9,我们会把你送进监狱。,
ChatLevi1.Typing.10.1,等等,
ChatLevi1.Typing.10.2,给我个机会,
ChatLevi1.Typing.10.3,我反对,
ChatLevi1.Levi.13,反对无效,
ChatLevi1.Levi.14,我会问你一些问题,
ChatLevi1.Levi.15,不要撒谎,
ChatLevi1.Levi.16,如果你说谎了，我会知道的,
ChatLevi1.Levi.100,不要假装没看见，我会开始计时,
ChatLevi1.Levi.200,3,
ChatLevi1.Levi.201,2,
ChatLevi1.Levi.202,1,
ChatLevi1.Typing.17,什么,
ChatLevi1.Levi.18,第一个问题,
ChatLevi1.Levi.19,近一周你使用过多少次网络代理服务,
ChatLevi1.Typing.20.1,0~3次,
ChatLevi1.Typing.20.2,3~5次,
ChatLevi1.Typing.20.3,5次以上,
ChatLevi1.Levi.101,请立刻回答,
ChatLevi1.Levi.23,近一周你使用过多少次AI和赛博生命创作的资产,
ChatLevi1.Typing.24.1,0~3次,
ChatLevi1.Typing.24.2,3~5次,
ChatLevi1.Typing.24.3,5次以上,
ChatLevi1.Levi.27,近一周你有多少次和人类或赛博生命调情、谈论性交,
ChatLevi1.Typing.28.1,0~3次,
ChatLevi1.Typing.28.2,3~5次,
ChatLevi1.Typing.28.3,这是否？,
ChatLevi1.Levi.31,回答问题,
ChatLevi1.Levi.32,你是单身吗？,
ChatLevi1.Typing.33.1,是,
ChatLevi1.Typing.33.2,不是,
ChatLevi1.Levi.35,知道了,
ChatLevi1.Levi.36,交个朋友吧,
ChatLevi1.Levi.37,我叫 Levi,
ChatLevi1.Levi.38,在你家楼下开便利店,
ChatLevi1.Levi.39,我向你介绍我的寒舍,
ChatLevi1.Levi.40,叫屈螺酮炔雌醇,
ChatLevi1.Typing.41.1,好的,
ChatLevi1.Typing.41.2,为什么叫这么个名字,
ChatLevi1.Levi.43,我本来想叫*思明,
ChatLevi1.Levi.44,又怕摊上官司,
ChatLevi1.Levi.45,药厂的法务很不好对付,
ChatLevi1.Levi.46,总之这是个好东西,
ChatLevi1.Levi.47,可以让人月经稳定、心情舒畅,
ChatLevi1.Levi.48,用这个名字来寄托我对未来美好的思念,
ChatLevi1.Levi.49,我的主营业务是包装食品和二手产品,
ChatLevi1.Levi.50,我们说过几句话,
ChatLevi1.Levi.51,不过你始终不知道我的名字,
ChatLevi1.Levi.52,我猜你可能,
ChatLevi1.Levi.53,仍然渴望着我,
ChatLevi1.Levi.54,我就发起进攻了,
ChatLevi1.Typing.55,所以刚刚整这一出是？,
ChatLevi1.Levi.56,是我向侦探大师 Edo 请教的百分百成功搭讪术,
ChatLevi1.Typing.57,你的幽默感好特别,
ChatLevi1.Typing.58,让我感觉,
ChatLevi1.Typing.59.1,脸红心跳,
ChatLevi1.Typing.59.2,天旋地转,
ChatLevi1.Typing.59.3,有种荒诞的美感,
ChatLevi1.Levi.62,谢谢,
ChatLevi1.Levi.63,你还没有答复我,
ChatLevi1.Typing.64,什么？,
ChatLevi1.Levi.65,我刚刚说了交个朋友吧,
ChatLevi1.Typing.66.1,好吧,
ChatLevi1.Typing.66.2,还是算了,
ChatLevi1.Typing.68,我有点接受不了你的风格,
ChatLevi1.Levi.69,谢谢,
ChatLevi1.Levi.71,我们现在是朋友了？,
ChatLevi1.Typing.72,是的,
ChatLevi1.Levi.73,这感觉真奇妙,
ChatLevi1.Typing.74,哪里奇妙,
ChatLevi1.Levi.75,作为见面礼,
ChatLevi1.Levi.76,我向你告诉一个秘密,
ChatLevi1.Levi.77,我年轻的时候曾经潜入过竞争对手的聊天群聊,
ChatLevi1.Levi.78,用黄图炸他们的群,
ChatLevi1.Levi.79,以提高碳酸类饮料的销量,
ChatLevi1.Typing.80.1,成功了吗?,
ChatLevi1.Levi.81,没有,
ChatLevi1.Typing.80.2,好狠的战术,
ChatLevi1.Levi.83,其实还好,
ChatLevi1.Levi.84,因为我失败了,
ChatLevi1.Typing.80.3,年轻的时候？,
ChatLevi1.Levi.86,我年轻过,
ChatLevi1.Levi.87,而且这样说起来很有意思,
ChatLevi1.Levi.88,就这样说了,
ChatLevi1.Levi.89,今天和你聊得很开心,
ChatLevi1.Levi.90,我要去洗澡了,
ChatLevi1.Levi.91,晚安宝贝,
ChatLevi1.Typing.92.1,晚安宝贝,
ChatLevi1.Typing.92.2,再见我的朋友,
ChatLevi1.Levi.94,谢谢你的回答,
ChatLevi1.Levi.95,祝你生活愉快,
