"location","source","target"
"﻿MikitoNori.Typing.1","我回来了","我回来了"
"MikitoNori.Typing.2","事情进展得不顺利","事情进展得不顺利"
"MikitoNori.Typing.3","我本来想试着说服 Frank","我本来想试着说服 Frank"
"MikitoNori.Typing.4","但是失败了","但是失败了"
"MikitoNori.Typing.5","最后只是把他稳住争取到了一些时间","最后只是把他稳住争取到了一些时间"
"MikitoNori.Norida.6","感谢","感谢"
"MikitoNori.Norida.7","不过老师和剧本怎么样了","不过老师和剧本怎么样了"
"MikitoNori.Typing.8","这个我们最后再说吧","这个我们最后再说吧"
"MikitoNori.Norida.9","好","好"
"MikitoNori.Typing.10","Will 也没有和 Viz 待在一起","Will 也没有和 Viz 待在一起"
"MikitoNori.Typing.11","恐怕你们要失去她了","恐怕你们要失去她了"
"MikitoNori.Norida.12","什么意思","什么意思"
"MikitoNori.Typing.13","如果你打算继续做下去的话，要做好孤军奋战的准备","如果你打算继续做下去的话，要做好孤军奋战的准备"
"MikitoNori.Norida.14","为什么？","为什么？"
"MikitoNori.Typing.15","她可能急需一笔钱，所以在考虑跳槽","她可能急需一笔钱，所以在考虑跳槽"
"MikitoNori.Norida.16","是去方舟吗？","是去方舟吗？"
"MikitoNori.Typing.17","应该是的","应该是的"
"MikitoNori.Typing.18","为了不让她离开","为了不让她离开"
"MikitoNori.Typing.19","我以一种复杂的方式替你的老师许下了诺言","我以一种复杂的方式替你的老师许下了诺言"
"MikitoNori.Typing.20","暂时回到了原点","暂时回到了原点"
"MikitoNori.Typing.21","我们必须要找到Will才能留下她","我们必须要找到Will才能留下她"
"MikitoNori.Norida.22","原来如此","原来如此"
"MikitoNori.Norida.23","那么老师和剧本","那么老师和剧本"
"MikitoNori.Typing.24","都没有找到","都没有找到"
