location,source,target
HollyThx.Holly.1,嗨，Nikii,
HollyThx.Holly.2,晚上好，虽然有点冒昧,
HollyThx.Holly.3,你还记得我吧？,
HollyThx.Monologue.4,"这个头像……
是那天的客人 Holly。",
HollyThx.Monologue.200,上周的订单，还有什么问题吗？,
HollyThx.Monologue.5,"至于 Nikii……
又是 Nil 的假名吗……",
HollyThx.Monologue.6,该不会其实 Nil 也是个假名吧。,
HollyThx.Typing.7,我不太记得了,
HollyThx.Think.100,不知道又要聊到什么时候,
HollyThx.Typing.8,你知道的，每天都很多客人,
HollyThx.Typing.9,今天有什么我能帮到你吗,
HollyThx.Holly.10,没什么，谢谢你,
HollyThx.Monologue.11,我不是应该说记得？,
HollyThx.Monologue.12,算了这些不重要。,
HollyThx.Typing.13,我还记得,
HollyThx.Think.101,那天的客人……,
HollyThx.Typing.14,不过我不是 Nikii,
HollyThx.Typing.15,我是今晚的值班人员,
HollyThx.Typing.16,Missing,
HollyThx.Typing.17,Miki,
HollyThx.Typing.18,Mistake,
HollyThx.Typing.19,我不是 Nikii,
HollyThx.Think.102,但 Ni……又是谁？,
HollyThx.Holly.20,这样……,
HollyThx.Holly.21,那我可以找一下 Nikii 吗？,
HollyThx.Nil.22,嘿，如果你需要的话，我可以帮你把 Holly 的聊天转到我这里,
HollyThx.Typing.23,好的，那拜托你了,
HollyThx.Nil.24,没问题，交给我吧,
HollyThx.Typing.25,没事，我可以应付得过来,
HollyThx.Nil.26,好的，祝你好运,
HollyThx.Typing.27,你，不准监视我！,
HollyThx.Nil.28,我！是在保护你！,
HollyThx.Nil.29,在合同第三页写得明明白白，公司有权知晓和监督你的服务过程,
HollyThx.Typing.30,好了，可以了,
HollyThx.Nil.31,并有权追踪你在此过程中,
HollyThx.Typing.32,你先别急,
HollyThx.Typing.33,我是开玩笑的,
HollyThx.Typing.34,那就交给你吧，搭档,
HollyThx.Typing.35,我想先下班了,
HollyThx.Typing.36,没事，我可以应付得过来,
HollyThx.Typing.37,嗨，我是 Nikki,
HollyThx.Think.103,嗨，我是 Nikii,
HollyThx.Holly.38,嗨，晚上好 Nikii,
HollyThx.Holly.104,呃，晚上好 Nikki,
HollyThx.Holly.39,我就是想来道个谢,
HollyThx.Typing.40,嗨，我是 Miki,
HollyThx.Typing.41,我要解释一下，我曾经用过 Nikii 那个代号，但是现在已经不用了,
HollyThx.Holly.42,代号？,
HollyThx.Typing.43,没错,
HollyThx.Typing.44,网络替身嘛，总有很多身不由己的时候,
HollyThx.Holly.45,哦哦，好，我明白,
HollyThx.Holly.46,其实我就是想来道个谢,
HollyThx.Holly.47,Duke 已经被公司开除了,
HollyThx.Monologue.201,记得看到过一条<color=#DB7F20> Duke 被开除 </color>的新鲜事。,
HollyThx.Holly.202,谢谢你,
HollyThx.Monologue.203,她看起来有点犹豫……,
HollyThx.Monologue.205,Holly <color=#DB7F20>离线了 </color>……,
HollyThx.Typing.206,是这个吗？,
HollyThx.Holly.204,啊，是的，这是 Duke 被开除的新闻,
HollyThx.Holly.48,但是我也提了辞职,
HollyThx.Holly.49,我在想，嗯，开启一种新的生活吧,
HollyThx.Holly.50,我也没有想得太远,
HollyThx.Holly.51,就暂时先休息一会儿,
HollyThx.Holly.52,之后还是要想办法找个大厂的工作,
HollyThx.Holly.53,麻园做食品的大厂不多，可能会挺难的,
HollyThx.Holly.54,稳定的工作，稳定的生活，我以为一切都会那样继续下去,
HollyThx.Holly.55,刚签的租房合同，还有新买的厨具，我太在乎这些,
HollyThx.Holly.56,早该狠狠骂他一顿的,
HollyThx.Typing.57,我很抱歉……,
HollyThx.Typing.58,我也许不该那么做的……,
HollyThx.Holly.59,不不，这件事情要感谢你,
HollyThx.Holly.60,谢谢你成为我的勇气,
HollyThx.Typing.61,向前看吧,
HollyThx.Holly.62,嗯，谢谢你成为我的勇气,
HollyThx.Holly.300,没想到你会这么直接地骂回去,
HollyThx.Typing.301,对这种人没什么好说的,
HollyThx.Holly.302,没想到你还是没忍住骂他,
HollyThx.Typing.303,不能让他得寸进尺,
HollyThx.Holly.304,没想到你最后还是把 duke 的消息发到了群聊里,
HollyThx.Typing.305,得让大家知道他的真面目,
HollyThx.Holly.306,没想到你直接把 duke 的消息发到了群聊里,
HollyThx.Typing.307,他应当为自己的行为付出代价,
HollyThx.Monologue.63,……,
HollyThx.Monologue.64,勇气啊……,
HollyThx.Monologue.65,有那种选项吗？,
HollyThx.Monologue.66,就是我直接鼓起勇气辞掉设计院，一步迈向自由。,
HollyThx.Monologue.67,自由之后我又要做点什么呢……,
HollyThx.Monologue.68,如果接不到案子的话，攒多少钱都没用……,
HollyThx.Monologue.69,唉，一想到这些事情就犯烟瘾。,
