location,source,target
D02NewFriend.Monologue.10,"Ben，
我的前同事。",
D02NewFriend.Monologue.16,曾经和我一样怀揣着建筑设计的梦想。,
D02NewFriend.Monologue.11,现在在麻园的某个<color=#DB7F20> 游戏工作室 </color>工作。,
D02NewFriend.Monologue.12,不知道最近怎么样。,
D02NewFriend.Monologue.13,"一会<color=#DB7F20> 订单结束 </color>之后，
问问他游戏做得怎么样了。",
D02NewFriend.Monologue.14,问问他游戏做得怎么样了。,
D02NewFriend.Monologue.15,要离开麻园，回老家了。,
D02NewFriend.Monologue.1000,"没有特别想和 Ben 聊的新鲜事，
还是直接找 Ben 聊吧。",
D02NewFriend.Monologue.1001,"还是不要打断 Ben，
听 Ben 说完离开麻园的事情吧……",
D02NewFriend.Monologue.1,"Sake，
从<color=#DB7F20> Ben </color>那里认识的朋友。",
D02NewFriend.Monologue.2,很久没见面了，我们的关系还不错。,
D02NewFriend.Monologue.3,不知道他最近在做什么……,
D02NewFriend.Monologue.17,太久没有联系，聊点什么好呢……,
D02NewFriend.Monologue.18,他有发什么<color=#DB7F20> 新鲜事  </color>吗？,
D02NewFriend.Monologue.19,但他现在是<color=#DB7F20> 忙碌状态  </color>。,
D02NewFriend.Monologue.1005,或者<color=#DB7F20>  Ben </color> ……,
D02NewFriend.Monologue.4,对了，Ben 要走了。,
D02NewFriend.Monologue.5,"离线了……
<color=#DB7F20> 刚刚 </color>似乎还在忙碌中的。",
D02NewFriend.Monologue.6,算了，下楼吧。,
D02NewFriend.Monologue.7,他最近似乎又换工作了。,
D02NewFriend.Monologue.8,现在好像在天角见一个<color=#DB7F20> 电竞教练 </color>。,
D02NewFriend.Monologue.9,也许可以约他出来见一面。,
D02NewFriend.Monologue.1002,"嗯……
还是不要随便给 Sake 转发新鲜事吧。",
D02NewFriend.Monologue.1003,不过 Sake 今天好像发过一条新鲜事。,
D02NewFriend.Monologue.1004,这一条新鲜事，Sake 在找工作？,
D02NewFriend.Monologue.20,"Kaede，
我<color=#DB7F20> 老妈 </color>。",
D02NewFriend.Monologue.21,有一段时间没联系了。,
D02NewFriend.Monologue.22,刚刚聊了一会。,
D02NewFriend.Monologue.23,没有什么特别想要说的。,
D02NewFriend.Monologue.30,"Dom，
我在公司的<color=#DB7F20> 直接上级 </color>。",
D02NewFriend.Monologue.31,昨天突然来找我聊<color=#DB7F20> 比赛 </color>的事情。,
D02NewFriend.Monologue.32,今天要好好准备一下建筑比赛的事情了。,
D02NewFriend.Monologue.50,"Alan，
昨天来找我<color=#DB7F20> 帮忙离婚 </color>的客人。",
D02NewFriend.Monologue.51,还在等他准备资料。,
D02NewFriend.Monologue.60,"Nil，
我的老伙计，为了赚钱，我时常联系他给我介绍海鸥活。",
D02NewFriend.Monologue.61,也就是所谓的<color=#DB7F20> 网络替身 </color>。,
D02NewFriend.Monologue.62,Nil 偶尔会跑进我的电脑里乱安些名字没品位的软件，这家伙是个没品味的<color=#DB7F20> 电脑高手 </color>。,
D02NewFriend.Monologue.63,这时候还是别把新鲜事转发给 Nil，我要执行一个防御性摸鱼。,
D02NewFriend.Monologue.64,问问 Nil 公司名的事情。,
D02NewFriend.Monologue.65,以及网络替身的公司名叫做 S4U。,
D02NewFriend.Monologue.70,"Kathy，
今天的<color=#DB7F20> 客人 </color>。",
D02NewFriend.Monologue.71,她想知道<color=#DB7F20>男友 Max 有没有出轨 Sella</color>，如果出轨了她希望能挽回 Max。,
D02NewFriend.Monologue.72,还是不要乱发东西给客人比较好。,
D02NewFriend.Monologue.73,Kathy 提到的 829 咖啡，等她说完话发给她问一下吧。,
D02NewFriend.Monologue.74,Kathy 提到的 829 咖啡。,
D02NewFriend.Monologue.75,记得有一条新鲜事是 Kathy 提到过的<color=#DB7F20> 829 咖啡</color>。,
D02NewFriend.Typing.76,请问，你说的 Max 和 Sella 是这两位吗？,
D02NewFriend.Kathy.77,是的,
D02NewFriend.Typing.78,好的，我知道了,
D02NewFriend.Kathy.79,嗯 拜托你了,
D02NewFriend.Monologue.80,Kathy 提到的 829 咖啡，照片上是 Max 和 Sella。,
D02NewFriend.Monologue.81,现在和 Max 是恋人了。,
D02NewFriend.Monologue.82,帮他问清楚了 Max 和 Sella 的关系。,
D02NewFriend.Monologue.83,"Kathy？
突然出现在转发列表里，先去看看这个人是谁吧。",
