"location","source","target"
"﻿FinalReviewModelingReward.Lai.1","建筑比赛有结果了，Miki终于在一之濑国际建筑设计大奖赛中——","建筑比赛有结果了，Miki终于在一之濑国际建筑设计大奖赛中——"
"FinalReviewModelingReward.Lai.2","遗憾淘汰。",""
"FinalReviewModelingReward.Lai.3","寄来的邮件上写着——",""
"FinalReviewModelingReward.Lai.4","“尊敬的Miki先生/小姐，非常感谢您参加一之濑国际建筑设计大奖赛。",""
"FinalReviewModelingReward.Lai.5","我们很欣赏您在作品中展现出的才华，感谢您在建筑领域付出的热情。","我们很欣赏您在作品中展现出的才华，感谢您在建筑领域付出的热情。"
"FinalReviewModelingReward.Lai.6","不过我们很遗憾您的参赛作品与本次大赛的理念稍有出入，我们最终不能为您颁发奖项。","不过我们很遗憾您的参赛作品与本次大赛的理念稍有出入，我们最终不能为您颁发奖项。"
"FinalReviewModelingReward.Lai.7","最后，感谢您对一之濑国际建筑设计大奖赛的支持，期待您的下次参与。","最后，感谢您对一之濑国际建筑设计大奖赛的支持，期待您的下次参与。"
"FinalReviewModelingReward.Lai.8","建筑师，一之濑真”。",""
"FinalReviewModelingReward.Lai.9","荣获提名！",""
"FinalReviewModelingReward.Lai.10","寄来的邮件上写着——",""
"FinalReviewModelingReward.Lai.11","“尊敬的Miki先生/小姐，非常感谢您参加一之濑国际建筑设计大奖赛。",""
"FinalReviewModelingReward.Lai.12","您利用阶梯创造出流体感的方式给我们留下了深刻的印象。",""
"FinalReviewModelingReward.Lai.13","我们很荣幸地通知您，您的设计作品获得了「现代主义杰出设计奖」提名。","我们很荣幸地通知您，您的设计作品获得了「现代主义杰出设计奖」提名。"
"FinalReviewModelingReward.Lai.14","感谢您为建筑领域作出的贡献，我尤其注意到您是一位年轻的建筑师，您在这个年纪能展现出如此才华让我十分惊讶。",""
"FinalReviewModelingReward.Lai.15","感谢您对一之濑国际建筑设计大奖赛的支持，期待您在未来能再度绽放光芒。","感谢您对一之濑国际建筑设计大奖赛的支持，期待您在未来能再度绽放光芒。"
"FinalReviewModelingReward.Lai.16","建筑师，一之濑真”。",""
"FinalReviewModelingReward.Lai.17","荣获大奖！","荣获大奖！"
"FinalReviewModelingReward.Lai.18","寄来的邮件上写着——",""
"FinalReviewModelingReward.Lai.26","“尊敬的Miki先生/小姐，非常感谢您参加一之濑国际建筑设计大奖赛。","“尊敬的Miki先生/小姐，非常感谢您参加一之濑国际建筑设计大奖赛。"
"FinalReviewModelingReward.Lai.27","您利用阶梯创造出流体感的方式给我们留下了深刻的印象。","您利用阶梯创造出流体感的方式给我们留下了深刻的印象。"
"FinalReviewModelingReward.Lai.28","我们很荣幸地通知您，您的设计作品获得了「现代主义杰出设计奖」。","我们很荣幸地通知您，您的设计作品获得了「现代主义杰出设计奖」。"
"FinalReviewModelingReward.Lai.29","感谢您为建筑领域作出的贡献，我尤其注意到您是一位年轻的建筑师，您在这个年纪能展现出如此才华让我十分惊讶。","感谢您为建筑领域作出的贡献，我尤其注意到您是一位年轻的建筑师，您在这个年纪能展现出如此才华让我十分惊讶。"
"FinalReviewModelingReward.Lai.30","感谢您对一之濑国际建筑设计大奖赛的支持，请您务必前进下去，期待着您为未来的建筑界树立新的标杆。","感谢您对一之濑国际建筑设计大奖赛的支持，请您务必前进下去，期待着您为未来的建筑界树立新的标杆。"
"FinalReviewModelingReward.Lai.31","建筑师，一之濑真”。","建筑师，一之濑真”。"
"FinalReviewModelingReward.City.1","建筑比赛有结果了，Miki终于在麻园市滨海未来建筑与环境设计大赛中——","建筑比赛有结果了，Miki终于在麻园市滨海未来建筑与环境设计大赛中——"
"FinalReviewModelingReward.City.2","遗憾淘汰。","遗憾淘汰。"
"FinalReviewModelingReward.City.3","寄来的邮件上写着——",""
"FinalReviewModelingReward.City.4","“Miki，未能得奖，谢谢参与。","“Miki，未能得奖，谢谢参与。"
"FinalReviewModelingReward.City.5","麻园市滨海未来建筑研究中心评委委员会”。",""
"FinalReviewModelingReward.City.6","荣获提名！","荣获提名！"
"FinalReviewModelingReward.City.7","寄来的邮件上写着——","寄来的邮件上写着——"
"FinalReviewModelingReward.City.8","“Miki，","“Miki，"
"FinalReviewModelingReward.City.9","恭喜你，你的作品已获得现代主义提名。请携带有效身份证件至麻园市青橙路47号（八番建筑设计院）领取你的奖状，实体奖状保留九十个工作日，过时销毁，谢谢配合。","恭喜你，你的作品已获得现代主义提名。请携带有效身份证件至麻园市青橙路47号（八番建筑设计院）领取你的奖状，实体奖状保留九十个工作日，过时销毁，谢谢配合。"
"FinalReviewModelingReward.City.10","麻园市滨海未来建筑研究中心评委委员会”。","麻园市滨海未来建筑研究中心评委委员会”。"
