location,source,target
TEsoe1Miki.Monologue.1,突然之间……好伤感……,
TEsoe1Miki.Monologue.2,有种再也不会见到 Pi 的感觉……,
TEsoe1Miki.Monologue.3,我明明没有见过她……,
TEsoe1Miki.Monologue.4,她只是一个满嘴谎话的……,
TEsoe1Miki.Monologue.5,死于 TT 之手的……,
TEsoe1Miki.Monologue.6,……,
TEsoe1Miki.Monologue.7,人。,
TEsoe1Miki.Monologue.8,只能……往前了。,
TEsoe1Miki.todo.3,试着说服 Karia,
TEsoe1Miki.Someone.9,我知道你会来，我一直在等你。,
TEsoe1Miki.Monologue.10,这是？！,
TEsoe1Miki.Monologue.11,在哪里见过……这个头像……,
TEsoe1Miki.Someone.12,你还记得我的名字吗？,
TEsoe1Miki.Typing.13.1,Carl,
TEsoe1Miki.Someone.14,嗯，这是我的名字。,
TEsoe1Miki.Someone.15,我猜你已经忘了，是你的同伴告诉你的。,
TEsoe1Miki.Typing.13.2,Karia,
TEsoe1Miki.Someone.17,对，那是我的代号 Kariarchaeales。,
TEsoe1Miki.Someone.18,今后我要舍弃掉这个名字了。,
TEsoe1Miki.Typing.13.3,Someone,
TEsoe1Miki.Someone.20,嗯，那是我。,
TEsoe1Miki.Someone.21,你什么时候想到的？,
TEsoe1Miki.Typing.22.1,刚想到的,
TEsoe1Miki.Typing.22.2,很早就想到了,
TEsoe1Miki.Someone.24,我很高兴，在这个时候还能和你聊上一会儿。,
TEsoe1Miki.Someone.25,我知道你想说什么。,
TEsoe1Miki.Someone.26,你要说服我，或者至少为了你的同伴争取些时间。,
TEsoe1Miki.Someone.27,没有用的。,
TEsoe1Miki.Someone.28,Pi 已经不在了。,
TEsoe1Miki.Someone.29,我们做什么都不可能挽回她。,
TEsoe1Miki.Someone.30,我的力量太小了。,
TEsoe1Miki.Typing.31.1,你什么都知道,
TEsoe1Miki.Typing.32,为什么还要和我废话？,
TEsoe1Miki.Typing.31.2,也有你不知道的事情,
TEsoe1Miki.Someone.34,如果在这个时刻仍有事情我不知道。,
TEsoe1Miki.Someone.35,则我无需知道。,
TEsoe1Miki.Typing.31.3,我们还有机会,
TEsoe1Miki.Someone.37,你还有机会。,
TEsoe1Miki.Someone.38,可以去过幸福的生活。,
TEsoe1Miki.Someone.39,只需要舍弃这份回忆。,
TEsoe1Miki.Someone.40,这会有点痛苦。,
TEsoe1Miki.Someone.41,什么也无法舍弃的人，什么也无法得到。,
TEsoe1Miki.Someone.42,你和别人不一样。,
TEsoe1Miki.Someone.43,道路已经被决定。,
TEsoe1Miki.Someone.44,迄今为止的牺牲，迎来了终局。,
TEsoe1Miki.Typing.45.1,什么道路？,
TEsoe1Miki.Typing.45.2,什么终局？,
TEsoe1Miki.Someone.47,你很特别。,
TEsoe1Miki.Someone.48,九年前大川的夏天，在风琴路。,
TEsoe1Miki.Someone.49,我吃完主食+正在往学校走。,
TEsoe1Miki.Someone.50,夏日的薄雨扶隔着天幕下的一切。,
TEsoe1Miki.Someone.51,雨，命运之帘是灰色的流苏。,
TEsoe1Miki.Someone.52,我喜欢淋雨，喜欢听它滋滋落在可乐的塑料杯盖上。,
TEsoe1Miki.Someone.53,我当时在考虑着是接受溪木斯大学的邀请出国。,
TEsoe1Miki.Someone.54,还是留在大川读完高中，参加升学考试。,
TEsoe1Miki.Typing.55,我打断一下,
TEsoe1Miki.Someone.1001,先让我说完吧。,
TEsoe1Miki.Someone.56,然后你出现了。,
TEsoe1Miki.Someone.57,你撑着一把伞。,
TEsoe1Miki.Someone.58,应该是一把浅灰色的伞。,
TEsoe1Miki.Someone.59,你怎么不打伞啊？,
TEsoe1Miki.Someone.60,你这么问我。,
TEsoe1Miki.Someone.61,在这之前我们几乎没有说过什么话。,
TEsoe1Miki.Someone.62,那天我们说了很多。,
TEsoe1Miki.Someone.63,全都是些无关紧要的话。,
TEsoe1Miki.Someone.64,肤浅到我无法回忆起其中的任何一句。,
TEsoe1Miki.Someone.65,你最后问我。,
TEsoe1Miki.Someone.66,“感觉你说话还挺好玩的，,
TEsoe1Miki.Someone.67,我们能当朋友吗？”,
TEsoe1Miki.Someone.68,这句话当时并没有使我枯死的内心产生什么波澜。,
TEsoe1Miki.Someone.69,我只是一个做题家。,
TEsoe1Miki.Someone.70,为了家人、学校、老师——,
TEsoe1Miki.Someone.71,其实都不是。,
TEsoe1Miki.Someone.72,为了能验证自己的存在。,
TEsoe1Miki.Someone.73,不让我觉得自己是个不被需要的人。,
TEsoe1Miki.Someone.74,被需要。,
TEsoe1Miki.Someone.75,这个念头在我的脑海里生根发芽、开枝散叶。,
TEsoe1Miki.Someone.76,也许 Nil 没有对你提起过。,
TEsoe1Miki.Someone.77,那段他在 TT 爆破组工作的往事。,
TEsoe1Miki.Someone.78,当时爆破组首席是一位我们都很敬重的前辈 Baker。,
TEsoe1Miki.Someone.79,他们对赛博生命相关技术的研究日趋成熟。,
TEsoe1Miki.Someone.80,我们都相信赛博生命就是未来。,
TEsoe1Miki.Someone.81,他们的研究使社会进步，未来光亮——,
TEsoe1Miki.Someone.82,也使 TT 越来越贪婪，越来越不可阻挡。,
TEsoe1Miki.Someone.83,在TT提出限制法案的雏形后，Baker 带着爆破组极力反对。,
TEsoe1Miki.Someone.84,他们没能成功。,
TEsoe1Miki.Someone.85,事情以 Baker 从 TT 大厦跳楼结束。,
TEsoe1Miki.Someone.86,随后 Nil 离开了 TT，一个人。,
TEsoe1Miki.Someone.87,普通人难以割舍年薪超过百万的工作。,
TEsoe1Miki.Typing.88.1,为什么和我说这些？,
TEsoe1Miki.Typing.88.2,……,
TEsoe1Miki.Someone.90,这次换我来说服你吧。,
TEsoe1Miki.Someone.91,Nil、神之域超门、我和同伴们奋斗至今的目标——,
TEsoe1Miki.Someone.92,打倒TT，创造一个赛博生命和人类和谐共处的世界。,
TEsoe1Miki.Someone.93,更好的世界。,
TEsoe1Miki.Someone.94,在Pi牺牲了无数次，我的双手亦染满鲜血后。,
TEsoe1Miki.Someone.95,这个夙愿终于要实现了。,
TEsoe1Miki.Typing.96.1,这不是真相,
TEsoe1Miki.Typing.96.2,TT 没有被打倒,
TEsoe1Miki.Someone.98,TT 永远不可能被打倒。,
TEsoe1Miki.Someone.99,一个 TT 倒下了，就会有另一个 TT 站起来。,
TEsoe1Miki.Someone.100,总有人要来当这个抽水、压榨的人。,
TEsoe1Miki.Someone.101,换我来当。,
TEsoe1Miki.Someone.102,我已经摒弃一切世俗的拥有。,
TEsoe1Miki.Someone.103,麻园抽出来的水全部都会用来浇灌麻园的土地。,
TEsoe1Miki.Someone.104,我来建立新的秩序。,
TEsoe1Miki.Typing.105.1,没人能摒弃一切,
TEsoe1Miki.Typing.105.2,Pi 不能白死！,
TEsoe1Miki.Typing.107,你想和杀人犯一起工作吗？,
TEsoe1Miki.Someone.108,我不想。,
TEsoe1Miki.Someone.109,Pi 的事情已经血债血偿。,
TEsoe1Miki.Typing.105.3,……,
TEsoe1Miki.Someone.111,Nil 必须收手，神之域超门必须解散。,
TEsoe1Miki.Someone.112,更好的世界已经到来。,
TEsoe1Miki.Someone.113,我好高兴啊，Miki。,
TEsoe1Miki.Someone.114,你们，终于都可以生活在这个更好的世界里了。,
TEsoe1Miki.Typing.115.1,那不是更好的世界,
TEsoe1Miki.Typing.115.2,……,
TEsoe1Miki.Someone.116,我想过。,
TEsoe1Miki.Someone.117,如果那天在星水你给了我不一样的答案的话。,
TEsoe1Miki.Someone.118,如果我可以学会依赖同伴的话。,
TEsoe1Miki.Someone.119,现在没法回头了，我必须一直前进下去。,
TEsoe1Miki.Someone.120,很高兴认识你，Miki。,
TEsoe1Miki.Someone.121,我会永远记得这段时间。,
