"location","source","target"
"﻿FinalReviewRegu.NoNeko.1","一场失约的电音节，一段友谊的结束。",""
"FinalReviewRegu.NoNeko.2","至于工作——","至于工作——"
"FinalReviewRegu.Neko.1","一场失约的电音节，一段友谊的结束。","一场失约的电音节，一段友谊的结束。"
"FinalReviewRegu.Neko.2","Regules放下了关于麻园和Neko的执念。",""
"FinalReviewRegu.Neko.3","也放下了Mo和Nora，他们只是画饼和发钱的NPC。","也放下了Mo和Nora，他们只是画饼和发钱的NPC。"
"FinalReviewRegu.Neko.4","Regules决定重启麻园网络不可思议系列——","Regules决定重启麻园网络不可思议系列——"
"FinalReviewRegu.Neko.5","他想储备一些用作房租的钱，想慢慢回到能正常创作的精神状态。","他想储备一些用作房租的钱，想慢慢回到能正常创作的精神状态。"
"FinalReviewRegu.Neko.6","是时候了，麻园网络的唯一正统，栗岛的大魔法师即将回归——","是时候了，麻园网络的唯一正统，栗岛的大魔法师即将回归——"
"FinalReviewRegu.Neko.7","她将宣告：","她将宣告："
"FinalReviewRegu.Neko.8","二次元没有投降，二次元还在抵抗。","二次元没有投降，二次元还在抵抗。"
"FinalReviewRegu.Mo.1","Mo的大饼没能兑现。","Mo的大饼没能兑现。"
"FinalReviewRegu.Nora.1","公司状态和Nora的病情一样起起伏伏。","公司状态和Nora的病情一样起起伏伏。"
"FinalReviewRegu.Nora.2","Regules放下了关于麻园和Neko的执念。","Regules放下了关于麻园和Neko的执念。"
"FinalReviewRegu.Nora.3","独自一人走在栗岛的海边，思考着苟延残喘的工作，","独自一人走在栗岛的海边，思考着苟延残喘的工作，"
"FinalReviewRegu.Nora.4","怀念着那个叱咤风云的Regu酱。","怀念着那个叱咤风云的Regu酱。"
"FinalReviewRegu.Nora.5","大概……是把她弄丢了。","大概……是把她弄丢了。"
"FinalReviewRegu.Nora.6","大概……找不回来也没关系吧……？","大概……找不回来也没关系吧……？"
