location,source,target
D2Over.Monologue.1,算了算了，准备下班。,
D2Over.Monologue.2,不过记得刚刚看到<color=#DB7F20> Ben 和 Sake </color>在好友列表。,
D2Over.Monologue.3,"Ben 曾经是我的同事，
和我一样怀揣着建筑设计的梦想。",
D2Over.Monologue.4,但现在到游戏工作室去工作了。,
D2Over.Monologue.201,我倒是几乎白天都泡在建筑的事情上。,
D2Over.Monologue.202,设计院的工作也渐渐游刃有余。,
D2Over.Monologue.203,应力、钢筋、设计史逐渐在我的脑海中开枝散叶——,
D2Over.Monologue.6,这样的状态保持下去马上就要变成<color=#DB7F20> 二级建筑师 </color>了呀，哈哈。,
D2Over.Monologue.7,通过 Ben 我还认识了同样在游戏行业工作的平面设计师 Sake。,
D2Over.Monologue.8,"以前我们三个，
有时还有 Sake 的“女儿”Sue，经常一起出来玩。",
D2Over.Monologue.9,刚刚还有老妈，突然来找我。,
D2Over.Monologue.10,多半又是想问我什么时候回大川……,
D2Over.Monologue.11,下楼之前想想要不要联系他们吧。,
