location,source,target
KaedeCenol.Todo.0,检查老妈发送的聊天记录,
KaedeCenol.Think.1,直接用 Malow 的身份得到信息？,
KaedeCenol.Typing.1,你也不想别人知道 Cenol 的事情吧？,
KaedeCenol.Kaede.2,你到底想干嘛？,
KaedeCenol.Kaede.3,事到如今又提这件事情,
KaedeCenol.Kaede.4,Zoy 抓到了吗？,
KaedeCenol.Kaede.5,你答应过会找到她的,
KaedeCenol.Monologue.6,好了……现在又多出一个 Zoy。,
KaedeCenol.Monologue.7,有办法把这些事情都问清楚吗……？,
KaedeCenol.Typing.8.1,我有点记不清 Cenol 的事情了,
KaedeCenol.Kaede.9,那我也记不清,
KaedeCenol.Monologue.10,这样子不行……,
KaedeCenol.Monologue.11,Nil也不在线……,
KaedeCenol.Monologue.12,Nil……,
KaedeCenol.Monologue.13,好好想想Nil会怎么做……,
KaedeCenol.Monologue.14,网络替身工作的秘籍之三……,
KaedeCenol.Monologue.15,如果那些东西不是他乱编的。,
KaedeCenol.Monologue.16,决定战斗成败的……,
KaedeCenol.Monologue.17,不是替身使者的能力……,
KaedeCenol.Monologue.18,而是替身使者的意志！,
KaedeCenol.Monologue.19,来吧！,
KaedeCenol.Monologue.20,流淌在我血液里——,
KaedeCenol.Monologue.21,世世代代传承着的！,
KaedeCenol.Monologue.22,小说家的血脉！！,
KaedeCenol.Monologue.101,我不需要明白逻辑和背景，把我得到的名词组合在一起——,
KaedeCenol.Monologue.102,相信小说，只要我继续敲击键盘，一个合理的故事跃然屏上。,
KaedeCenol.Monologue.23,燃烧吧！,
KaedeCenol.Typing.8.2,Zoy 的事情有进展了,
KaedeCenol.Kaede.25,什么,
KaedeCenol.Typing.26,我们在麻园抓到了她,
KaedeCenol.Typing.27,只要你提供线索和口供我们就能定她的罪,
KaedeCenol.Kaede.28,被TT抓住了吗？,
KaedeCenol.Monologue.29,TT……难道说？,
KaedeCenol.Kaede.30,能定个什么罪啊,
KaedeCenol.Typing.31,非法交易,
KaedeCenol.Kaede.32,不会牵连到 Miki 吧？,
KaedeCenol.Monologue.33,Mi……ki？,
KaedeCenol.Monologue.34,这件事和我也有关系吗？,
KaedeCenol.Kaede.35,那我呢？,
KaedeCenol.Kaede.36,那件事毕竟和我也有关系,
KaedeCenol.Kaede.37,正是限制法案的风口上,
KaedeCenol.Typing.38,你就算有过失也不会怎么样的,
KaedeCenol.Kaede.39,哦,
KaedeCenol.Monologue.40,所以……老妈真的曾经和一个叫 Zoy 的赛博生命合谋过什么？,
KaedeCenol.Monologue.41,而且这些事和我也有关系？,
KaedeCenol.Typing.42,TT那边要验证一下当年的聊天记录,
KaedeCenol.Kaede.43,你没有存吗？,
KaedeCenol.Typing.44,存了,
KaedeCenol.Typing.45,但是立案必须要交叉验证,
KaedeCenol.Kaede.46,知道了,
KaedeCenol.Kaede.47,我可以把聊天记录给你,
KaedeCenol.Kaede.48,Zoy怎么样都好,
KaedeCenol.Kaede.49,或者我被吊销行医执照都无所谓,
KaedeCenol.Kaede.50,但是别把Miki扯进来,
KaedeCenol.Typing.51,我知道了，你发吧,
KaedeCenol.Kaede.52,你要保证不会把他牵扯进来,
KaedeCenol.Typing.53,我保证,
KaedeCenol.Kaede.54,好，你等我找找,
KaedeCenol.Kaede.55,"<color=#38639A><sprite name=""Link"">[Kaede 与 Zoy 的聊天记录]",
