location,source,target
FarewellNil.Miki.1,Nil 这小子，搞这么大阵仗。,
FarewellNil.Miki.2,自己不知道跑哪去了。,
FarewellNil.Miki.3,给他发个消息吧。,
FarewellNil.Nil.4,哦噫——,
FarewellNil.Miki.5,你是？,
FarewellNil.Nil.6,啧啧啧——,
FarewellNil.Nil.7,连自己朝夕相伴的同谋都认不出来了吗？,
FarewellNil.Nil.8,你这个薄情的女人。,
FarewellNil.Miki.9,靠。,
FarewellNil.Miki.10,我一直以为——,
FarewellNil.Nil.11,主角都是要压轴出场的。,
FarewellNil.Miki.12,压轴是倒数第二——,
FarewellNil.Nil.13,你不会觉得我会毫无准备地在你面前卖弄这些吧。,
FarewellNil.Miki.14,居然还要卖弄语法和从句。,
FarewellNil.Nil.15,喏，倒数第一来了。,
FarewellNil.Someone08.16,好久不见。,
FarewellNil.Nil.17,我们来送送你。,
FarewellNil.Nil.18,说实话我也没想到——,
FarewellNil.Nil.19,没想到你会和 TT 一起完蛋。,
FarewellNil.Nil.20,卿卿我我的事情先放在一边。,
FarewellNil.Miki.21,你给我等一下，哪里有什么——,
FarewellNil.Nil.22,说正事先。,
FarewellNil.Nil.23,真的不留下来吗？,
FarewellNil.Nil.24,我筹划着租一间办公室。,
FarewellNil.Nil.25,做点……,
FarewellNil.Nil.26,“实业”？,
FarewellNil.Miki.27,不了。,
FarewellNil.Miki.28,我要回家休息一段时间。,
FarewellNil.Nil.29,卖飞**我感觉挺赚钱的？,
FarewellNil.Nil.30,或者福瑞酒吧？,
FarewellNil.Nil.31,福瑞酒保行动！,
FarewellNil.Nil.32,你来当福瑞。,
FarewellNil.Miki.33,不了，真的。,
FarewellNil.Nil.34,好吧。,
FarewellNil.Nil.35,那牛郎成人跑团咖啡——,
FarewellNil.Someone08.36,你说得够多了，Nil。,
FarewellNil.Nil.37,我还没说精酿啤酒呢。,
FarewellNil.Nil.38,我曾背着这份责任，年复一年。,
FarewellNil.Nil.39,哈哈。,
FarewellNil.Someone08.40,Miki 有自己的路要走。,
FarewellNil.Someone08.41,我们也是。,
FarewellNil.Nil.42,好吧好吧。,
FarewellNil.Nil.43,那我们……,
FarewellNil.Miki.44,啊，原来是这样。,
FarewellNil.Someone08.45,不行的。,
FarewellNil.Nil.46,可恶——！,
