location,source,target
WilltoViz.Todo.0,尝试用 Will 给 Viz 发消息,
WilltoViz.Monologue.2,确定,
WilltoViz.Monologue.3,再想想……,
WilltoViz.Typing.4,我回来了,
WilltoViz.Viz.5,这几天去哪了啊,
WilltoViz.Viz.6,我很担心你,
WilltoViz.Viz.7,你想明白了吗,
WilltoViz.Monologue.8,……,
WilltoViz.Monologue.9,所以是什么事情想明白了……,
WilltoViz.Typing.10.1,我们结婚吧,
WilltoViz.Viz.11,？,
WilltoViz.Viz.12,你在说什么啊？,
WilltoViz.Viz.13,为什么要开这种无聊的玩笑,
WilltoViz.Typing.10.2,我还没想好,
WilltoViz.Viz.15,好,
WilltoViz.Monologue.16,好是什么意思……,
WilltoViz.Monologue.17,靠……举步维艰啊,
WilltoViz.Monologue.18,我是不是缺了什么线索……,
WilltoViz.Typing.19,/不回,
WilltoViz.Typing.20,我没有怪你,
WilltoViz.Think.200,记得 Viz 和 Will 说过什么对不起,
WilltoViz.Viz.21,是吗,
WilltoViz.Typing.22,所以你是怎么想的,
WilltoViz.Monologue.23,我好像也抓住了一点当谜语人的精髓……,
WilltoViz.Viz.24,我不知道,
WilltoViz.Viz.25,我真的不知道，Will,
WilltoViz.Viz.26,公司已经乱成一锅粥了,
WilltoViz.Viz.27,我很想怪你,
WilltoViz.Viz.28,但我知道这不是你的错,
WilltoViz.Viz.29,毕竟,
WilltoViz.Viz.30,我是先离开的人,
WilltoViz.Viz.31,真的很对不起。,
WilltoViz.Monologue.32,先离开……,
WilltoViz.Monologue.33,也就是说17号那天 Viz 向 Will 道歉的理由是……,
WilltoViz.Monologue.34,她决定要跳槽了……？,
WilltoViz.Typing.35,你不是没有离开公司吗？,
WilltoViz.Viz.36,恩,
WilltoViz.Typing.37,你和Frank提了吗？,
WilltoViz.Viz.38,没,
WilltoViz.Viz.39,至少这个节骨眼儿上，我再走了就,
WilltoViz.Viz.40,不好,
WilltoViz.Viz.41,我好像失去了一切,
WilltoViz.Typing.42,其实还来得及吧,
WilltoViz.Viz.43,什么？,
WilltoViz.Typing.44,只要大家还能在一起做游戏,
WilltoViz.Typing.45,欠的账总能抹平,
WilltoViz.Think.201,Viz 好像欠钱来着,
WilltoViz.Viz.46,骗子。,
WilltoViz.Viz.47,Will 是个骗子,
WilltoViz.Viz.48,真真假假，虚虚实实,
WilltoViz.Viz.49,我根本分不清你说的哪句话是真的,
WilltoViz.Monologue.50,……,
WilltoViz.Monologue.51,在遭到其他 2 位创始人背叛后，并没有马上离开公司……,
WilltoViz.Monologue.52,而是坚持了一段时间直到 Viz 决定离开之后才人间蒸发……,
WilltoViz.Monologue.53,Will的真实想法究竟是……,
WilltoViz.Typing.54.1,我还在你身边,
WilltoViz.Think.202,我怎么知道……,
WilltoViz.Viz.55,骗子,
WilltoViz.Viz.56,你根本就说走就走了,
WilltoViz.Viz.57,你有考虑过我吗？有考虑过幽灵协议2吗？,
WilltoViz.Viz.58,你根本没有！,
WilltoViz.Viz.59,不可以去和发行商谈？不可以和Frank谈？,
WilltoViz.Viz.60,搞得自己和悲剧主角一样,
WilltoViz.Viz.61,什么都完蛋了，这就是你想要的对吗？,
WilltoViz.Typing.62,可你说的那些事情，你自己也没有做啊,
WilltoViz.Viz.63,我做不到啊！,
WilltoViz.Viz.64,我没办法。,
WilltoViz.Viz.65,一直以来，都是你说什么我就画什么,
WilltoViz.Viz.66,没有你我什么都做不到,
WilltoViz.Viz.67,我之所以和你说要离开,
WilltoViz.Viz.68,是希望你能阻止我 你能挽留我,
WilltoViz.Viz.69,可你为什么 什么都不说啊,
WilltoViz.Viz.70,在你心里 我到底是什么,
WilltoViz.Monologue.71,靠……被她问得说不出话,
WilltoViz.Viz.72,对不起。,
WilltoViz.Viz.73,我失态了,
WilltoViz.Viz.74,祝好。,
WilltoViz.Monologue.75,等一下、等一下，我还有办法挽救。,
WilltoViz.Typing.76.1,其实剧本我已经写好了,
WilltoViz.Typing.76.2,我做手游也没关系的,
WilltoViz.Typing.76.3,只要有你在身边就好,
WilltoViz.Monologue.79,……,
WilltoViz.Monologue.80,好像说了和事实相悖的话……,
WilltoViz.Typing.54.2,我已经心灰意冷了,
WilltoViz.Viz.82,好,
WilltoViz.Viz.83,一直以来，都谢谢你的照顾了,
WilltoViz.Viz.84,你说什么我就画什么,
WilltoViz.Viz.85,幽灵协议 是我人生中很重要很重要的回忆,
WilltoViz.Viz.86,如果没有你的话，我还是一个流落在大川的网瘾少女,
WilltoViz.Viz.87,你是我人生的灯塔，will,
WilltoViz.Viz.88,我曾经深深爱过你,
WilltoViz.Typing.89.1,我也爱你,
WilltoViz.Typing.89.2,别辞职，留下来,
WilltoViz.Typing.89.3,我回来和 Frank 谈谈,
WilltoViz.Monologue.92,靠！！,
WilltoViz.Monologue.93,为什么又这样啊！,
WilltoViz.Monologue.94,难道我说了和事实相悖的话……？,
WilltoViz.Typing.54.3,我也不知道,
WilltoViz.Typing.96,我不想你离开,
WilltoViz.Viz.97,骗子,
WilltoViz.Viz.98,你根本就说走就走了,
WilltoViz.Viz.99,你有考虑过我吗？有考虑过幽灵协议 2 吗？,
WilltoViz.Viz.100,你根本没有！,
WilltoViz.Viz.101,不可以去和发行商谈？不可以和 Frank 谈？,
WilltoViz.Viz.102,搞得自己和悲剧主角一样,
WilltoViz.Viz.103,什么都完蛋了，这就是你想要的对吗？,
WilltoViz.Typing.104,可你说的那些事情，你自己也没有做啊,
WilltoViz.Viz.105,我做不到啊！,
WilltoViz.Viz.106,我没办法。,
WilltoViz.Viz.107,一直以来，都是你说什么我就画什么,
WilltoViz.Viz.108,没有你我什么都做不到,
WilltoViz.Viz.109,我之所以和你说要离开,
WilltoViz.Viz.110,是希望你能阻止我 你能挽留我,
WilltoViz.Typing.111,我想开口,
WilltoViz.Viz.112,可你为什么 什么都不说啊,
WilltoViz.Viz.113,在你心里 我到底是什么,
WilltoViz.Typing.114,我不知道，有些瞬间,
WilltoViz.Typing.115,我觉得我自己爱上你了,
WilltoViz.Typing.116,我又很害怕失去你,
WilltoViz.Typing.117,那些蠢到被窝里的“晚安”,
WilltoViz.Typing.118,你都视而不见吗,
WilltoViz.Viz.119,这太没道理了,
WilltoViz.Viz.120,真的没有一点儿道理,
WilltoViz.Viz.121,爱太没道理了,
WilltoViz.Viz.122,我们认识6年了我不知道为什么会变成这样,
WilltoViz.Viz.123,它让我觉得害怕，又让我想要依赖,
WilltoViz.Viz.124,我这一生从来没有这么不坦诚过,
WilltoViz.Viz.125,如果没有你的话，我还是一个流落街头的网瘾少女,
WilltoViz.Typing.126.1,也许是时候结束了,
WilltoViz.Viz.127,什么？,
WilltoViz.Viz.128,别在这个时候离开我 求你了,
WilltoViz.Typing.129,公司,
WilltoViz.Typing.126.2,也许是时候重新开始了,
WilltoViz.Viz.131,什么？,
WilltoViz.Viz.132,别在这个时候离开我 求你了,
WilltoViz.Typing.133,生活,
WilltoViz.Typing.126.3,这个愚蠢的手游项目,
WilltoViz.Typing.135,让他们都去死吧,
WilltoViz.Typing.136,只要你想的话,
WilltoViz.Viz.137,我想和你永远在一起,
WilltoViz.Viz.138,我不要模棱两可的答案了,
WilltoViz.Viz.139,你愿意还是不愿意,
WilltoViz.Viz.140,我们去哪里,
WilltoViz.Viz.141,你告诉我就行,
WilltoViz.Typing.142.1,我愿意,
WilltoViz.Typing.143,但是给我一点时间,
WilltoViz.Typing.144,我还有些事情没想明白,
WilltoViz.Viz.145,好,
WilltoViz.Viz.146,我等你,
WilltoViz.Monologue.147,坏了……,
WilltoViz.Monologue.148,在超高的情绪压力下。,
WilltoViz.Monologue.149,不小心许下了难以兑现的诺言。,
WilltoViz.Typing.142.2,给我点时间,
WilltoViz.Typing.151,可以吗,
WilltoViz.Typing.152,我还有些事情没想明白,
WilltoViz.Viz.153,好,
WilltoViz.Viz.154,我等你,
WilltoViz.Monologue.155,Viz 的情况应该了解得差不多了……,
WilltoViz.Monologue.156,再一次——,
WilltoViz.Monologue.157,本替身陷入他人的爱情之中。,
WilltoViz.Monologue.158,但剧本还是毫无线索，再去找别的人试试吧。,
WilltoViz.Monologue.159,但剧本还是毫无线索，难道没有其他人可以问了吗……,
WilltoViz.Todo.160,被 Viz 删除了,
WilltoViz.Todo.161,和 Viz 拉扯了一会,
