location,source,target
DaisyCome2.Typing.200,Daisy，你话还没说完,
DaisyCome2.Daisy.201,哦哦！,
DaisyCome2.Daisy.1,我们还是赶快回到重点吧！,
DaisyCome2.Daisy.2,我差不多要把手机还给同事了,
DaisyCome2.Daisy.3,简单来说就是我遇到了一些经济方面的困难,
DaisyCome2.Daisy.4,我可能需要找你借一点钱,
DaisyCome2.Daisy.5,但是！,
DaisyCome2.Daisy.6,但是，我很快就会还给你的,
DaisyCome2.Daisy.7,文学社的书一上架，我马上就把钱还给你！,
DaisyCome2.Typing.8,是本什么书,
DaisyCome2.Daisy.9,是我们社员们用心血浇筑的短篇集,
DaisyCome2.Daisy.10,还有往届学长学姐们的光荣和梦想,
DaisyCome2.Typing.11,好的,
DaisyCome2.Daisy.12,说起来里面有几个还不错的魔法短篇,
DaisyCome2.Monologue.13,魔法……？,
DaisyCome2.Typing.14.1,你是说科幻吗？,
DaisyCome2.Daisy.15,不是啦,
DaisyCome2.Daisy.16,硬要说的话,
DaisyCome2.Daisy.17,有点类似于奇幻？,
DaisyCome2.Daisy.18,但是我们已经放弃掉那个术语了,
DaisyCome2.Daisy.19,它有点过于古旧,
DaisyCome2.Daisy.20,已经难以总结出同类作品,
DaisyCome2.Daisy.21,嗯,
DaisyCome2.Daisy.22,是用现实世界精度去构筑魔法故事的小说,
DaisyCome2.Daisy.23,我们就叫作魔法小说,
DaisyCome2.Typing.14.2,你是说西幻吗？,
DaisyCome2.Daisy.25,没想到哥哥还知道这种术语,
DaisyCome2.Daisy.26,没想到姐姐还知道这种术语,
DaisyCome2.Daisy.27,我们已经放弃掉这个术语啦,
DaisyCome2.Daisy.28,有点类似，但其实不一样,
DaisyCome2.Daisy.29,西幻小说这个说法有点过于古旧,
DaisyCome2.Daisy.30,而且只有亚东在用这个概念,
DaisyCome2.Daisy.31,已经难以总结出同类作品了,
DaisyCome2.Daisy.32,简而言之魔法小说是以,
DaisyCome2.Daisy.33,现实世界精度去构筑魔法故事的小说,
DaisyCome2.Typing.34,不错,
DaisyCome2.Daisy.35,是通向未来的小说哦,
DaisyCome2.Typing.36,所以你要钱做什么？,
DaisyCome2.Daisy.37,我想报名 Pheo 的写作大师班,
DaisyCome2.Typing.38,这和你的文学社还有你刚刚说的那本书有什么关系吗？,
DaisyCome2.Daisy.39,其实没有特别大的关系,
DaisyCome2.Daisy.40,书的内容已经收集得七七八八了，我最多再补一个短篇,
DaisyCome2.Daisy.41,但不管这个短篇写得有多精彩，都不会影响到它惨淡的销量,
DaisyCome2.Daisy.42,谁能想到一个骄傲的传统文学作家，最后只能只能指望 AI 绘制的封面和插图来撑销量,
DaisyCome2.Daisy.43,啊，悲剧啊！,
DaisyCome2.Typing.44.1,明知销量惨淡还是要出吗？,
DaisyCome2.Daisy.45,没办法，这就是我最后的波纹了,
DaisyCome2.Daisy.46,至少实现了前辈们出书的夙愿，我这个社长也就算尽力咯（笑）,
DaisyCome2.Monologue.47,那我的钱不就……,
DaisyCome2.Typing.44.2,拜托你不要糟蹋现代诗,
DaisyCome2.Daisy.49,好的，哥哥,
DaisyCome2.Daisy.50,好的，姐姐,
DaisyCome2.Typing.51,好吧，我们来聊聊你证词中的疑点吧,
DaisyCome2.Typing.52,你们要出版的这本书，已经拿到书号了吗？,
DaisyCome2.Daisy.53,不，我们负担不起一个亚东的书号,
DaisyCome2.Daisy.54,我们会说它是一本笔记本,
DaisyCome2.Daisy.55,如果东窗事发，我是说如果的话,
DaisyCome2.Daisy.56,那请你和老妈为本社长准备保释金和巧克力蛋糕,
DaisyCome2.Typing.57,好的，下一个问题,
DaisyCome2.Typing.58,非得在这个时候上这个大师班吗,
DaisyCome2.Typing.59,存存钱，等你升学考试结束之后,
DaisyCome2.Typing.60,再悠闲地去上不好吗,
DaisyCome2.Daisy.61,这是最后一届啦！,
DaisyCome2.Daisy.62,Pheo 说之后会专注于创作,
DaisyCome2.Daisy.63,换句话说，这是我成为关门弟子的最好时机,
DaisyCome2.Typing.64,Pheo 和写作，对你来说真的很重要吗？,
DaisyCome2.Daisy.65,我不知道要怎么说 ,
DaisyCome2.Daisy.66,可能就像哥哥你选择成为一个建筑师一样,
DaisyCome2.Daisy.67,可能就像姐姐你选择成为一个建筑师一样,
DaisyCome2.Daisy.68,哪怕没有赚到很多钱,
DaisyCome2.Daisy.69,甚至是要打工来贴补写作，我都会觉得快乐,
DaisyCome2.Daisy.70,因为，写作会让我觉得开心，不管是写散文还是诗,
DaisyCome2.Daisy.71,把自己脑海中的想法一个字一个字织成文章,
DaisyCome2.Daisy.72,这种感觉真的太好了,
DaisyCome2.Daisy.73,哥哥也曾经被某个建筑，某处设计击中过吧？,
DaisyCome2.Daisy.74,姐姐也曾经被某个建筑，某处设计击中过吧？,
DaisyCome2.Typing.75.1,嗯，有过,
DaisyCome2.Typing.75.2,/不回,
DaisyCome2.Daisy.77,我看 Pheo 的文章很多时候也会有这种感觉,
DaisyCome2.Daisy.78,他的演讲，他的文章都让我感觉到我想成为一个他那样的作家,
DaisyCome2.Daisy.79,我对未来的事情也没什么特别长远的看法，只是想去学习、去了解最厉害的作家是怎么写作的,
DaisyCome2.Daisy.80,我觉得这个机会可以改变我的生活,
DaisyCome2.Typing.81,我这次没办法帮你,
DaisyCome2.Achievements.82,拒绝了妹妹的借钱要求，麻园的消费水平啊……,
DaisyCome2.Typing.83,对不起啊，妹,
DaisyCome2.Typing.84,我自己也在水深火热之中,
DaisyCome2.Daisy.85,啊啊，没关系没关系的,
DaisyCome2.Daisy.86,我再想想别的办法就好啦,
DaisyCome2.Daisy.87,我也说过吧，别小看了女高中生,
DaisyCome2.Daisy.88,我得把手机还回去啦，下次再聊咯,
DaisyCome2.Typing.89,好吧，我们现在可以谈谈具体金额的问题了,
DaisyCome2.Daisy.90,哥哥太棒了！,
DaisyCome2.Daisy.91,姐姐太棒了！,
DaisyCome2.Daisy.92,报名费10900，截止日期是6月28,
DaisyCome2.Daisy.93,目前我手上有7000，还需要哥哥帮我解决3900的空余,
DaisyCome2.Daisy.94,目前我手上有7000，还需要姐姐帮我解决3900的空余,
DaisyCome2.Monologue.95,"3900啊……
以我的经济状况来说还真不是个小数目。",
DaisyCome2.Typing.96.1,你为什么不找老妈要点赞助,
DaisyCome2.Daisy.97,老妈已经赞助过我两千啦,
DaisyCome2.Typing.96.2,你一个高中生居然有这么大的现金流吗,
DaisyCome2.Daisy.99,其实有两千是老妈赞助的,
DaisyCome2.Typing.100,还没到雪季,
DaisyCome2.Typing.101,诊所的生意这么好吗？,
DaisyCome2.Daisy.102,哦！说起这个,
DaisyCome2.Daisy.103,老妈说打算明年开一个消化科,
DaisyCome2.Daisy.104,这样夏天也有一个食物中毒的旺季呢,
DaisyCome2.Typing.105.1,为啥夏天有旺季,
DaisyCome2.Daisy.106,可能是冰淇淋和蘑菇一类的吧,
DaisyCome2.Typing.105.2,你去读医学院吧,
DaisyCome2.Daisy.108,我不要,
DaisyCome2.Daisy.109,我去菜市场看别人砍排骨都觉得肋骨疼,
DaisyCome2.Daisy.110,跑题了跑题了,
DaisyCome2.Daisy.111,其实是,
DaisyCome2.Daisy.112,她前两天去长丰做了个飞刀手术,
DaisyCome2.Daisy.113,据说小赚了六千块,
DaisyCome2.Achievements.114,答应要借给妹妹一笔钱，有种背上房贷的感觉……,
DaisyCome2.Todo.0,6月28号前借给妹妹 3900（还差2134）,
DaisyCome2.Typing.115,我会在6月28号之前把钱转你的,
DaisyCome2.Daisy.116,好耶！谢谢哥哥！,
DaisyCome2.Daisy.117,好耶！谢谢姐姐！,
DaisyCome2.Daisy.118,如果没有你的话我真是不知道该怎么办了,
DaisyCome2.Typing.119,好了，快点把手机还给人家，早点回家吧,
DaisyCome2.Daisy.120,嗯嗯嗯嗯,
DaisyCome2.Monologue.121,"对了，
要不要顺便打听一下老妈的状况？",
DaisyCome2.Monologue.122,"虽然昨天才聊过天，但是，
好像完全没有关心她的事情。",
DaisyCome2.Typing.123.1,不问,
DaisyCome2.Monologue.124,算了，我自己再找机会吧。,
DaisyCome2.Typing.123.2,老妈这两天怎么样？,
DaisyCome2.Monologue.126,小鬼头又不说话了……,
DaisyCome2.Monologue.127,已经把手机还回去了吗……,
DaisyCome2.Monologue.128,下次应该早一点问她的。,
DaisyCome2.Monologue.129,"这个 Pheo，
如果可以拜托 Nil 找到他的联系方式的话。",
DaisyCome2.Monologue.130,说不定能便宜一点。,
DaisyCome2.Monologue.131,之后问问看吧。,
DaisyCome2.think.132,还是问一下,
