location,source,target
MikiGetMoney.Think.100,收了的话会怎么样？,
MikiGetMoney.Think.101,我确实是向 Alan 要了 100,
MikiGetMoney.Think.102,我确实是向 Alan 要了 200,
MikiGetMoney.Think.103,但他给我钱了吗？,
MikiGetMoney.Typing.0,收了,
MikiGetMoney.Nil.1,啧，这有点小不妙啊,
MikiGetMoney.Monologue.2,该死，那时候彻底忘了他是网络警察。,
MikiGetMoney.Monologue.3,呼……还好那时候他没把钱给我,
MikiGetMoney.Typing.4,我要换个账号吗,
MikiGetMoney.Typing.5,我要准备肉身逃离麻园吗,
MikiGetMoney.Nil.6,那倒是没那么夸张,
MikiGetMoney.Nil.7,公司的钱我都预设了防火墙的,
MikiGetMoney.Nil.8,我有没有和你说过我和税局的一个人有过一段儿,
MikiGetMoney.Typing.9,呃，一段儿什么？,
MikiGetMoney.Nil.10,关系,
MikiGetMoney.Typing.11,好的，我明白了,
MikiGetMoney.Nil.12,我们第一次见面在一个商务酒会,
MikiGetMoney.Nil.13,我陪她下去抽烟,
MikiGetMoney.Nil.14,我不知道我提没提过，我其实不抽烟,
MikiGetMoney.Nil.15,那是我的第一根烟,
MikiGetMoney.Nil.16,我好像有点跑题,
MikiGetMoney.Typing.17,好像跑题了,
MikiGetMoney.Nil.18,哦是的，谢谢你提醒我，miki,
MikiGetMoney.Typing.19,你应该没说过,
MikiGetMoney.Nil.20,好的，那不重要,
MikiGetMoney.Nil.21,我现在把你收款的账号里的钱，买成加密货币,
MikiGetMoney.Nil.22,吖？这不是没有收吗？,
MikiGetMoney.Nil.23,我本来想帮你把过一道加密货币,
MikiGetMoney.Nil.24,看来你还有点警惕性嘛,
MikiGetMoney.Nil.25,干得不错搭档,
MikiGetMoney.Nil.26,不过说起加密货币,
MikiGetMoney.Nil.27,那些东西你可千万别碰，会变得不幸,
MikiGetMoney.Typing.28,好吧,
MikiGetMoney.Nil.29,你喜欢狗还是猫？,
MikiGetMoney.Typing.30,狗,
MikiGetMoney.Nil.31,OK，我已经帮你把那笔钱买成了狗币,
MikiGetMoney.Nil.32,再卖给一个回收池,
MikiGetMoney.Nil.33,这样就没问题了,
MikiGetMoney.Typing.34,猫,
MikiGetMoney.Nil.35,OK，我已经帮你把那笔钱买成了猫币,
MikiGetMoney.Nil.36,再卖给一个回收池,
MikiGetMoney.Nil.37,这样就没问题了,
MikiGetMoney.Typing.38,为什么问这个？,
MikiGetMoney.Nil.39,没啥，我已经帮你把那笔钱买成了海鸥币,
MikiGetMoney.Nil.40,再卖给一个回收池,
MikiGetMoney.Nil.41,这样就没问题了,
MikiGetMoney.Nil.42,调查员就不能根据汇款方向查到你的身份信息了,
MikiGetMoney.Typing.43,好神奇,
MikiGetMoney.Nil.44,这就是加密货币，嘎哈哈,
MikiGetMoney.Typing.45,但是我的钱怎么少了,
MikiGetMoney.Nil.46,这个嘛，这些东西的汇率就是这样的啦,
MikiGetMoney.Nil.47,除了洗钱以外，千万别碰，会变得不幸,
MikiGetMoney.Typing.48,好吧,
MikiGetMoney.Typing.49,没收,
MikiGetMoney.Nil.50,干得不错嘛搭档,
MikiGetMoney.Nil.51,看来你还有点警惕性,
MikiGetMoney.Nil.52,这事情可说不得谎哦,
MikiGetMoney.Nil.53,被TT盯上可是很麻烦的,
MikiGetMoney.Typing.54,如果我收了的话会怎么样,
MikiGetMoney.Nil.55,那样就有点不妙了,
MikiGetMoney.Nil.56,公司的钱我倒是都预设了防火墙,
MikiGetMoney.Nil.57,不过只有在他不想找我们麻烦的情况下才有效,
MikiGetMoney.Nil.58,既然你没收钱就没那么多麻烦事儿了,
MikiGetMoney.Nil.59,我本来还想帮你把过一道加密货币,
MikiGetMoney.Nil.60,不过说起加密货币,
MikiGetMoney.Nil.61,那些东西你可千万别碰，会变得不幸,
MikiGetMoney.Nil.62,靠，你这不是收了钱嘛,
MikiGetMoney.Typing.63,我大意了,
MikiGetMoney.Typing.64,对不起,
MikiGetMoney.Typing.65,我刚记错了,
MikiGetMoney.Nil.66,没事，我来处理吧,
