"location","source","target"
"﻿LithAskOver.Monologue.1","啊，账号操作不了了。","啊，账号操作不了了。"
"LithAskOver.Monologue.2","看来十二点到了……","看来十二点到了……"
"LithAskOver.Monologue.3","好像把 Lith 的粉丝都问过一遍了。","好像把 Lith 的粉丝都问过一遍了。"
"LithAskOver.Monologue.4","没能把 Lith 的粉丝都问完……","没能把 Lith 的粉丝都问完……"
"LithAskOver.Monologue.5","Dom 给了一大笔钱。","Dom 给了一大笔钱。"
"LithAskOver.Monologue.6","Dom 给了一些钱。","Dom 给了一些钱。"
"LithAskOver.Monologue.7","没有从 Dom 那里筹到钱。","没有从 Dom 那里筹到钱。"
"LithAskOver.Monologue.8","拿了 Meeka 的红包。","拿了 Meeka 的红包。"
"LithAskOver.Monologue.9","Meeka 还有个 200 的红包没拿。","Meeka 还有个 200 的红包没拿。"
"LithAskOver.Monologue.10","Meeka 突然不见了……","Meeka 突然不见了……"
"LithAskOver.Monologue.200","没有从 Meeka 那里筹到钱。","没有从 Meeka 那里筹到钱。"
"LithAskOver.Monologue.11","Aspen 给了一大笔钱。","Aspen 给了一大笔钱。"
"LithAskOver.Monologue.12","Aspen 给了一些钱。","Aspen 给了一些钱。"
"LithAskOver.Monologue.13","没有从 Aspen 那里筹到钱。","没有从 Aspen 那里筹到钱。"
"LithAskOver.Monologue.14","Deans 没有回复。","Deans 没有回复。"
"LithAskOver.Monologue.15","Woods 还是个未成年。","Woods 还是个未成年。"
"LithAskOver.Monologue.16","还是没有凑够 10000……","还是没有凑够 10000……"
"LithAskOver.Monologue.17","希望 Lith 多少给一点辛苦费……","希望 Lith 多少给一点辛苦费……"
"LithAskOver.Monologue.18","勉强凑够 10000了。","勉强凑够 10000了。"
"LithAskOver.Monologue.19","我也能拿个零头吧。","我也能拿个零头吧。"
"LithAskOver.Monologue.20","去找 Lith 吧。","去找 Lith 吧。"
"LithAskOver.Monologue.21","不过这个 MageCC 是什么意思。","不过这个 MageCC 是什么意思。"
"LithAskOver.Monologue.22","算了……实在看不懂……","算了……实在看不懂……"
"LithAskOver.Monologue.23","Lith 是赛博生命？","Lith 是赛博生命？"
"LithAskOver.Monologue.24","谨慎起见，要不要找 Nil 先问问……","谨慎起见，要不要找 Nil 先问问……"
"LithAskOver.Monologue.25","还是直接去找 Lith 要钱？","还是直接去找 Lith 要钱？"
"LithAskOver.Todo.100","向 Nil 询问 Lith 账号的情况","向 Nil 询问 Lith 账号的情况"
"LithAskOver.Todo.101","向 Lith 汇报情况","向 Lith 汇报情况"
