"location","source","target"
"﻿MaxCome2.Monologue.505","看到了，
Kathy 的好友 Max。","看到了，
Kathy 的好友 Max。"
"MaxCome2.Monologue.500","不过说起来最近活跃的好友和联系过的好友。","不过说起来最近活跃的好友和联系过的好友。"
"MaxCome2.Monologue.501","会自动更新到我的<color=#DB7F20> 好友列表 </color>里。","会自动更新到我的<color=#DB7F20> 好友列表 </color>里。"
"MaxCome2.Monologue.502","<color=#DB7F20> Ben 和 Sake </color>出现在了列表里，
意味着他们最近经常上网。","<color=#DB7F20> Ben 和 Sake </color>出现在了列表里，
意味着他们最近经常上网。"
"MaxCome2.Monologue.503","好久没和他们联系了。","好久没和他们联系了。"
"MaxCome2.Monologue.504","<color=#DB7F20> 订单结束之后 </color>要不要<color=#DB7F20> 找他们 </color>叙叙旧？","<color=#DB7F20> 订单结束之后 </color>要不要<color=#DB7F20> 找他们 </color>叙叙旧？"
"MaxCome2.Typing.11","你最近怎么样？","你最近怎么样？"
"MaxCome2.Typing.12","你在做什么？","你在做什么？"
"MaxCome2.Typing.13","你有没有什么想和我说的","你有没有什么想和我说的"
"MaxCome2.Max.14","想说的……","想说的……"
"MaxCome2.Max.1001","让我想想","让我想想"
"MaxCome2.Max.15","最近都还好啊","最近都还好啊"
"MaxCome2.Max.16","没在做什么特别的事情","没在做什么特别的事情"
"MaxCome2.Monologue.17","还好他没有说出“在想你”。","还好他没有说出“在想你”。"
"MaxCome2.Monologue.18","但是对话完全继续不下去。","但是对话完全继续不下去。"
"MaxCome2.Monologue.19","看来……
必须要直接说出来，对，直白一点。","看来……
必须要直接说出来，对，直白一点。"
"MaxCome2.Monologue.20","我将直接质问他有没有出轨。","我将直接质问他有没有出轨。"
"MaxCome2.Monologue.2001","既然进入了质问环节……","既然进入了质问环节……"
"MaxCome2.Monologue.2002","对了！我想起来了！","对了！我想起来了！"
"MaxCome2.Monologue.2003","只要从法庭纪录中提出证据就好。","只要从法庭纪录中提出证据就好。"
"MaxCome2.Todo.5","在“新鲜事”点击按钮 或按下 Tab 转发相关内容发起话题","在“新鲜事”点击按钮 或按下 Tab 转发相关内容发起话题"
"MaxCome2.Typing.2004","这个你要怎么解释","这个你要怎么解释"
"MaxCome2.Monologue.2005","空气居然沉默了……","空气居然沉默了……"
"MaxCome2.Monologue.2006","这难道就是传说中的……铁出轨？","这难道就是传说中的……铁出轨？"
"MaxCome2.Max.2007","我靠，我的脸怎么被拍得这么圆","我靠，我的脸怎么被拍得这么圆"
"MaxCome2.Max.2008","居然还是用官号发的","居然还是用官号发的"
"MaxCome2.Max.2009","我裂开","我裂开"
"MaxCome2.Monologue.2010","他好像在转移话题。","他好像在转移话题。"
"MaxCome2.Max.21","那个，Kathy 小姐，其实我最近在尝试开发一些新品","那个，Kathy 小姐，其实我最近在尝试开发一些新品"
"MaxCome2.Max.22","想做一个花椒美式，不知道你有没有兴趣今天过来尝一下","想做一个花椒美式，不知道你有没有兴趣今天过来尝一下"
"MaxCome2.Monologue.2011","他就是在转移话题。","他就是在转移话题。"
"MaxCome2.Monologue.23","不过……Kathy……小姐？
这是他们之间称呼彼此的方式吗？","不过……Kathy……小姐？
这是他们之间称呼彼此的方式吗？"
"MaxCome2.Max.24","虽然是有点突然","虽然是有点突然"
"MaxCome2.Max.1002","今天我们要去星水街摆摊来着","今天我们要去星水街摆摊来着"
"MaxCome2.Max.1003","要是今天能见面的话","要是今天能见面的话"
"MaxCome2.Max.1004","我还挺高兴的","我还挺高兴的"
"MaxCome2.Max.1005","毕竟你也有些日子没来了","毕竟你也有些日子没来了"
"MaxCome2.Typing.25","Max，你就打算这样敷衍过去？","Max，你就打算这样敷衍过去？"
"MaxCome2.Max.26","敷衍？什么意思？","敷衍？什么意思？"
"MaxCome2.Typing.27","你自己心里清楚","你自己心里清楚"
"MaxCome2.Max.28","呃，我不太清楚","呃，我不太清楚"
"MaxCome2.Typing.29","你和 Sella","你和 Sella"
"MaxCome2.Typing.30","你和 Sella 最近走得很近啊","你和 Sella 最近走得很近啊"
"MaxCome2.Max.31","Sella？我和那种尝不出咖啡味道的人有什么好说？","Sella？我和那种尝不出咖啡味道的人有什么好说？"
"MaxCome2.Max.32","哈哈哈哈","哈哈哈哈"
"MaxCome2.Max.33","Sella要想追上我还差十万光年呢","Sella要想追上我还差十万光年呢"
"MaxCome2.Typing.1006","你和 Sella 一起去摆摊吗","你和 Sella 一起去摆摊吗"
"MaxCome2.Max.1007","对","对"
"MaxCome2.Max.1008","她已经先过去了","她已经先过去了"
"MaxCome2.Max.1009","我在店里打扫完也过去","我在店里打扫完也过去"
"MaxCome2.Max.1010","说起来，以刚接触咖啡的人来说","说起来，以刚接触咖啡的人来说"
"MaxCome2.Max.1011","能喝出水洗和蜜处理的豆子是真的很有天赋","能喝出水洗和蜜处理的豆子是真的很有天赋"
"MaxCome2.Typing.34","你的花椒美式是和 Sella，一起做的吗？","你的花椒美式是和 Sella，一起做的吗？"
"MaxCome2.Max.35","啊，不是的，Sella 那家伙在咖啡方面可靠不住","啊，不是的，Sella 那家伙在咖啡方面可靠不住"
"MaxCome2.Max.36","完全是铁舌头，什么风味都尝不出来","完全是铁舌头，什么风味都尝不出来"
"MaxCome2.Max.37","Kathy 小姐的话就不一样了，以刚接触咖啡的人来说","Kathy 小姐的话就不一样了，以刚接触咖啡的人来说"
"MaxCome2.Max.38","能喝出水洗和蜜处理已经很有天赋了","能喝出水洗和蜜处理已经很有天赋了"
"MaxCome2.Max.39","Kathy 小姐有没有考虑当个咖啡师啊？","Kathy 小姐有没有考虑当个咖啡师啊？"
"MaxCome2.Max.40","哈哈，我开玩笑的，像你这样优秀的人，应该看不上咖啡师吧","哈哈，我开玩笑的，像你这样优秀的人，应该看不上咖啡师吧"
"MaxCome2.Typing.41","我挺喜欢咖啡的","我挺喜欢咖啡的"
"MaxCome2.Max.42","咖啡真是太好了","咖啡真是太好了"
"MaxCome2.Typing.43","为什么叫我，Kathy 小姐？","为什么叫我，Kathy 小姐？"
"MaxCome2.Max.44","可能因为 Kathy 小姐是特别的客人吧","可能因为 Kathy 小姐是特别的客人吧"
"MaxCome2.Typing.45","特别的客人？","特别的客人？"
"MaxCome2.Max.46","已经好久没有遇到一个和我一样这么喜欢咖啡的人了","已经好久没有遇到一个和我一样这么喜欢咖啡的人了"
"MaxCome2.Max.47","每天都和 Sella 待在一起，简直要发霉了","每天都和 Sella 待在一起，简直要发霉了"
"MaxCome2.Max.48","这家店不算是很出名的咖啡店","这家店不算是很出名的咖啡店"
"MaxCome2.Max.49","能有一个常客经常过来坐坐我还是很高兴的","能有一个常客经常过来坐坐我还是很高兴的"
"MaxCome2.Max.50","说起来，这还是 Kathy 小姐第一次主动给我发消息呢","说起来，这还是 Kathy 小姐第一次主动给我发消息呢"
"MaxCome2.Monologue.51","第一次发消息？？！","第一次发消息？？！"
"MaxCome2.Monologue.52","他们两个不是恋人吗？恋爱还能这么谈？","他们两个不是恋人吗？恋爱还能这么谈？"
"MaxCome2.Todo.1","Max 和 Kathy ？","Max 和 Kathy ？"
"MaxCome2.Typing.53","等一下，你的意思是，","等一下，你的意思是，"
"MaxCome2.Monologue.54","干，我真是搞不懂……","干，我真是搞不懂……"
"MaxCome2.Typing.55","我们平常不说话吗","我们平常不说话吗"
"MaxCome2.Max.56","诶？说话倒是偶尔会说啊","诶？说话倒是偶尔会说啊"
"MaxCome2.Typing.57","我们是什么关系？","我们是什么关系？"
"MaxCome2.Max.58","啊","啊"
"MaxCome2.Max.59","Kathy 小姐今天这是怎么了？","Kathy 小姐今天这是怎么了？"
"MaxCome2.Max.60","感觉和平常有点不一样呢","感觉和平常有点不一样呢"
"MaxCome2.Max.61","该不会，在屏幕那一边的其实不是 Kathy 小姐本人吧","该不会，在屏幕那一边的其实不是 Kathy 小姐本人吧"
"MaxCome2.Monologue.62","糟了！暴露了吗！","糟了！暴露了吗！"
"MaxCome2.Monologue.63","冷静。冷静。","冷静。冷静。"
"MaxCome2.Max.64","平常都是很冷淡的回复几个字","平常都是很冷淡的回复几个字"
"MaxCome2.Max.65","这次一下说了那么多话","这次一下说了那么多话"
"MaxCome2.Max.66","虽然有点不适应，但我还挺高兴的","虽然有点不适应，但我还挺高兴的"
"MaxCome2.Typing.67","啊，是吗","啊，是吗"
"MaxCome2.Max.68","是呢","是呢"
"MaxCome2.Typing.69","哦，别转移话题","哦，别转移话题"
"MaxCome2.Max.70","我已经不想再聊 Sella 的话题了","我已经不想再聊 Sella 的话题了"
"MaxCome2.Max.71","想起她嘴里都是一股涮勺水的味道","想起她嘴里都是一股涮勺水的味道"
"MaxCome2.Typing.72","没 你别想太多了","没 你别想太多了"
"MaxCome2.Max.73","哈哈，好吧","哈哈，好吧"
"MaxCome2.Typing.77","那个","那个"
"MaxCome2.Typing.78","你和 Sella 到底是","你和 Sella 到底是"
"MaxCome2.Typing.79","什么情况","什么情况"
"MaxCome2.Typing.80","什么关系","什么关系"
"MaxCome2.Typing.81","说了些什么","说了些什么"
"MaxCome2.Max.82","和 Sella 吗？","和 Sella 吗？"
"MaxCome2.Max.83","就是那个，最近在找她咨询一些问题","就是那个，最近在找她咨询一些问题"
"MaxCome2.Max.84","那家伙虽然做咖啡靠不住","那家伙虽然做咖啡靠不住"
"MaxCome2.Max.85","不过，也算是比我年长一些","不过，也算是比我年长一些"
"MaxCome2.Max.86","那个，恋爱经验也会比我丰富一些","那个，恋爱经验也会比我丰富一些"
"MaxCome2.Max.87","所以","所以"
"MaxCome2.Max.88","就是，最近，在向她那个","就是，最近，在向她那个"
"MaxCome2.Max.89","请教一些","请教一些"
"MaxCome2.Max.90","恋爱的问题","恋爱的问题"
"MaxCome2.Todo.0","Max 和 Sella 似乎只是同事","Max 和 Sella 似乎只是同事"
"MaxCome2.Typing.91","你有喜欢的人了吗？","你有喜欢的人了吗？"
"MaxCome2.Max.92","有的","有的"
"MaxCome2.Monologue.93","糟了……
为什么我也跟着揪心起来……","糟了……
为什么我也跟着揪心起来……"
"MaxCome2.Monologue.94","到底要怎么说啊……","到底要怎么说啊……"
"MaxCome2.Max.95","Kathy 小姐今天果然是和以前不一样了","Kathy 小姐今天果然是和以前不一样了"
"MaxCome2.Max.96","以前发消息都是用空格隔开的","以前发消息都是用空格隔开的"
"MaxCome2.Max.200","虽然说不上来","虽然说不上来"
"MaxCome2.Max.201","但是 Kathy 小姐今天感觉和以前不一样了","但是 Kathy 小姐今天感觉和以前不一样了"
