location,source,target
KatCome2.Typing.1,我明白了,
KatCome2.Typing.2,你希望我痛骂他一顿,
KatCome2.Kathy.3,不 不 别这样,
KatCome2.Kathy.4,他是个很好的人 他挺好的,
KatCome2.Typing.5,但是他出轨了,
KatCome2.Kathy.6,他 不,
KatCome2.Kathy.7,事情可能不是那样的,
KatCome2.Kathy.8,可能只是我多心了 其实他们没什么,
KatCome2.Kathy.9,我不知道,
KatCome2.Typing.10,你在骗自己,
KatCome2.Kathy.11,可能吧 我 哎,
KatCome2.Kathy.12,如果他真的出轨了 我希望你能替我挽回他,
KatCome2.Typing.13,你希望我帮你把事情弄清楚,
KatCome2.Kathy.14,是的,
KatCome2.Kathy.15,如果他真的出轨了 也希望,
KatCome2.Kathy.16,希望你能帮我挽留住他,
KatCome2.Typing.17,你希望我做什么呢？,
KatCome2.Kathy.18,如果可以的话 我想知道 他是不是真的出轨了,
KatCome2.Kathy.19,然后 如果他出轨了 我希望你可以帮我挽留他,
KatCome2.Typing.20,好吧,
KatCome2.Typing.21,我试试看,
KatCome2.Kathy.22,拜托你了,
KatCome2.Typing.23,关于他有什么信息你想告诉我的,
KatCome2.Kathy.24,呃 他叫 Max 我们是在一家叫 829 的咖啡店认识的,
KatCome2.Monologue.100,"829 咖啡店？
好像在<color=#DB7F20> 新鲜事 </color>看到过。",
KatCome2.Kathy.25,我 经常在他店里面看书 他有时候会给我讲一些咖啡的事情,
KatCome2.Kathy.26,但是他最近和店里的另一个咖啡师 Sella 走得很近,
KatCome2.Kathy.27,两个人经常有说有笑的 我还听到他们在说恋爱的话题 我很苦恼,
KatCome2.Kathy.28,跟那个人比起来的话 我只是一个普通的客人而已 长相也很普通,
KatCome2.Kathy.29,唉,
KatCome2.Typing.30,好了，可以了,
KatCome2.Kathy.31,好 那就拜托你了,
KatCome2.Typing.32,还有别的要补充吗？,
KatCome2.Kathy.33,嗯 没别的了,
KatCome2.Typing.34,打起精神来,
KatCome2.Kathy.35,谢谢你的安慰,
KatCome2.Kathy.36,但是 我根本就比不过那个人啊,
KatCome2.Monologue.37,"啊，
最不擅长处理这种男男女女的问题了。",
KatCome2.Monologue.38,果然还是只能硬着头皮开口了吗……,
KatCome2.Todo.0,从“好友”中询问 Max 是否出轨了 Sella,
