"location","source","target"
"﻿FinalReviewFamily.Home.1","大川的梧桐黄了。","大川的梧桐黄了。"
"FinalReviewFamily.Home.2","七零八落地从空中飘摇而下。","七零八落地从空中飘摇而下。"
"FinalReviewFamily.Home.3","新电脑的运行速度飞快，","新电脑的运行速度飞快，"
"FinalReviewFamily.Home.4","所有盗版建模、设计软件都可以流畅运行。","所有盗版建模、设计软件都可以流畅运行。"
"FinalReviewFamily.Home.5","连盗版插件也可以完美兼容。","连盗版插件也可以完美兼容。"
"FinalReviewFamily.DaisyYes.1","Daisy的书只卖出去一半，","Daisy的书只卖出去一半，"
"FinalReviewFamily.DaisyYes.2","剩下的一半放在她的床头当柜子。","剩下的一半放在她的床头当柜子。"
"FinalReviewFamily.DaisyYes.3","还清Miki的欠款遥遥无期，","还清Miki的欠款遥遥无期，"
"FinalReviewFamily.DaisyYes.4","但她每个周末都会做一点巧克力饼干当做给Miki的利息。","但她每个周末都会做一点巧克力饼干当做给Miki的利息。"
"FinalReviewFamily.DaisyNo.1","Daisy仍然在为文学社的夙愿打工奔波。","Daisy仍然在为文学社的夙愿打工奔波。"
"FinalReviewFamily.DaisyNo.2","她屡次拒绝妈妈的赞助计划让妈妈非常生气——","她屡次拒绝妈妈的赞助计划让妈妈非常生气——"
"FinalReviewFamily.DaisyNo.3","Miki也会偶尔因为“上梁不正下梁歪”被卷入吵架。","Miki也会偶尔因为“上梁不正下梁歪”被卷入吵架。"
"FinalReviewFamily.End.4","大川的时间过得很慢，未来很远。","大川的时间过得很慢，未来很远。"
"FinalReviewFamily.End.5","蓦然回首，","蓦然回首，"
"FinalReviewFamily.End.6","好像已经在麻园度过了一生的时光。","好像已经在麻园度过了一生的时光。"
"FinalReviewFamily.End.7","那些深刻于心的回忆，","那些深刻于心的回忆，"
"FinalReviewFamily.End.8","总让人觉得割舍不下——","总让人觉得割舍不下——"
"FinalReviewFamily.End.9","也许、","也许、"
"FinalReviewFamily.End.10","在休息够了、准备好之后——","在休息够了、准备好之后——"
"FinalReviewFamily.End.11","就回麻园吧。","就回麻园吧。"
