location,source,target
OutsideRegules.InteractTips,他看起来好像不高兴……,
OutsideRegules.Miki.1,你好。,
OutsideRegules.Regules.2,嗯？,
OutsideRegules.Regules.3,我挡到你了吗？,
OutsideRegules.Miki.4.1,没错，这里是我的地盘。,
OutsideRegules.Regules.5,好，我会马上离开。,
OutsideRegules.Miki.4.2,没有。,
OutsideRegules.Miki.7,……,
OutsideRegules.Regules.8,……,
OutsideRegules.Miki.9,那个——,
OutsideRegules.Regules.10,不好意思，我没有和人说话的心情。,
OutsideRegules.Miki.11,……,
OutsideRegules.Miki.12,（也许现在不是时候吧。）,
OutsideRegules.Regules.13,我感觉我要走到边缘了。,
OutsideRegules.Miki.14.1,什么的边缘？,
OutsideRegules.Regules.15,死亡。,
OutsideRegules.Regules.16,我和死亡之间只隔着一些愚蠢又荒唐的无聊故事。,
OutsideRegules.Miki.14.2,你没把我当人吗？,
OutsideRegules.Regules.18,不是那个意思。,
OutsideRegules.Regules.19,明明是……,
OutsideRegules.Regules.20,一直遇到温柔的人……,
OutsideRegules.Regules.21,还是会。,
OutsideRegules.Regules.22,呜——,
OutsideRegules.Regules.23,哇——！呜呜呜呜——！,
OutsideRegules.Regules.24,为、为什么、会这样啊——！,
OutsideRegules.Miki.25.1,安慰他。,
OutsideRegules.Miki.26,这就是人生吧。,
OutsideRegules.Miki.27,总是这样没什么道理。,
OutsideRegules.Miki.25.2,拥抱他。,
OutsideRegules.Regules.29,……呜、呜……,
OutsideRegules.Regules.30,哇啊啊啊——！,
OutsideRegules.Miki.25.3,离开。,
OutsideRegules.Regules.32,谢谢……我感觉好多了。,
OutsideRegules.Regules.33,每次哭完之后都觉得很舒服。,
OutsideRegules.Regules.34,感觉、感觉……,
OutsideRegules.Regules.35,暂时可以不用思考那些事情。,
OutsideRegules.Miki.36,发生了什么？,
OutsideRegules.Regules.37,……,
OutsideRegules.Regules.38,你有很要好的朋友吗？,
OutsideRegules.Miki.39.1,有。,
OutsideRegules.Miki.40,有流浪动画师、电子海鸥侠……,
OutsideRegules.Miki.41,奇奇怪怪，但是感情还不错，反正就这一类的吧。,
OutsideRegules.Regules.42,都是网友吗？,
OutsideRegules.Miki.43,嗯……是网友也是朋友。,
OutsideRegules.Regules.44,真羡慕你。,
OutsideRegules.Miki.39.2,没有。,
OutsideRegules.Regules.46,那你也是孤独的人啊。,
OutsideRegules.Regules.47,有一个我很想帮助，很想靠近的人。,
OutsideRegules.Regules.48,我想帮那个人，却无能为力。,
OutsideRegules.Regules.49,我、哽——我……,
OutsideRegules.Regules.50,我们不是一个世界的人。,
OutsideRegules.Regules.51,大概是这样吧。,
OutsideRegules.Regules.52,我的世界里，没有我的容身之处。,
OutsideRegules.Miki.53,那样就不算是你的世界。,
OutsideRegules.Regules.54,嗯。我也不知道哪边的世界是真的。,
OutsideRegules.Regules.55,网上还是现实。,
OutsideRegules.Miki.56,其实是在现实里过得不开心吧？,
OutsideRegules.Regules.57,……,
OutsideRegules.Regules.58,暂时逃避也没什么不好的。,
OutsideRegules.Miki.59,逃一辈子的也大有人在。,
OutsideRegules.Miki.60,网上的归网上——,
OutsideRegules.Miki.61,现实的归现实。,
OutsideRegules.Regules.62,现实的……归现实。,
OutsideRegules.Regules.63,是啊……,
OutsideRegules.Miki.64,要是网上过得更好一点。,
OutsideRegules.Miki.65,就和网友们搞点线下活动？,
OutsideRegules.Regules.66,线下……活动？,
OutsideRegules.Miki.67,麻园很大——,
OutsideRegules.Miki.68,还有该死的网络让我们无处可逃。,
OutsideRegules.Miki.69,在街上找人搭讪也不错。,
OutsideRegules.Regules.70,我明白了。,
OutsideRegules.Miki.71,你领悟得很快嘛。,
OutsideRegules.Miki.72,我都还没来得及把搭讪诀窍交给你。,
OutsideRegules.Regules.73,嗯，虽然我是因为线下活动才——哧、吸——,
OutsideRegules.Miki.74,啊？你有在听我说话吗？,
OutsideRegules.Regules.75,没关系。,
OutsideRegules.Miki.76,啊？,
OutsideRegules.Miki.77,我——,
OutsideRegules.Regules.78,你的话我记住了。,
OutsideRegules.Regules.79,把这个留下吧，我现在用不到了。,
OutsideRegules.Regules.80,正好当做我们相遇过的证明。,
OutsideRegules.Miki.81,喂、等一下啊——,
OutsideRegules.Miki.82,这是个啥这是？,
OutsideRegules.Miki.83,（冬坂电音节……镭射纪念票！）,
OutsideRegules.Miki.84,（平平无奇的黑发少年居然掉落了这种珍惜物品。）,
OutsideRegules.Miki.85,（清凉一夏、引爆麻园……）,
OutsideRegules.Miki.86,（真是危险的谐音梗啊……）,
OutsideRegules.Miki.87,（这么比起来，我偶尔说一些古怪的成语都算是温柔。）,
OutsideRegules.Miki.88,（你小子是完全不懂我的温柔。）,
OutsideRegules.Miki.89,（……）,
OutsideRegules.Miki.90,（我在说些什么东西啊。）,
OutsideRegules.Miki.91,（电音节应该已经截票了……）,
OutsideRegules.Miki.92,（说不定能卖个好价钱？）,
OutsideRegules.Miki.93,（算了，还是别打这个主意。）,
