location,source,target
NilOrder.Nil.1,"当当当当——

S4U 来新订单啦！请 Miki 及时处理！",
NilOrder.Nil.2,"现在为你召唤订单详情！
——————————
ID: S4U-201106232417
To:Miki
Consumer: Regules
Details:Error 4810 : You have an error in you syntax : check the manual that corresponds to you server version for the right syntax to use near ""GRT details FROM DataBase WHERE DataBase.consumer = ""Regules"" at line 117",
NilOrder.Typing.3,啊，新功能吗？,
NilOrder.Typing.4,这啥啊这？,
NilOrder.Nil.5,<color=#A69884>醉酒喵。[自动回复],
NilOrder.Nil.6,哦，我想试着每天都给你整一点新东西来着,
NilOrder.Nil.7,调了 Lia Pay 的接口做了个自动化，如果客人下单的话,
NilOrder.Nil.8,理论上会把订单详情推给你,
NilOrder.Typing.9,好的,
NilOrder.Nil.10,<color=#A69884>醉酒喵。[自动回复],
NilOrder.Nil.11,但是目前出了一点小状况,
NilOrder.Nil.12,我一会儿去修修,
NilOrder.Typing.13.1,好,
NilOrder.Nil.2001,好,
NilOrder.Nil.2002,好,
NilOrder.Typing.13.2,你最近出什么事了吗？,
NilOrder.Nil.15,没啊,
NilOrder.Nil.16,剧情马上就要展开了,
NilOrder.Nil.17,听说是神展开啊,
NilOrder.Nil.18,有天降的傲娇黑长直你能明白吗？,
NilOrder.Typing.19,这和展开有什么关系？,
NilOrder.Nil.20,我看你是完全不懂哦,
NilOrder.Nil.21,没有傲娇黑长直巨乳少女就无法展开剧情啊！！,
NilOrder.Typing.22,所以现在又突然加了巨乳,
NilOrder.Typing.101,无所谓了,
NilOrder.Typing.102,我去上班了,
NilOrder.Nil.23,武运昌隆~,
NilOrder.Nil.24,战斗吧，少女！,
NilOrder.Nil.2003,战斗吧，少女！,
NilOrder.Typing.2004,你卡了吗？,
NilOrder.Nil.2005,哼上下，难道你还没有注意到吗？,
NilOrder.Nil.2006,真是迟钝啊，我的右手,
NilOrder.Nil.2007,两个同样的文本出现在了我的场上,
NilOrder.Nil.2050,胜利的方程式我已经写好,
NilOrder.Typing.2008,呃，其实没必要,
NilOrder.Nil.2051,我将这两条文本叠放！,
NilOrder.Nil.2052,啊上下，就是这个感觉，来了、终于来了……,
NilOrder.Nil.2009,环绕宇宙的卫星——,
NilOrder.Nil.2010,永恒的闪光——,
NilOrder.Nil.2011,于我的思念中交汇！,
NilOrder.Nil.2012,出现吧！我的灵魂！！！,
NilOrder.Nil.2013,芜湖~我很早就想玩这个,
NilOrder.Typing.2014,这么努力真是辛苦了,
NilOrder.Nil.2015,嘎，乐意效劳,
NilOrder.Typing.2016,我不知道说什么,
NilOrder.Nil.2017,哦哈哈哈哈,
NilOrder.Nil.2018,让他们见证我们羁绊的力量吧！,
NilOrder.Typing.2019,接下来就是决斗时间,
NilOrder.Nil.2020,决斗！,
NilOrder.Monologue.1000,不知道 Regules 的工作内容是什么。,
NilOrder.Monologue.1001,既然要帮忙值班。,
NilOrder.Monologue.1002,一会先从<color=#DB7F20> 好友 </color>账号中了解一下吧。,
