location,source,target
TEsoe1END.Monologue.1,结……结束了？,
TEsoe1END.Monologue.2,就这么……,
TEsoe1END.Monologue.3,失败了吗……我？,
TEsoe1END.Monologue.4,Pi……成功了吗？,
TEsoe1END.Monologue.5,在好友里已经找不到这个人了……,
TEsoe1END.Monologue.6,Nil也……,
TEsoe1END.Monologue.7,什么事情都没有搞明白。,
TEsoe1END.Monologue.8,不想再动脑子了。,
TEsoe1END.Monologue.9,我好累。,
TEsoe1END.Monologue.10,这些事情已经完全超出了我的处理能力。,
TEsoe1END.Monologue.20,NOR 链接……,
TEsoe1END.Monologue.100,要给到 Pi 才能发挥作用吧。,
TEsoe1END.Monologue.21,我应该有办法搞到的才对……,
TEsoe1END.Monologue.22,应该去找 Levi 吗？她是赛博生命。,
TEsoe1END.Monologue.23,还是说要 Alan也有可能？只要完成了他的委托……,
TEsoe1END.Monologue.24,能和这件事沾边的……还有 Holly？,
TEsoe1END.Monologue.25,对。Nil，如果能早点发现 Nil 的秘密，他肯定也有 NOR 链接。,
TEsoe1END.Monologue.26,至少得这个搞到链接才行……,
TEsoe1END.Monologue.11,如果想要阻止 Someone……帮到 Nil 和 Pi……,
TEsoe1END.Monologue.15,我应该怎么做……？到底是哪里……对了——,
TEsoe1END.Monologue.16,应该是那天，7月4号晚上。,
TEsoe1END.Monologue.17,街上那个人绝对是 Someone 没错。,
TEsoe1END.Monologue.18,只要能在那时候说服他信任同伴。,
TEsoe1END.Monologue.19,也许可以改变这个结局……,
TEsoe1END.Monologue.12,太累了……,
TEsoe1END.Monologue.13,睡一会儿吧……,
TEsoe1END.Monologue.14,能在这个房间里睡觉的机会不多了……,
