location,source,target
TEsoe1Gate.System.1,"———————————
如果可以走下去的话，雪海融成山脉，吸饱了翠色奔向夏天。
———————————

欢迎连接到神之域超门。

为了一个更好的世界。",
TEsoe1Gate.Nil.2,你还是来了,
TEsoe1Gate.Nil.3,我不想把你扯进来的,
TEsoe1Gate.Pi.4,我也来了哦,
TEsoe1Gate.Typing.5.1,到底发生了什么？,
TEsoe1Gate.Nil.6,一两句话说不太明白,
TEsoe1Gate.Typing.5.2,你还好吗？,
TEsoe1Gate.Nil.8,不太好,
TEsoe1Gate.Nil.9,我快两天没睡觉了,
TEsoe1Gate.Nil.10,好想吃主食+的拱门薯条,
TEsoe1Gate.Nil.11,唉,
TEsoe1Gate.Nil.12,你怎么和 Pi 混到一起去的,
TEsoe1Gate.Nil.13,就是那个小混蛋把你带到这里的吧,
TEsoe1Gate.Pi.14,我能看到哦,
TEsoe1Gate.Nil.15,靠，不要随随便便偷听别人说话啊,
TEsoe1Gate.Nil.16,我好累,
TEsoe1Gate.Nil.17,我也有事情不得不告诉你了,
TEsoe1Gate.Nil.18,给我点时间可以吗，Miki,
TEsoe1Gate.Nil.19,我想先赎罪,
TEsoe1Gate.Nil.20,这样的话,
TEsoe1Gate.Nil.21,我或许就能继续向前了,
TEsoe1Gate.Nil.22,我不知道怎么开口,
TEsoe1Gate.Nil.23,Pi,
TEsoe1Gate.Pi.24,请叫我 Baldrarchaeia,
TEsoe1Gate.Nil.25,你已经不在了,
TEsoe1Gate.Pi.26,什么意思？,
TEsoe1Gate.Nil.27,可能你认为自己是 Pi,
TEsoe1Gate.Nil.28,只是变成了一个赛博生命,
TEsoe1Gate.Nil.29,事实不是这样,
TEsoe1Gate.Nil.30,Pi 已经不在了,
TEsoe1Gate.Nil.31,我很对不起,
TEsoe1Gate.Nil.32,如果我可以,
TEsoe1Gate.Nil.33,我当时没把这件事放在心上,
TEsoe1Gate.Nil.34,我以为你只是去休假两天,
TEsoe1Gate.Nil.35,我完全只在想 Limit Breaker 的开发,
TEsoe1Gate.Nil.36,我太天真了,
TEsoe1Gate.Nil.37,唉,
TEsoe1Gate.Nil.38,我们都没有想到这个结局,
TEsoe1Gate.Monologue.39,……,
TEsoe1Gate.Monologue.40,Pi 已经不在了……？,
TEsoe1Gate.Pi.41,先不论我本人的事情,
TEsoe1Gate.Pi.42,变成赛博生命,
TEsoe1Gate.Pi.43,这个有点意思了,
TEsoe1Gate.Pi.44,是因为S4U3项目吗？,
TEsoe1Gate.Nil.45,嗯,
TEsoe1Gate.Pi.46,我草，我怎么一点都想不起来了,
TEsoe1Gate.Pi.47,感觉像喝了很多很多酒,
TEsoe1Gate.Nil.48,你成功了,
TEsoe1Gate.Nil.49,7 月 1 号从一个很边缘的死点仓库,
TEsoe1Gate.Nil.50,我们拉到了 S4U3 的源码，你的最后一次提交,
TEsoe1Gate.Nil.51,对抗 TT 的终极武器,
TEsoe1Gate.Nil.52,尽管和我们一开始想的办法完全不一样,
TEsoe1Gate.Nil.53,S4U3 可以创造出赛博生命,
TEsoe1Gate.Nil.54,不用交换混沌地址,
TEsoe1Gate.Nil.55,没有算量损失,
TEsoe1Gate.Nil.56,如果可以摒弃伦理,
TEsoe1Gate.Nil.57,相当于我们拥有无限的成员,
TEsoe1Gate.Nil.58,能控制整个互联网,
TEsoe1Gate.Nil.59,和赛博朋克里一样,
TEsoe1Gate.Pi.60,哦哦哦哦——！！,
TEsoe1Gate.Pi.61,我的力量！不受限制！,
TEsoe1Gate.Nil.62,但是你也,
TEsoe1Gate.Nil.63,被 TT 盯上,
TEsoe1Gate.Nil.64,不幸遇害了,
TEsoe1Gate.Pi.65,我真的死了吗？,
TEsoe1Gate.Pi.66,你能确定？,
TEsoe1Gate.Nil.67,对不起,
TEsoe1Gate.Nil.68,我是前天刚刚知道的,
TEsoe1Gate.Nil.69,要是我那个时候可以,
TEsoe1Gate.Nil.70,我可以和 Carl 一起去找你的话,
TEsoe1Gate.Pi.71,先别说这个,
TEsoe1Gate.Pi.72,有证据吗,
TEsoe1Gate.Nil.73,Carl 从 TT 的云端解码到了你家的监控,
TEsoe1Gate.Nil.74,只有一小段,
TEsoe1Gate.Nil.75,基本可以确定是事实了,
TEsoe1Gate.Pi.76,死在房东家里啊,
TEsoe1Gate.Pi.77,那芙芙呢？,
TEsoe1Gate.Nil.78,芙芙也，对不起,
TEsoe1Gate.Pi.79,别一个劲儿道歉啦,
TEsoe1Gate.Pi.80,你想，监控视频也有可能是 AI 做的嘛,
TEsoe1Gate.Nil.81,不用安慰我,
TEsoe1Gate.Pi.82,这也是没有办法的事情,
TEsoe1Gate.Pi.83,我说实话我有点眩晕,
TEsoe1Gate.Pi.84,我一直想的是回到组织里,
TEsoe1Gate.Pi.85,拜托你和 Carl 帮我把意识装回去,
TEsoe1Gate.Nil.86,目前还没有这种技术,
TEsoe1Gate.Pi.87,我知道啊,
TEsoe1Gate.Pi.88,所以要拜托你们和我一起发明啊,
TEsoe1Gate.Pi.89,S4U，Limit Breaker，Ut Phi,
TEsoe1Gate.Pi.90,这些不都是大火一起做出来的吗,
TEsoe1Gate.Pi.91,我被男人甩了,
TEsoe1Gate.Pi.92,然后又弄丢了自己的身体,
TEsoe1Gate.Pi.93,好烦啊,
TEsoe1Gate.Pi.94,啊啊啊啊——！,
TEsoe1Gate.Nil.95,Pi，Carl 他,
TEsoe1Gate.Pi.96,和 TT 合作是他的主意吧？,
TEsoe1Gate.Pi.97,你肯定不愿意的,
TEsoe1Gate.Nil.98,他用S4U3硬冲掉了 TT 的防火墙,
TEsoe1Gate.Pi.99,一场硬仗啊,
TEsoe1Gate.Pi.100,不过至少能上谈判桌了,
TEsoe1Gate.Pi.101,你们和曙光议会一起决定和 TT 合作的吗,
TEsoe1Gate.Pi.102,不知道我的死有没有为 Carl 在谈判桌上增加一点筹码（笑,
TEsoe1Gate.Nil.103,请别开这种玩笑,
TEsoe1Gate.Nil.104,我不可能和 TT 合作,
TEsoe1Gate.Nil.105,你知道你说这种话我心里有多难受吗？,
TEsoe1Gate.Pi.106,Njor，人死不能复生,
TEsoe1Gate.Pi.107,更何况我现在不是好好的,
TEsoe1Gate.Pi.108,没有身体就没有吧,
TEsoe1Gate.Nil.109,他背叛了我们,
TEsoe1Gate.Nil.110,他改了服务器代码，撤销掉了所有人的权限,
TEsoe1Gate.Nil.111,包括赛博生命管理员的,
TEsoe1Gate.Nil.112,我们打不开 Carl 的防火墙,
TEsoe1Gate.Nil.113,一点进度都没有,
TEsoe1Gate.Nil.114,库里的文档，提交记录他全删了,
TEsoe1Gate.Nil.115,我几乎把服务器的每一句话都打过断点,
TEsoe1Gate.Nil.116,不知道他改了哪里,
TEsoe1Gate.Nil.117,S4U3,
TEsoe1Gate.Nil.118,确实可以制造出赛博生命,
TEsoe1Gate.Nil.119,但是只能制造你自己,
TEsoe1Gate.Nil.120,Carl 制造了无数个你,
TEsoe1Gate.Nil.121,才,
TEsoe1Gate.Nil.122,才攻进 TT 的内部,
TEsoe1Gate.Pi.123,攻进？,
TEsoe1Gate.Pi.124,混沌重载？,
TEsoe1Gate.Pi.125,把我的混沌地址释放掉做 DDOS 攻击？,
TEsoe1Gate.Nil.126,对不起，我想阻止他,
TEsoe1Gate.Nil.127,他把整个组织都隔离在外面了,
TEsoe1Gate.Pi.128,明白了,
TEsoe1Gate.Pi.129,墙的那一边只有 Carl 和无数个我了,
TEsoe1Gate.Nil.130,可以说是这样,
TEsoe1Gate.Pi.131,叫人去送死的不都是恶魔,
TEsoe1Gate.Pi.132,混沌重载只能自己启动你知道的,
TEsoe1Gate.Pi.133,我其实知道自己是个挺不完整的人,
TEsoe1Gate.Pi.134,所以所有的我，也都是这个死样子吧,
TEsoe1Gate.Pi.135,很容易被激情占据,
TEsoe1Gate.Pi.136,被煽动,
TEsoe1Gate.Pi.137,我不是想给 Karia 洗白啦,
TEsoe1Gate.Pi.138,他其实多少是沾点圣人光环在身上的,
TEsoe1Gate.Nil.139,圣人也会犯错,
TEsoe1Gate.Pi.140,我们还剩多久？,
TEsoe1Gate.Nil.141,你说什么？,
TEsoe1Gate.Pi.142,到 Kariarchaeales 完成他的计划,
TEsoe1Gate.Nil.143,建成数据中心要好几年吧,
TEsoe1Gate.Nil.144,如果只是说部署开发环境、同步协议这些,
TEsoe1Gate.Nil.145,大概几个小时或者几天,
TEsoe1Gate.Pi.146,看来必须要在今天做个决定了,
TEsoe1Gate.Pi.147,到此为止吧 Njor,
TEsoe1Gate.Pi.148,把我当成她,
TEsoe1Gate.Pi.149,Pi,
TEsoe1Gate.Pi.150,好好去睡一觉,
TEsoe1Gate.Nil.151,朝夕相处的同伴因为我没有去找她就被 TT 暗杀了 我怎么可能睡得着！,
TEsoe1Gate.Nil.152,是我把 Pi 害死了,
TEsoe1Gate.Nil.153,你也太自大了,
TEsoe1Gate.Nil.154,你不是 Pi，你只是一个复制品,
TEsoe1Gate.Pi.155,你明白这一点就好,
TEsoe1Gate.Pi.156,在当赛博生命，躲在打印机和电饭锅之前反复横跳的这几天里,
