location,source,target
D9E5AspenEnd.todo.0,向 Aspen 报告,
D9E5AspenEnd.Todo.200,没有从 Aspen 那里筹到钱,
D9E5AspenEnd.Todo.201,Aspen 转来了 4200,
D9E5AspenEnd.Todo.202,Aspen 转来了 1200,
D9E5AspenEnd.Typing.1,搞定了,
D9E5AspenEnd.Aspen.2,太强了老师,
D9E5AspenEnd.Aspen.3,轻易就做到了我做不到的事情,
D9E5AspenEnd.Aspen.4,好！,
D9E5AspenEnd.Aspen.5,一刻也没有为他们的炸群而哀悼,
D9E5AspenEnd.Aspen.6,接下来赶到战场的就是,
D9E5AspenEnd.Aspen.7,Aspeeeeeen！,
D9E5AspenEnd.Monologue.8,这样就算成功了吗……？,
D9E5AspenEnd.Monologue.9,总觉得有点莫名其妙……,
D9E5AspenEnd.Monologue.10,没有实感啊……,
D9E5AspenEnd.Typing.11,好，祝你顺利,
D9E5AspenEnd.Aspen.12,老师不高兴吗？,
D9E5AspenEnd.Typing.13,没有啊,
D9E5AspenEnd.Monologue.1001,等一下。,
D9E5AspenEnd.Monologue.1002,在我说完这句话以后……气氛突然变得……,
D9E5AspenEnd.Monologue.1003,茶香四溢。,
D9E5AspenEnd.Aspen.14,那，我就把那个秘密告诉你吧,
D9E5AspenEnd.Typing.15,我有件事情和你说,
D9E5AspenEnd.Aspen.16,我也有事情要和老师说,
D9E5AspenEnd.Monologue.1004,可恶，又被抢先一步——,
D9E5AspenEnd.Monologue.1005,就不能让我先手展开吗？,
D9E5AspenEnd.Typing.17,还是别说出来吧,
D9E5AspenEnd.Think.2000,还有时间听 Aspen 说话吗,
D9E5AspenEnd.Aspen.18,你都已经知道了，对吗,
D9E5AspenEnd.Aspen.19,你只是把我当做一个,
D9E5AspenEnd.Aspen.20,爆金币的机器,
D9E5AspenEnd.Aspen.1006,也是，我这种人根本没人会在乎,
D9E5AspenEnd.Aspen.21,你根本不喜欢我,
D9E5AspenEnd.Typing.22,好,
D9E5AspenEnd.Think.2001,但是还没从 Aspen 这里筹到钱,
D9E5AspenEnd.Aspen.23,我很喜欢你,
D9E5AspenEnd.Aspen.24,这应该不算什么秘密了,
D9E5AspenEnd.Aspen.25,我想你多少是多点察觉到,
D9E5AspenEnd.Aspen.26,你应该有吧？,
