location,source,target
IntroDecition.Monologue.1,现在情况了解得差不多了。,
IntroDecition.Monologue.2,谁能想到一个简单的值班闹出这么一大堆事情来。,
IntroDecition.Monologue.3,已经和 Nora 闹掰……,
IntroDecition.Monologue.4,还有什么别的办法吗……,
IntroDecition.Monologue.5,难道只有和 Mo 合作了吗？,
IntroDecition.Todo.100,考虑与 Mo 合作,
IntroDecition.Todo.101,回复 Nora 的要求,
IntroDecition.Todo.102,只能和 Mo 合作了,
IntroDecition.Monologue.6,如果答应 Nora 的要求继续忍气吞声……,
IntroDecition.Monologue.7,下班拿钱，这是最稳健的做法。,
IntroDecition.Monologue.8,Mo的思路确实清奇。,
IntroDecition.Monologue.9,他对自媒体有一些锋利的洞见。,
IntroDecition.Monologue.10,哇哦，锋利。,
IntroDecition.Monologue.11,这个形容词。,
IntroDecition.Monologue.12,我是不是不该把这种锋利当做一种能力？,
IntroDecition.Monologue.13,这件事还牵扯到赛博生命和贝壳湖运营……,
IntroDecition.Monologue.14,完全是我的未知领域。,
IntroDecition.Monologue.15,但——,
IntroDecition.Monologue.16,我也不得不考虑这是否是我此生仅有的机会。,
IntroDecition.Monologue.17,我能感觉到——,
IntroDecition.Monologue.18,那个要来了吗……,
IntroDecition.Monologue.19,为我指示未来的道路吧！！,
IntroDecition.Todo.103,替 Regules 做出决定,
