"location","source","target"
"﻿NP5.1.Message.1","拍个夕阳吧。升学考试的压力好大，只要努力就可以做到的！加油！","拍个夕阳吧。升学考试的压力好大，只要努力就可以做到的！加油！"
"NP5.2.Message.1","最近看了本书叫做《疯狂的果糖》，令人感慨，时间过得太快了。这几年咖啡店不好做，好想吃蛋挞啊","最近看了本书叫做《疯狂的果糖》，令人感慨，时间过得太快了。这几年咖啡店不好做，好想吃蛋挞啊"
"NP5.2.Comment.1","你要不要看看自己在说什么？",""
"NP5.2.Comment.2","你要不要看看自己在说什么？",""
"NP5.2.Comment.3","老头，能把头像换了吗？","老头，能把头像换了吗？"
"NP5.2.Comment.4","你要不要看看自己在说什么？","你要不要看看自己在说什么？"
"NP5.3.Message.1","麻园最出色的烟花艺术家齐聚世罗海滨浴场，若户烟花节时隔五年再次举办！从本届开始，我们将为个人设立赞助区。 请注意，天滨和若户山展望台周围的区域是赞助（付费）区域。 我们还准备了特别的赞助福利，感谢大家的支持。","麻园最出色的烟花艺术家齐聚世罗海滨浴场，若户烟花节时隔五年再次举办！从本届开始，我们将为个人设立赞助区。 请注意，天滨和若户山展望台周围的区域是赞助（付费）区域。 我们还准备了特别的赞助福利，感谢大家的支持。"
"NP5.3.Comment.1","附近有停车的地方吗","附近有停车的地方吗"
"NP5.3.Comment.2","赞助福利是什么？","赞助福利是什么？"
"NP5.3.Comment.3","今年还卖苏打冰淇淋吗","今年还卖苏打冰淇淋吗"
"NP5.4.Message.1","感谢信任。麻园一百二十五中的食堂改造完成，很高兴能在最后为师生们带来幸福","感谢信任。麻园一百二十五中的食堂改造完成，很高兴能在最后为师生们带来幸福"
"NP5.5.Message.1","突发情报！我社特工从亚东最大直播网站 Living 管理层窃取到了超重量级机密情报：Living 的母公司 TT 表面上封禁赛博生命，实则以封禁、不投喂流量为由要挟了大量的赛博生命主播签订不平等直播协议，威胁他们假扮真人主播。更多细节会在去除主播个人信息后发布，请持续关注本账号！
<color=#3164c0>#Living 黑幕</color>
<color=#3164c0>#TT 要完</color>","突发情报！我社特工从亚东最大直播网站 Living 管理层窃取到了超重量级机密情报：Living 的母公司 TT 表面上封禁赛博生命，实则以封禁、不投喂流量为由要挟了大量的赛博生命主播签订不平等直播协议，威胁他们假扮真人主播。更多细节会在去除主播个人信息后发布，请持续关注本账号！
<color=#3164c0>#Living 黑幕</color>
<color=#3164c0>#TT 要完</color>"
"NP5.5.Comment.1","呜呜呜，我家Aspen宝宝可不要塌房呀","呜呜呜，我家Aspen宝宝可不要塌房呀"
"NP5.5.Comment.2","没活了可以咬打火机","没活了可以咬打火机"
"NP5.5.Comment.3","赛博生命和我们有啥关系？不能公布失业率吗？","赛博生命和我们有啥关系？不能公布失业率吗？"
"NP5.6.Message.1","【最后召集】南风文化传媒携手当红作家、诗人Pheo，倾力打造的幻想文学大师班报名通道即将关闭！ 你是否梦想近距离聆听文坛新星Pheo的创作秘辛？
他以《旅法师和大力猫故事集》这部如诗如幻的作品征服了无数读者的心，现在正是你获取第一手创作灵感，解锁文学世界奥妙的绝佳时机！

不论你是文学爱好者，还是渴望在字里行间挥洒自如的未来作家，这次大师班都将是你不可多得的旅程。我们不仅会深入探讨《旅法师和大力猫故事集》背后的情感与技巧，更有实战工作坊等你来挑战，让你的笔触更加细腻，故事更加动人。

报名即将截止，机会稍纵即逝！抓紧时间，加入我们，与Pheo并肩，在文学的海洋中扬帆起航。航道已清晰，只待你掌舵！

#南风文化大师班 #Pheo文学之旅 #《水仙》创作解密","【最后召集】南风文化传媒携手当红作家、诗人Pheo，倾力打造的幻想文学大师班报名通道即将关闭！ 你是否梦想近距离聆听文坛新星Pheo的创作秘辛？
他以《旅法师和大力猫故事集》这部如诗如幻的作品征服了无数读者的心，现在正是你获取第一手创作灵感，解锁文学世界奥妙的绝佳时机！

不论你是文学爱好者，还是渴望在字里行间挥洒自如的未来作家，这次大师班都将是你不可多得的旅程。我们不仅会深入探讨《旅法师和大力猫故事集》背后的情感与技巧，更有实战工作坊等你来挑战，让你的笔触更加细腻，故事更加动人。

报名即将截止，机会稍纵即逝！抓紧时间，加入我们，与Pheo并肩，在文学的海洋中扬帆起航。航道已清晰，只待你掌舵！

#南风文化大师班 #Pheo文学之旅 #《水仙》创作解密"
"NP5.6.Comment.1","没有写作基础的也可以报吗","没有写作基础的也可以报吗"
"NP5.6.Comment.2","没有写作基础不建议报","没有写作基础不建议报"
