WilltoFrank.Todo.0,尝试用 Will 给 Frank 发消息,
WilltoFrank.Typing.4.1,我回来了,
WilltoFrank.Typing.4.2,我觉得我们可以谈谈了,
WilltoFrank.Typing.4.3,前几天有点事情,
WilltoFrank.Frank.7,事到如今还回来干什么,
WilltoFrank.Frank.8,赶紧去方舟报到吧,
WilltoFrank.Frank.9,我说你当时为什么不搞竞业协议,
WilltoFrank.Frank.10,你早就想到会有这一天吧,
WilltoFrank.Frank.11,你太有心机了,
WilltoFrank.Typing.12,什么意思？,
WilltoFrank.Typing.13,我不明白,
WilltoFrank.Frank.14,还用我说吗,
WilltoFrank.Frank.15,业内又不是一块铁板,
WilltoFrank.Typing.16.1,谁和你说的？,
WilltoFrank.Frank.17,跟你没关系,
WilltoFrank.Typing.16.2,是 Norida 告诉你的？,
WilltoFrank.Frank.19,不是,
WilltoFrank.Typing.16.3,不是我，是 Viz,
WilltoFrank.Think.100,好像是 Viz 要跳槽去方舟了,
WilltoFrank.Todo.100,用 Will 告诉 Frank Viz 去方舟了,
WilltoFrank.Todo.101,没有告诉 Frank，Viz 去方舟的事情,
WilltoFrank.Frank.21,你觉得我会信吗？,
WilltoFrank.Frank.22,剧本呢,
WilltoFrank.Frank.23,把剧本发过来，不然就上法庭吧,
WilltoFrank.Typing.24.1,我们真的要这样？,
WilltoFrank.Typing.24.2,你真要这样？,
WilltoFrank.Frank.26,别啰嗦了,
WilltoFrank.Frank.27,要么把剧本发来,
WilltoFrank.Frank.28,要么等着收传票,
WilltoFrank.Frank.29,如果你心里还在乎他,
WilltoFrank.Typing.24.3,我们的事情别扯上 Norida,
WilltoFrank.Frank.31,如果你心里还在乎 Norida,
WilltoFrank.Frank.32,哪怕对他，对公司有一点责任心,
WilltoFrank.Frank.33,你就不会逃跑,
WilltoFrank.Frank.34,事到如今还说这些都没意义,
WilltoFrank.Typing.35,是你先背叛我的,
WilltoFrank.Frank.36,背叛?,
WilltoFrank.Frank.37,幽灵协议最后赶档期，你每天都喝醉酒，,
WilltoFrank.Frank.38,是谁在加班？,
WilltoFrank.Frank.39,你和 Viz 那些拍脑袋的功能是谁加的？,
WilltoFrank.Frank.40,你就是个只会出一张嘴的编剧而已,
WilltoFrank.Typing.41,/不回,
WilltoFrank.Monologue.42,靠……说不出话来……,
WilltoFrank.Monologue.43,我是不是缺了什么线索……,
WilltoFrank.Monologue.44,还是说这就是Will的极限了……,
WilltoFrank.Typing.45,我有关于 Amanda 的事情要告诉你,
WilltoFrank.Think.200,把 Amanda 和 Alan 的事告诉 Frank？,
WilltoFrank.Todo.201,用 Will 告诉了 Frank，Amanda 和 Alan 的事情,
WilltoFrank.Todo.202,Frank 和 Will 还是吵了一架,
WilltoFrank.Typing.46,她其实已经结婚了,
WilltoFrank.Typing.47,是一个网络警察的老婆,
WilltoFrank.Frank.48,你真是一个纯纯的小丑。,
WilltoFrank.Monologue.49,失败了……,
WilltoFrank.Monologue.50,我是不是缺了什么线索……,
WilltoFrank.Monologue.51,还是说这就是Will的极限了……,
