location,source,target
ShopItem.11.Name,玛莎拉汽水赠汉堡,
ShopItem.11.Description,汉堡只是赠品，十四种复合香料才是真东西。,
ShopItem.11.BuyDialogue.1,谢谢惠顾。,
ShopItem.11.BuyDialogue.2,绿色是爱情。,
ShopItem.11.BuyDialogue.3,我没说什么。,
ShopItem.11.BuyDialogue.4,嗯，书里是这么写的。,
ShopItem.12.Name,DS3MM,
ShopItem.12.Description,双屏掌机的荣耀和绝唱。女大学生自用99新，错过此机，遗憾终生。,
ShopItem.12.BuyDialogue.1,哦，这是你的东西吗？,
ShopItem.12.BuyDialogue.2,早知道不卖给你了。,
ShopItem.13.Name,阳电子涡流,
ShopItem.13.Description,重氢加速电场一圈圈环绕着，唐怀瑟炮已充能至百分之九十七，开火！,
ShopItem.13.BuyDialogue.1,谢谢惠顾。,
ShopItem.21.Name,鸡蛋蛋三明治,
ShopItem.21.Description,鸡肉和蛋黄酱做成的三明治，三明治当然只有两种配料了。,
ShopItem.21.BuyDialogue.1,谢谢谢惠惠顾。,
ShopItem.21.BuyDialogue.2,叠词词三三明治，好玩玩。,
ShopItem.21.BuyDialogue.3,对不起，我不该这样。,
ShopItem.22.Name,超绝数字藏品,
ShopItem.22.Description,不要犹豫，即刻买入即刻升值。现在购买还可获赠投资大师 Ivel 的私人联系方式。,
ShopItem.22.BuyDialogue.1,……,
ShopItem.22.BuyDialogue.2,谢谢惠顾。,
ShopItem.23.Name,浓缩拼配,
ShopItem.23.Description,深烘焙，日晒加水洗，6 种大川红标原生种，酸甜苦平衡。,
ShopItem.23.BuyDialogue.1,谢谢惠顾。,
ShopItem.31.Name,炒面面包,
ShopItem.31.Description,辣味炒面加入切开的黄油面包，一种神秘的融合东方风味。,
ShopItem.31.BuyDialogue.1,明智之选，我最喜欢的一集。,
ShopItem.31.BuyDialogue.2,我一直在给主食+写邮件，试图让他们出一个玛莎拉风味的炒面面包。,
ShopItem.31.BuyDialogue.3,香料就是力量。,
ShopItem.32.Name,碧色晴海风,
ShopItem.32.Description,栗岛的风吹到了麻园，太阳从它离开的地方升起。,
ShopItem.32.BuyDialogue.1,谢谢惠顾。,
ShopItem.41.Name,健康肉桂卷,
ShopItem.41.Description,以甜味而非香料取胜。曾经入围本店最正常的食物，但它有太多糖了，一点都不健康。,
ShopItem.41.BuyDialogue.1,你会经常吃甜食吗？,
ShopItem.41.BuyDialogue.2,这对你不好。,
ShopItem.41.BuyDialogue.3,男人就是这样不成熟的生命体吧。,
ShopItem.42.Name,明光牛奶,
ShopItem.42.Description,原产自栗岛白滨的常温牛奶。因为冷藏以后会变得有低温牛奶的味道，很受我的欢迎。,
ShopItem.42.BuyDialogue.1,你不觉得以一盒牛奶来说它贵得太美妙了吗？,
ShopItem.43.Name,8号混凝土,
ShopItem.43.Description,以 888 千克每立方米的密度承载着未来的希望。,
ShopItem.43.BuyDialogue.1,谢谢惠顾。,
ShopItem.51.Name,炒面盖饭,
ShopItem.51.Description,主食+公司的旗舰产品，每年销量超过一千万份。用微波炉加热30秒口感最佳。,
ShopItem.51.BuyDialogue.1,我对炒面已经有点审美疲劳。,
ShopItem.51.BuyDialogue.2,在那些都市传说里，它总是和大机器人有关。,
ShopItem.51.BuyDialogue.3,哦，是先和高中生有关，再和可丽饼，最后才是大机器人。,
ShopItem.51.BuyDialogue.4,我的心里一直渴望着你。,
ShopItem.51.BuyDialogue.5,大机器人。,
ShopItem.52.Name,烂诡计,
ShopItem.52.Description,竹林间的密谋，幽灵们的诡计，谁能找到真相？,
ShopItem.52.BuyDialogue.1,谢谢惠顾。,
ShopItem.61.Name,普通煎蛋,
ShopItem.61.Description,由赛博生命厨师在食品工厂使用浓缩蛋液制作的普通煎蛋。,
ShopItem.61.BuyDialogue.1,哦，普通煎蛋——,
ShopItem.61.BuyDialogue.2,哦，黄金的太阳——,
ShopItem.61.BuyDialogue.3,这是会让煎蛋变得美味的神奇魔法。,
ShopItem.61.BuyDialogue.4,无所谓了，我年轻的时候这东西只能卖两块钱。,
ShopItem.62.Name,网中鸟,
ShopItem.62.Description,网兜关得住鸟，但关不住羽毛。,
ShopItem.62.BuyDialogue.1,谢谢惠顾。,
ShopItem.71.Name,真相处方,
ShopItem.71.Description,那张纸上写了你的名字，那张纸上留存着唯一的出路。,
ShopItem.71.BuyDialogue.1,谢谢惠顾。,
ShopItem.81.Name,烟，花,
ShopItem.81.Description,那么我的愿望也会实现吗？,
ShopItem.81.BuyDialogue.1,谢谢惠顾。,
ShopItem.91.Name,终局（纪念版）,
ShopItem.91.Description,这是一切的根基，这是一切的支柱。,
ShopItem.91.BuyDialogue.1,谢谢惠顾。,
ShopItem.92.Name,赛博纪元（精选集）,
ShopItem.92.Description,就在一个更好的世界里重逢吧。,
ShopItem.92.BuyDialogue.1,谢谢惠顾。,
ShopItem.100.Name,回响,
ShopItem.100.Description,这是另一种语言。,
ShopItem.100.BuyDialogue.1,- .... .- -. -.- ... ,
ShopItem.101.Name,机魂·雨,
ShopItem.101.Description,它平静地燃烧着，如同雨中起舞的火苗。,
ShopItem.101.BuyDialogue.1,麻园要变天了。,
ShopItem.101.BuyDialogue.2,最近经常在论坛上看见这句话。,
ShopItem.101.BuyDialogue.3,你会用论坛吗？只有铁血的电子女儿才会用。,
ShopItem.101.BuyDialogue.4,我随便说说的，别放在心上。,
ShopItem.201.Name,骰子套装,
ShopItem.201.Description,今天运气怎么样？,
ShopItem.201.BuyDialogue.1,谢谢惠顾。,
ShopItem.202.Name,球,
ShopItem.202.Description,球,
ShopItem.202.BuyDialogue.1,谢谢惠顾。,
ShopItem.300.Name,生物陪伴服务#4,
ShopItem.300.Description,它可以撕裂和消解你的孤独。,
ShopItem.300.BuyDialogue.1,它叫娜娜，是一只漂亮的宠物鱼。,
ShopItem.300.BuyDialogue.2,盒子上是这么写的。,
ShopItem.300.BuyDialogue.3,至于那个描述，是我的个人品味。,
ShopItem.300.BuyDialogue.4,对它好点。,
ShopItem.400.Name,神奇的木鱼,
ShopItem.400.Description,"木鱼有问必答。
咚咚咚——咚咚咚咚——",
ShopItem.400.BuyDialogue.1,这系列还有一个配套的石头房子。,
ShopItem.400.BuyDialogue.2,但是你没有期待从里面得到什么答案吧？,
ShopItem.400.BuyDialogue.3,你没有吧？,
ShopItem.501.Name,贴纸1,
ShopItem.501.Description,它会出现在任何地方。,
ShopItem.502.Name,贴纸2,
ShopItem.502.Description,它会出现在任何地方。,
ShopItem.503.Name,贴纸3,
ShopItem.503.Description,它会出现在任何地方。,
ShopItem.504.Name,贴纸4,
ShopItem.504.Description,它会出现在任何地方。,
ShopItem.505.Name,贴纸5,
ShopItem.505.Description,它会出现在任何地方。,
ShopItem.506.Name,贴纸6,
ShopItem.506.Description,它会出现在任何地方。,
