"location","source","target"
"﻿FirstGuest.Nil.1","说起来，你有段时间没过来上班了，最近怎么样","说起来，你有段时间没过来上班了，最近怎么样"
"FirstGuest.Typing.2","糟透了","糟透了"
"FirstGuest.Typing.3","连续加了五天的班，我现在看见窗户都恶心","连续加了五天的班，我现在看见窗户都恶心"
"FirstGuest.Nil.4","为啥","为啥"
"FirstGuest.Typing.5","因为我这五天都在试图设计窗户","因为我这五天都在试图设计窗户"
"FirstGuest.Nil.6","原来如此，真是不容易啊","原来如此，真是不容易啊"
"FirstGuest.Nil.7","那你今天还能工作吗？要不休息","那你今天还能工作吗？要不休息"
"FirstGuest.Typing.8","尽管招呼吧！","尽管招呼吧！"
"FirstGuest.Nil.9","OK","OK"
"FirstGuest.Typing.10","还不错","还不错"
"FirstGuest.Typing.11","还是那个死水微澜、寂静无波的老样子","还是那个死水微澜、寂静无波的老样子"
"FirstGuest.Nil.12","有时候我也挺羡慕这种人生","有时候我也挺羡慕这种人生"
"FirstGuest.Typing.13","别","别"
"FirstGuest.Typing.14","八番设计院是纯纯的血汗工厂","八番设计院是纯纯的血汗工厂"
"FirstGuest.Nil.15","哈哈哈哈哈","哈哈哈哈哈"
"FirstGuest.Typing.16","还是先看看眼前的订单吧","还是先看看眼前的订单吧"
"FirstGuest.Nil.17","哦！你已经对工作迫不及待了吗！","哦！你已经对工作迫不及待了吗！"
"FirstGuest.Nil.18","啊哈哈哈","啊哈哈哈"
"FirstGuest.Nil.19","那就还是老样子，先处理一下积压的订单吧","那就还是老样子，先处理一下积压的订单吧"
"FirstGuest.Nil.20","有一个客户希望能痛骂老板一顿，但不想要丢掉工作","有一个客户希望能痛骂老板一顿，但不想要丢掉工作"
"FirstGuest.Nil.21","真是任性的要求啊，现在的年轻人","真是任性的要求啊，现在的年轻人"
"FirstGuest.Typing.22","没办法，如果客人不任性我们也没有工作","没办法，如果客人不任性我们也没有工作"
"FirstGuest.Nil.23","哦呀，今天劲头不错嘛","哦呀，今天劲头不错嘛"
"FirstGuest.Typing.24","少说别人，你自己也没好到哪里去","少说别人，你自己也没好到哪里去"
"FirstGuest.Nil.25","哈哈哈哈，你说的也是呢","哈哈哈哈，你说的也是呢"
"FirstGuest.Nil.26","总之，只要牢记替身的工作原则，什么样的需求都应付得过来","总之，只要牢记替身的工作原则，什么样的需求都应付得过来"
"FirstGuest.Nil.27","你还记得吧","你还记得吧"
"FirstGuest.Typing.28","还记得","还记得"
"FirstGuest.Nil.29","哦好","哦好"
"FirstGuest.Nil.30","什么？","什么？"
"FirstGuest.Nil.31","你以为我会说，即便你记得我还是重新说一下，这种台词吗？","你以为我会说，即便你记得我还是重新说一下，这种台词吗？"
"FirstGuest.Nil.32","上当了吧！这就是我的逃跑路线！","上当了吧！这就是我的逃跑路线！"
"FirstGuest.Typing.33","……",""
"FirstGuest.Typing.34","工作原则就是不可以违背客人的意愿吧？","工作原则就是不可以违背客人的意愿吧？"
"FirstGuest.Nil.35","哦，你居然真的记得","哦，你居然真的记得"
"FirstGuest.Nil.36","小看你了","小看你了"
"FirstGuest.Typing.37","忘了","忘了"
"FirstGuest.Nil.38","那么简单的事情也忘了","那么简单的事情也忘了"
"FirstGuest.Typing.39","你说呢？","你说呢？"
"FirstGuest.Nil.40","真咄咄逼人","真咄咄逼人"
"FirstGuest.Nil.41","总之原则是不可以违背客人的意愿","总之原则是不可以违背客人的意愿"
"FirstGuest.Nil.42","看起来很简单，不过实际做起来你就知道有多难了","看起来很简单，不过实际做起来你就知道有多难了"
"FirstGuest.Nil.43","好了，我现在帮你切换到客人 Holly 的账号","好了，我现在帮你切换到客人 Holly 的账号"
"FirstGuest.Nil.44","这次的目标是，痛骂老板一顿，但不要害客户丢掉工作","这次的目标是，痛骂老板一顿，但不要害客户丢掉工作"
"FirstGuest.Typing.45","好","好"
"FirstGuest.Monologue.1","06月17日，
这是新软件记录的第一条记录。","06月17日，
这是新软件记录的第一条记录。"
"FirstGuest.Monologue.2","这次的客人是……Holly 啊。","这次的客人是……Holly 啊。"
"FirstGuest.Monologue.3","……","……"
"FirstGuest.Monologue.4","Nil 也是在这一天开始了那个计划吗？","Nil 也是在这一天开始了那个计划吗？"
"FirstGuest.Monologue.5","继续往下看吧。","继续往下看吧。"
