location,source,target
OutsideSella2.Sella.1,我会再歇一会儿再动手。,
OutsideSella2.Sella.2,以免你改主意。,
OutsideSella2.Sella.3,你要考虑一下这是不是你此生仅有的机会哦……,
OutsideSella2.Sella.4,我是说杯子的事情。,
OutsideSella2.Sella.5,怎么样，改主意了吗？,
OutsideSella2.Miki.6.1,是的。,
OutsideSella2.Sella.7,好耶！,
OutsideSella2.Sella.8,那就动手吧！,
OutsideSella2.Miki.6.2,没有。,
OutsideSella2.Sella.10,可惜。,
OutsideSella2.Sella.11,那我就自己解决了。,
OutsideSella2.Miki.12,>协助 Sella 收拾了摊子。,
OutsideSella2.Sella.13,唔——终于——,
OutsideSella2.Sella.14,收工啦！,
OutsideSella2.Sella.15,给你这个，答应好的杯子。,
OutsideSella2.Sella.16,然后——,
OutsideSella2.Sella.17,交个朋友吧？,
OutsideSella2.Sella.18,这是我的聊天，要发消息过来哦。,
OutsideSella2.Miki.19.1,好的。,
OutsideSella2.Miki.19.2,一定。,
OutsideSella2.Sella.21,那我跟车回去啦，拜拜——！,
