location,source,target
D9E5AspenHesitate.Monologue.1,好像察觉到了……Aspen 多余的感情。,
D9E5AspenHesitate.Monologue.2,嗯……,
D9E5AspenHesitate.Monologue.3,这份工作看似是无限跑图、赛博通马桶……,
D9E5AspenHesitate.Monologue.4,其实是替身的替身。,
D9E5AspenHesitate.Monologue.5,只是为了赚钱……真的要走到这一步吗？,
D9E5AspenHesitate.Monologue.6,要是不在那些群里发言，也许还能回头。,
D9E5AspenHesitate.Monologue.7,我可以潇洒地下号跑路……,
D9E5AspenHesitate.Monologue.8,试试其他人？,
D9E5AspenHesitate.Monologue.100,只有三分钟的考虑时间……,
D9E5AspenHesitate.Monologue.9,时间在一分一秒地流逝……,
D9E5AspenHesitate.Monologue.10,要赶快做决定啊。,
D9E5AspenHesitate.Monologue.101,应该是 Aspen 说的群聊，不过还有 Aspen 的消息没看。,
D9E5AspenHesitate.tips.11,在三分钟内用 Aspen 的账号炸群,
D9E5AspenHesitate.tips.12,走到最后，把群全部炸掉,
