"location","source","target"
"﻿D9E5AspenBreak.Typing.1","我没有","我没有"
"D9E5AspenBreak.Typing.2","别擅自揣度我的想法","别擅自揣度我的想法"
"D9E5AspenBreak.Aspen.3","那为什么不肯听我的秘密","那为什么不肯听我的秘密"
"D9E5AspenBreak.Typing.4","你以为我就没有秘密吗","你以为我就没有秘密吗"
"D9E5AspenBreak.Typing.5","我藏着一个如果你知道了会马上疯掉的秘密","我藏着一个如果你知道了会马上疯掉的秘密"
"D9E5AspenBreak.Typing.6","我有我的使命","我有我的使命"
"D9E5AspenBreak.Typing.7","我不能再背负更多了！Aspen","我不能再背负更多了！Aspen"
"D9E5AspenBreak.Aspen.8","好吧","好吧"
"D9E5AspenBreak.Aspen.9","我刚才急了 我不该说那些话","我刚才急了 我不该说那些话"
"D9E5AspenBreak.Aspen.10","对不起","对不起"
"D9E5AspenBreak.Aspen.11","老师帮我很多","老师帮我很多"
"D9E5AspenBreak.Aspen.12","我很感谢","我很感谢"
"D9E5AspenBreak.Typing.13","有一件事情你要明白","有一件事情你要明白"
"D9E5AspenBreak.Monologue.14","好像错过这个机会，就很难再开口了。","好像错过这个机会，就很难再开口了。"
"D9E5AspenBreak.Typing.15","我遇到了些麻烦","我遇到了些麻烦"
"D9E5AspenBreak.Typing.16","我妹妹病重","我妹妹病重"
"D9E5AspenBreak.Aspen.17","先拿这笔钱去应急吧","先拿这笔钱去应急吧"
"D9E5AspenBreak.Aspen.18","多的我也没有","多的我也没有"
"D9E5AspenBreak.Aspen.19","谢谢老师 一直以来 谢谢","谢谢老师 一直以来 谢谢"
"D9E5AspenBreak.Aspen.20","我去直播了","我去直播了"
"D9E5AspenBreak.Typing.21","我只希望你幸福","我只希望你幸福"
"D9E5AspenBreak.Aspen.22","这是你的真心话吗？","这是你的真心话吗？"
"D9E5AspenBreak.Typing.23","当然","当然"
"D9E5AspenBreak.Aspen.24","好，我相信你","好，我相信你"
"D9E5AspenBreak.Aspen.25","谢谢你今天帮我做的事情","谢谢你今天帮我做的事情"
"D9E5AspenBreak.Aspen.26","我除了钱也没别的东西了","我除了钱也没别的东西了"
"D9E5AspenBreak.Aspen.27","我去冷静一下","我去冷静一下"
"D9E5AspenBreak.Aspen.28","不好意思","不好意思"
"D9E5AspenBreak.Aspen.29","以后","以后"
"D9E5AspenBreak.Aspen.30","就是之前说的一起直播的事情","就是之前说的一起直播的事情"
"D9E5AspenBreak.Aspen.31","还作数吗？","还作数吗？"
"D9E5AspenBreak.Aspen.32","算了，今天就这样","算了，今天就这样"
"D9E5AspenBreak.Typing.33","作数","作数"
"D9E5AspenBreak.Aspen.34","嗯，好","嗯，好"
"D9E5AspenBreak.Typing.35","你再试一次也许会成功","你再试一次也许会成功"
"D9E5AspenBreak.Aspen.36","哈哈","哈哈"
"D9E5AspenBreak.Aspen.37","这算是拒绝吗","这算是拒绝吗"
"D9E5AspenBreak.Typing.38","不算吧","不算吧"
"D9E5AspenBreak.Typing.1001","也许，呃","也许，呃"
"D9E5AspenBreak.Typing.1002","我们彼此可以再多了解一点","我们彼此可以再多了解一点"
"D9E5AspenBreak.Monologue.1003","这样能拖住吗……？","这样能拖住吗……？"
"D9E5AspenBreak.Monologue.1004","被架在中间不能答应也不能拒绝，好难受。","被架在中间不能答应也不能拒绝，好难受。"
"D9E5AspenBreak.Typing.39","隔着网络，没有保留地相信一个人是很危险的","隔着网络，没有保留地相信一个人是很危险的"
"D9E5AspenBreak.Aspen.40","不隔着网络也危险","不隔着网络也危险"
"D9E5AspenBreak.Aspen.41","这和网络没有关系","这和网络没有关系"
"D9E5AspenBreak.Aspen.42","只是你不愿意和我交换你的秘密","只是你不愿意和我交换你的秘密"
"D9E5AspenBreak.Aspen.43","你太复杂了","你太复杂了"
"D9E5AspenBreak.Aspen.44","我根本不懂你","我根本不懂你"
"D9E5AspenBreak.Typing.45","我骗过很多人","我骗过很多人"
"D9E5AspenBreak.Aspen.46","我知道，你和我说起过","我知道，你和我说起过"
