location,source,target
OutsideLevi.InteractTips,今天好像是 Levi 的生日……,
OutsideLevi.InteractTips.2,里面好像有楼梯，上去吧。,
OutsideLevi.Levi.1,你来了。,
OutsideLevi.Miki.2,今天真是你的生日吗？,
OutsideLevi.Levi.3,是的，是我刚刚设定的。,
OutsideLevi.Miki.4,……,
OutsideLevi.Levi.5,我们换个地方说话吧。,
OutsideLevi.Levi.6,你开一下轮子的锁。,
OutsideLevi.Levi.7,售货机后面应该有个门。,
OutsideLevi.Miki.8,看到了。,
OutsideLevi.Levi.9,密码是你的生日。,
OutsideLevi.Miki.10,你是怎么知道的？,
OutsideLevi.Levi.11,不要小看了我的情——,
OutsideLevi.Miki.12,呃。,
OutsideLevi.Miki.13.1,已经可以了。,
OutsideLevi.Miki.13.2,没什么。,
OutsideLevi.Levi.15,情报网。,
OutsideLevi.Levi.16,不好笑吗？,
OutsideLevi.Miki.17,还行吧。,
OutsideLevi.Miki.18,所以你是怎么知道的？,
OutsideLevi.Levi.201,你开过西瓜闪电支付。,
OutsideLevi.Levi.19,去年你在我这用西瓜联名会员生日折扣买了一本《亚东现代建筑设计集》。,
OutsideLevi.Miki.20,你到底从哪搞来的那本书？,
OutsideLevi.Levi.21,Tender。,
OutsideLevi.Levi.22,一个约炮网站。,
OutsideLevi.Miki.23,你真明白这个词是——,
OutsideLevi.Levi.24,开了先往右边走，然后一直上到楼顶。,
OutsideLevi.Miki.25,好吧。,
OutsideLevi.Miki.26,>用自己的生日打开了门锁。,
OutsideLevi.Miki.27,好漂亮。,
OutsideLevi.Miki.28,虽然只高了几楼，风景完全不一样。,
OutsideLevi.Miki.29,……,
OutsideLevi.Miki.30,（对哦……Levi不能跟上来……）,
OutsideLevi.Miki.31,（楼梯太窄了，没办法把售货机推上来……）,
OutsideLevi.Miki.32,（点根烟，然后回去吧。）,
OutsideLevi.Miki.33,（麻园的风啊……）,
OutsideLevi.Levi.34,哟。,
OutsideLevi.Miki.35,哇！吓我一跳。,
OutsideLevi.Levi.36,看来这个激光的功率还不错。,
OutsideLevi.Miki.37.1,这就是你的真身吗？,
OutsideLevi.Levi.38,当然不是。,
OutsideLevi.Levi.202,这只是一台激光投影。,
OutsideLevi.Miki.37.2,这是你自己做的吗？,
OutsideLevi.Levi.40,这个形象是我自己做的。,
OutsideLevi.Levi.41,很累。,
OutsideLevi.Levi.43,总之这不是我，是一台激光投影。,
OutsideLevi.Levi.44,后面还有更精彩的内容。,
OutsideLevi.Miki.207,仔细看了看这个投影，我其实有点好奇你的性别。,
OutsideLevi.Levi.83,你真的想知道吗？,
OutsideLevi.Miki.84.1,想知道。,
OutsideLevi.Miki.84.2,啊，倒也没有到那种程度。,
