location,source,target
FinalReviewNorida.Intro.1,幽灵协议2的开发最终没能完成。,
FinalReviewNorida.Intro.2,了结了账面上的事情后 Frank 离开了公司。,
FinalReviewNorida.TrueV.11,Frank 以高级管理人员损害公司利益起诉了 Will。,
FinalReviewNorida.TrueV.12,官司打得难解难分，Frank 在上一次庭审中取得了优势。,
FinalReviewNorida.Truev.1,Viz如期入职了CT。,
FinalReviewNorida.Truev.2,Norida在公司房租到期的那一天才离开办公场地。,
FinalReviewNorida.Truev.3,他把幽灵协议2的代码和资源都存进了硬盘。,
FinalReviewNorida.Truev.4,Norida清楚只有自己一个人和勇气，无法完成这个项目。,
FinalReviewNorida.Truev.5,好在他还有时间，也许是五年、十年——,
FinalReviewNorida.Truev.6,只要继续走下去的话——,
FinalReviewNorida.Truev.7,一定会和能让这个游戏复活的人相遇。,
FinalReviewNorida.FalseV.1,Viz和Nori留在公司坚持了一段时间。,
FinalReviewNorida.FalseV.2,没有尽头的寻找和等待最终耗光了两人的耐心。,
FinalReviewNorida.FalseV.3,他们把幽灵协议2的代码和资源都存进了硬盘。,
FinalReviewNorida.FalseV.4,至于什么时候会再打开这个硬盘，还要不要去找Will——,
FinalReviewNorida.FalseV.5,没有人清楚。,
FinalReviewNorida.Falsev.1,Viz如期入职了CT。,
FinalReviewNorida.Falsev.2,Norida在公司房租到期的那一天才离开办公场地。,
FinalReviewNorida.Falsev.3,他把幽灵协议2的代码和资源都存进了硬盘。,
FinalReviewNorida.Falsev.4,至于什么时候会再打开这个硬盘，什么时候能找到Will——,
FinalReviewNorida.Falsev.5,他也不清楚。,
