location,source,target
SomeoneCome.Monologue.1,……,
SomeoneCome.Monologue.2,久违的宁静啊……,
SomeoneCome.Monologue.3,"空调已经转起来了，
随着金钱的燃烧，能感觉到一丝微微的凉意。",
SomeoneCome.Monologue.4,"麻园还是太热了，
根本不适合人类生存啊。",
SomeoneCome.Monologue.5,……,
SomeoneCome.Monologue.6,想下班了……,
SomeoneCome.Monologue.7,要是今晚都没有别的客户就好了。,
SomeoneCome.Monologue.8,"不行，
那样的话就存下不钱了。",
SomeoneCome.Monologue.9,"等待可真煎熬啊，
要不下去抽——",
SomeoneCome.Someone.10,魔术师吞下绽火的流星，,
SomeoneCome.Someone.11,穿梭在冒烟的铁雨里，,
SomeoneCome.Someone.12,好大的雨，不知道什么时候会停。,
SomeoneCome.Typing.16,你是？,
SomeoneCome.Typing.17,怎么突然这么说？,
SomeoneCome.Typing.18,这是哪本书里的吗？,
SomeoneCome.Typing.19,（不回复）,
SomeoneCome.Monologue.20,……,
SomeoneCome.Monologue.21,这个人离线了……,
SomeoneCome.Typing.22,哈罗,
SomeoneCome.Typing.23,你还在吗？,
