location,source,target
ARCKrisTruth.Kris.1,在吗？,
ARCKrisTruth.Kris.2,现在有没有空？,
ARCKrisTruth.Typing.3,/不回,
ARCKrisTruth.Kris.4,嗯……要不要出来吃个饭,
ARCKrisTruth.Kris.5,我有事情想和你说,
ARCKrisTruth.Typing.6,/不回,
ARCKrisTruth.Kris.7,我在星见站F口,
ARCKrisTruth.Kris.8,我会再在这里等十分钟,
ARCKrisTruth.Kris.9,如果你想过来就给我发消息,
ARCKrisTruth.Kris.200,好吧，就这样吧,
ARCKrisTruth.Typing.10,怎么了？,
ARCKrisTruth.Kris.11,嗯……就是想叫你出来吃个饭，见一面,
ARCKrisTruth.Typing.12,我现在可能脱不开身,
ARCKrisTruth.Kris.13,哦……这样,
ARCKrisTruth.Kris.14,嗯……,
ARCKrisTruth.Kris.15,我就是想和你说,
ARCKrisTruth.Kris.16,我一直都挺不喜欢你的,
ARCKrisTruth.Kris.17,很感谢你上次帮我拍视频,
ARCKrisTruth.Kris.18,我不是那种恩将仇报的人,
ARCKrisTruth.Kris.19,嗯，只是，这些话如果不说出来,
ARCKrisTruth.Kris.20,就觉得自己前进不下去,
ARCKrisTruth.Kris.21,我还能继续说下去吗,
ARCKrisTruth.Typing.22,说吧,
ARCKrisTruth.Typing.23,闭嘴,
ARCKrisTruth.Kris.24,好吧,
ARCKrisTruth.Kris.25,嗯。不喜欢你这样的人,
ARCKrisTruth.Kris.26,你好像什么都满不在乎,
ARCKrisTruth.Kris.27,总是说些莫名其妙的话,
ARCKrisTruth.Typing.28,我以为我们,
ARCKrisTruth.Typing.29,我也不喜欢你,
ARCKrisTruth.Kris.30,对不起,
ARCKrisTruth.Kris.31,我要走了才跟你说这些话,
ARCKrisTruth.Kris.32,你的建筑做得很好,
ARCKrisTruth.Kris.33,我不喜欢你做的水泥房子,
ARCKrisTruth.Kris.34,我等不到木造崛起了,
ARCKrisTruth.Kris.35,嗯……对不起说些很任性的话,
ARCKrisTruth.Kris.36,我离职了，明天是最后一天,
ARCKrisTruth.Kris.37,我就是告诉你这个,
ARCKrisTruth.Kris.38,我觉得你会成为一个好建筑师,
ARCKrisTruth.Kris.39,这行烂人太多了,
ARCKrisTruth.Kris.40,你是个又古怪又让我觉得羡慕的人,
ARCKrisTruth.Kris.41,你在公司太能卷了,
ARCKrisTruth.Kris.42,你的世界里只有工地和水泥,
ARCKrisTruth.Kris.43,你不知道有痛苦,
ARCKrisTruth.Kris.44,画不出东西，做不出设计来太难受了,
ARCKrisTruth.Kris.45,我说着是要做一辈子建筑,
ARCKrisTruth.Kris.46,麻园滨海结束前那几天我根本就坐不在电脑前面,
ARCKrisTruth.Kris.47,一回家就会哭到什么都做不了,
ARCKrisTruth.Kris.48,我怕了,
ARCKrisTruth.Monologue.49,为什么……我在别人眼里会是这样的……,
ARCKrisTruth.Kris.50,我怕了，卷不动了,
ARCKrisTruth.Kris.51,我还年轻，我觉得我还有很多机会,
ARCKrisTruth.Kris.52,我不想再在建筑行业耗着,
ARCKrisTruth.Kris.53,我要去做做别的事情试试看,
ARCKrisTruth.Kris.54,你讽刺和挖苦木造这一点我不能原谅,
ARCKrisTruth.Kris.55,但你会成为一个好建筑师,
ARCKrisTruth.Kris.56,嗯一定会,
ARCKrisTruth.Kris.57,谢谢你以前帮过我,
ARCKrisTruth.Kris.58,真的很感谢,
ARCKrisTruth.Kris.59,建筑院我只有你一个人可以依赖,
ARCKrisTruth.Kris.60,对不起，你要是觉得烦就把我删了,
ARCKrisTruth.Monologue.100,既然她不喜欢我。,
ARCKrisTruth.Monologue.101,要在 好友 中把 Kris 删掉吗？,
ARCKrisTruth.Monologue.102,还是干脆不理她？,
ARCKrisTruth.Typing.61,谢谢和我说这些,
ARCKrisTruth.Typing.62,我不是你说的那个样子,
ARCKrisTruth.Typing.63,可以说是一点也不像,
ARCKrisTruth.Typing.64,呃，我可能是有点古怪,
ARCKrisTruth.Typing.65,我其实没有哪里古怪,
ARCKrisTruth.Typing.66,但是谢谢你认可我的建筑,
ARCKrisTruth.Typing.67,我现在真的有点赶时间,
ARCKrisTruth.Monologue.68,我没有时间了，靠。,
ARCKrisTruth.Monologue.69,要怎么说。,
ARCKrisTruth.Typing.70,明天见吧,
ARCKrisTruth.Typing.71,明天我们可以道别,
ARCKrisTruth.Kris.72,好，明天见,
ARCKrisTruth.Kris.73,以后还能找你拍视频吗,
ARCKrisTruth.Kris.74,其实你拍那条流量很好,
ARCKrisTruth.Kris.75,我很嫉妒,
ARCKrisTruth.Kris.76,你真的什么都可以做到,
ARCKrisTruth.Typing.77,可以拍,
ARCKrisTruth.Typing.78,只要付片酬就没问题,
ARCKrisTruth.Kris.79,好,
ARCKrisTruth.Typing.80,拍不了,
ARCKrisTruth.Typing.81,你是跑了,
ARCKrisTruth.Typing.82,我还要在设计院上班啊,
ARCKrisTruth.Kris.83,也是,
ARCKrisTruth.Typing.84,不好说,
ARCKrisTruth.Typing.85,等到时候看情况吧,
ARCKrisTruth.Kris.86,好,
ARCKrisTruth.Kris.87,嗯……那明天见,
ARCKrisTruth.Typing.88,/不回,
ARCKrisTruth.Typing.89,/删除好友,
