"location","source","target"
"﻿PCBroke.Monologue.1","这啥情况……","这啥情况……"
"PCBroke.Monologue.2","我啥也没点啊。","我啥也没点啊。"
"PCBroke.Monologue.3","我靠！
这是什么情况？","我靠！
这是什么情况？"
"PCBroke.Monologue.4","不会爆炸吧！","不会爆炸吧！"
"PCBroke.Monologue.5","等一下——！","等一下——！"
"PCBroke.Monologue.6","别带我走！
我还有——！","别带我走！
我还有——！"
"PCBroke.System.100","Welcome, Miki","Welcome, Miki"
"PCBroke.System.101","Connecting...          |■                                    | 11.7%","Connecting...          |■                                    | 11.7%"
"PCBroke.System.102","Connecting...          |■■■■                        | 39.4%","Connecting...          |■■■■                        | 39.4%"
"PCBroke.System.103","Connecting...          |■■■■■■■■        | 79.8%","Connecting...          |■■■■■■■■        | 79.8%"
"PCBroke.System.104","Connecting...          |■■■■■■■■■    | 96.1%","Connecting...          |■■■■■■■■■    | 96.1%"
"PCBroke.System.105","Done                        |■■■■■■■■■■| 100.0%","Done                        |■■■■■■■■■■| 100.0%"
"PCBroke.MastroX.7","喂喂喂","喂喂喂"
"PCBroke.MastroX.8","能看到我说话吗","能看到我说话吗"
"PCBroke.Typing.9","可以","可以"
"PCBroke.MastroX.10","很好，那我们就可以开始了","很好，那我们就可以开始了"
"PCBroke.MastroX.11","哼——既然你诚心诚意地问了","哼——既然你诚心诚意地问了"
"PCBroke.Monologue.12","……","……"
"PCBroke.Typing.13","我根本","我根本"
"PCBroke.MastroX.14","我听见远方的呼唤——","我听见远方的呼唤——"
"PCBroke.MastroX.15","红与绿碰撞，黄金和白银嵌满了宝石。","红与绿碰撞，黄金和白银嵌满了宝石。"
"PCBroke.MastroX.16","从混沌的黑白中，将诞生出一轮新的日月！！！","从混沌的黑白中，将诞生出一轮新的日月！！！"
"PCBroke.MastroX.1001","来了！神——降临!","来了！神——降临!"
"PCBroke.Nil.1002"," ⡠⠄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀"," ⡠⠄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀"
"PCBroke.Nil.1003","⢸⣀⠜⢄⡀⠀⠰⣶⣤⣀⠀⠀⣠⠔⠚⢛⣛⣦⡀⠀⠀⠀⠀⠀⠀⡐⠉⠉⢶⠄","⢸⣀⠜⢄⡀⠀⠰⣶⣤⣀⠀⠀⣠⠔⠚⢛⣛⣦⡀⠀⠀⠀⠀⠀⠀⡐⠉⠉⢶⠄"
