location,source,target
KaedeMiki.Think.0,先试试自己去问老妈的话？,
KaedeMiki.Typing.1,妈,
KaedeMiki.Kaede.2,什么,
KaedeMiki.Typing.3.1,我有事情想和你聊,
KaedeMiki.Typing.3.2,没什么,
KaedeMiki.Kaede.5,又没钱了吗？,
KaedeMiki.Typing.6,啊不是钱啦,
KaedeMiki.Typing.7,就随便和你聊两句,
KaedeMiki.Kaede.8,哦，你没事吧,
KaedeMiki.Typing.9,没有,
KaedeMiki.Kaede.10,压力大就回来,
KaedeMiki.Kaede.11,Daisy 说你发财了,
KaedeMiki.Monologue.12,这死小鬼，一点城府都没有！,
KaedeMiki.Kaede.13,这么快就花光了吗,
KaedeMiki.Kaede.14,跟你说过花钱要有计划,
KaedeMiki.Kaede.15,你最近怎么样？,
KaedeMiki.Kaede.16,你最近怎么样？,
KaedeMiki.Kaede.17,有空多去外面走走,
KaedeMiki.Kaede.18,别天天坐在电脑面前,
KaedeMiki.Typing.19,我还行，最近没那么忙了,
KaedeMiki.Typing.20,工作挺轻松的,
KaedeMiki.Kaede.21,嗯，有空的话别忘了提升自己,
KaedeMiki.Kaede.22,多学点东西总没错,
KaedeMiki.Typing.23.1,好，你早点休息,
KaedeMiki.Think.100,算了，也许老妈并不想让我知道……,
KaedeMiki.Monologue.24,结果到头来还是没能问出口。,
KaedeMiki.Monologue.25,啊，太难啦。,
KaedeMiki.Monologue.101,直接告诉 Malow 我做不到吧。,
KaedeMiki.Typing.23.2,我想问下 Malow 的事情,
KaedeMiki.Think.102,不行，直接问吧,
KaedeMiki.Kaede.27,什么 Malow,
KaedeMiki.Typing.28,生物医学博士导师 MaLow,
KaedeMiki.Kaede.29,谁告诉你的这个人,
KaedeMiki.Kaede.30,这个人怎么了,
KaedeMiki.Typing.31,你能保守秘密吗,
KaedeMiki.Typing.32,这涉及到商业机密,
KaedeMiki.Kaede.33,别啰嗦，我会害你吗？,
KaedeMiki.Monologue.34,让我想想要怎么和她说……,
KaedeMiki.Typing.35.1,我今天接到了一个单子,
KaedeMiki.Typing.35.2,有个客人来找我,
KaedeMiki.Typing.35.3,我有一个朋友,
KaedeMiki.Typing.38,那个人说,
KaedeMiki.Typing.39,你是他对象,
KaedeMiki.Typing.40,我意思是说,
KaedeMiki.Typing.41,反正他是这么说的,
KaedeMiki.Typing.42.1,我其实不怎么相信,
KaedeMiki.Typing.42.2,我其实有点怀疑,
KaedeMiki.Kaede.44,MaLow 是吧？,
KaedeMiki.Kaede.45,有病,
KaedeMiki.Kaede.46,我去找他说,
KaedeMiki.Typing.47,别别别,
KaedeMiki.Typing.48,你一找他的话我就露馅了啊,
KaedeMiki.Kaede.49,露什么馅？,
KaedeMiki.Kaede.50,他找你盖房子？,
KaedeMiki.Typing.51,倒也不是这样,
KaedeMiki.Typing.52,我现在在做一种类似于中介？的兼职,
KaedeMiki.Kaede.53,别去裸贷,
KaedeMiki.Kaede.54,别去贷款,
KaedeMiki.Typing.55,所以那个 MaLow,
KaedeMiki.Kaede.56,MaLow 是和我合作的一个高校老师,
KaedeMiki.Kaede.57,在大川开诊所必须要有至少一个药学相关的博士挂名,
KaedeMiki.Typing.58,但他不是生物医学博士吗？,
KaedeMiki.Kaede.59,他是药学院的生物医学博士,
KaedeMiki.Typing.60,你们是同学？,
KaedeMiki.Kaede.61,不是，以前医院的同事,
KaedeMiki.Kaede.62,他来找你干什么,
KaedeMiki.Typing.63,他想让我说服你和 Greg 道歉,
KaedeMiki.Kaede.64,不可能,
KaedeMiki.Kaede.65,我没有做错任何事情，不需要向他道歉,
KaedeMiki.Typing.66.1,但是只要你道个歉,
KaedeMiki.Typing.67,我们就能赚一笔小钱,
KaedeMiki.Kaede.68,你缺那点钱的话我给你,
KaedeMiki.Kaede.69,道歉不可能,
KaedeMiki.Typing.66.2,好的,
KaedeMiki.Monologue.71,果然是这样……,
KaedeMiki.Monologue.72,要说服老妈是不可能的。,
KaedeMiki.Monologue.73,对了， 还有一件在意的事情……,
KaedeMiki.Typing.74,说来他还和我提到了 Cenol,
KaedeMiki.Typing.75.1,Cenol 是谁？,
KaedeMiki.Typing.75.2,Cenol 是什么情况？,
KaedeMiki.Kaede.77,大人的事情小孩不要管,
KaedeMiki.Kaede.78,这些事情我会处理好,
KaedeMiki.Monologue.79,好吧，看来没办法直接从老妈这里了解到事情的全貌。,
KaedeMiki.Monologue.80,也许只能试试用 Malow 和 Cenol 的组合技了……,
