PP1.1.Title,塔台收到，允许降落。,
PP1.1.Text,"不知不觉已经和你小子共事这么久了啊。
一开始觉得你是个奇怪的家伙，呃，不是，我是想说，有个性的家伙。
反正和你一起工作挺开心的。

以后也请多多关照吧。",
PP1.1.Name,Miiiiiik,
PP1.2.Title,来自危地马拉的问候,
PP1.2.Text,"嗨，这里是 Kathy。
这里是Max。
我们正在一起给你写信。我们现在是咖啡店的同事了!如果你来的话，可以凭此信剪角换一杯花椒美式。如果没有你我们可能就错过彼此了，真的非常感谢。

记得来店里坐坐哦!",
PP1.2.Name,Mimi,
PP1.3.Title,开始新的生活,
PP1.3.Text,"嗨，Miki。很感谢你能为我挺身而出。
我今天是有好消息想和你分享，我从那家公司离职了。挺不可思议吧?一向看重稳定的我，辞掉干那么久的工作。
其实那件事情以后，我重新审视了自己的生活。我一点也不喜欢那家公司，也不喜欢那份工作，在写这封信的时候，我终于决定去一个新的地方试着重启人生。要和我喜欢的人和事情在一起。
再次，谢谢你拯救了我的人生，如果有缘分的话。

未来见。",
PP1.3.Name,"我的英雄
Miki",
PP1.4.Title,家书,
PP1.4.Text,不管遇到什么事情，你都可以回来，人生很长，慢慢走。并非是作为母亲，而是作为曾经沉浮过的年轻人，我衷心祝愿你能找到自己要做的事情。慢慢找，别忘了，我永远爱你。,
PP1.4.Name,Miki,
PP1.5.Title,好想出去走走,
PP1.5.Text,"我曾经以为就算只剩文字也能一直陪伴着Li
但是现在我发现我错了。

我永远也不能知道Li今天换了什么新发色，吃了什么味道的美食，看到了什么风景，也永远闻不到Li新换洗发水的味道。

可能我需要从如何操作和识别摄像头开始学习，或许有经验的你可以帮帮我?",
PP1.5.Name,Miki,
PP1.6.Title,如果孤独的守望将是我的终局,
PP1.6.Text,无光的道路还会有终点吗？,
PP1.6.Name,Miki,
PP1.7.Title,感谢,
PP1.7.Text,Demo试玩结束，谢谢你来玩我们的游戏！,
PP1.7.Name,屏幕前的你,
