location,source,target
NilFindWill.Typing.1.1,Nil,
NilFindWill.Nil.2,咋了,
NilFindWill.Typing.1.2,晚上好海鸥侠,
NilFindWill.Nil.4,晚上好我的右手,
NilFindWill.Typing.1.3,Hey yo my man,
NilFindWill.Nil.6,what's up?,
NilFindWill.Typing.7,我接到了一个棘手的大单,
NilFindWill.Typing.8,需要你的帮助,
NilFindWill.Nil.9,哦？有点意思,
NilFindWill.Typing.10,我要找一个人,
NilFindWill.Nil.11,什么人？,
NilFindWill.Typing.12,幻视科技的剧情总监 Will，他带着一份重要的剧本消失了,
NilFindWill.Typing.13,GPS、IP 定位啥的，你应该有办法吧？,
NilFindWill.Nil.14,哦，原来如此,
NilFindWill.Nil.15,对不起，做不到,
NilFindWill.Typing.16,为啥？！,
NilFindWill.Typing.17,你不是自称超级嗨客的吗？,
NilFindWill.Nil.18,我从来没,
NilFindWill.Nil.19,你悄悄去看动画片了对不对？,
NilFindWill.Nil.20,哈哈哈哈哈,
NilFindWill.Nil.21,当场抓获,
NilFindWill.Nil.22,怎么样怎么样？,
NilFindWill.Typing.23,什么？,
NilFindWill.Nil.24,微波炉与石头门啊,
NilFindWill.Monologue.25,……,
NilFindWill.Monologue.26,他一说这个标题，我好像确实去看了那部动画。,
NilFindWill.Typing.27.1,我没看！,
NilFindWill.Typing.27.2,说正事说正事,
NilFindWill.Typing.29,为什么做不到？,
NilFindWill.Nil.30,乱敲一阵子键盘，然后按一下回车,
NilFindWill.Nil.31,啪——,
NilFindWill.Nil.32,事情就解决了,
NilFindWill.Nil.33,你不会以为这就是黑客之道吧,
NilFindWill.Nil.34,这种事情是你才能做到的啊，Miki,
NilFindWill.Monologue.35,……,
NilFindWill.Nil.36,另外我是个光明磊落的全栈工程师,
NilFindWill.Nil.37,只有猥琐阴暗的后端工程师才会去做你说的那些事情,
NilFindWill.Nil.38,什么偷用户隐私打包出售啦,
NilFindWill.Nil.39,用服务器后门挖矿啦,
NilFindWill.Typing.40,好吧，那如果是找个剧本呢？,
NilFindWill.Nil.41,什么剧本,
NilFindWill.Typing.42,就是那个 Will 写的游戏剧本,
NilFindWill.Typing.43,我觉得很可能就存在他的个人电脑里,
NilFindWill.Nil.44,好，那你把那个电脑寄到我这来,
NilFindWill.Typing.45,不害怕住址泄露了吗,
NilFindWill.Nil.46,我有联运公司喵,
NilFindWill.Nil.47,拿到电脑应该有办法,
NilFindWill.Typing.48,对不起，做不到,
NilFindWill.Nil.49,嘎。,
NilFindWill.Nil.50,我可以帮你想想别的办法,
NilFindWill.Nil.51,我先去看一集动画片寻找灵感,
NilFindWill.Todo.3,等待 Nil 的灵感,
