"location","source","target"
"﻿FinalReviewNami.Yes.1","暂时从村子里没有空调的房间逃出来了。","暂时从村子里没有空调的房间逃出来了。"
"FinalReviewNami.Yes.2","图书馆的空调很冷，却也很无聊。","图书馆的空调很冷，却也很无聊。"
"FinalReviewNami.Yes.3","物理逐渐变得有趣，其他科目的书却很难看进去……","物理逐渐变得有趣，其他科目的书却很难看进去……"
"FinalReviewNami.Yes.4","想见Rukia……","想见Rukia……"
"FinalReviewNami.Yes.5","…………","…………"
"FinalReviewNami.Yes.6","真他妈是难受得要死。","真他妈是难受得要死。"
"FinalReviewNami.Yes.7","画一张素描散散心吧……","画一张素描散散心吧……"
"FinalReviewNami.Yes.8","正好试试新的铅笔。","正好试试新的铅笔。"
"FinalReviewNami.No.1","升学考试前的最后一次见面了。","升学考试前的最后一次见面了。"
"FinalReviewNami.No.2","Rukia看起来很焦虑……","Rukia看起来很焦虑……"
"FinalReviewNami.No.3","我则是对未来完全没什么概念。","我则是对未来完全没什么概念。"
"FinalReviewNami.No.4","没有办法做建筑的话，要转行做Coser吗？","没有办法做建筑的话，要转行做Coser吗？"
"FinalReviewNami.No.5","钱要怎么办……高中学历的话租得到房吗……？","钱要怎么办……高中学历的话租得到房吗……？"
"FinalReviewNami.No.6","下一届AM如果出大胸角色会不会意外爆火……","下一届AM如果出大胸角色会不会意外爆火……"
"FinalReviewNami.No.7","绳子和滑块的受力分析要怎么做啊……","绳子和滑块的受力分析要怎么做啊……"
"FinalReviewNami.No.8","静不下心来。夏天真的太热了。","静不下心来。夏天真的太热了。"
"FinalReviewNami.No.9","大海完全没有空调凉快。","大海完全没有空调凉快。"
