UI.LanguageName,简体中文,
UI.Yes,是,
UI.No,否,
UI.Confirm,确认,
UI.Cancel,取消,
UI.DemoVersionTips,功能测试版本,
UI.Tips.Keyboard,推荐使用键盘游玩,
UI.Tips.Mouse,有时候鼠标也可以,
UI.Tips.Switch,切换,
UI.Tips.Select,选择,
UI.Tips.Confirm,确认,
UI.Tips.Move,移动,
UI.Tips.Leave,离开,
UI.Tips.Menu,菜单,
UI.Tips.Software,软件,
UI.Tips.Option,选项,
UI.Tips.Unlock,"晃动鼠标<sprite name=""Mouse"">以解锁",
UI.Tips.TimeLimit,展会试玩开始后只有 <color=#db7f20>{0:00}</color> 哦,
UI.Tips.DemoLeftTime,离试玩结束还有:,
UI.Tips.DemoOver,感谢！试玩已经结束辣,
UI.Tips.DemoReturn,回到2011年9月,
UI.Tips.StoryCreationStatement,本游戏的剧情故事纯属虚构，与任何实际存在的人物、事件、团体、组织无任何联系。,
UI.Todo.MakeMoneyTarget,存够 {0}（还差 {1}）,
UI.Todo.GiveMoneyTarget,6月28号前借给 Daisy {0}（还差 {1}）,
UI.DayPerview.2,"天气还不错……
前有爱情？莫名其妙有这种感觉！",
UI.DayPerview.3,下午喝到了不错的奶茶。,
UI.DayPerview.4,"时隔三天，再次回到网络替身的岗位……
不想工作啊，想去音乐节……",
UI.DayPerview.5,休息日过得太快了……,
UI.DayPerview.7,"距离上次快要一周了啊……
感觉这周又是什么都没干。",
UI.DayPerview.8,烟花啊……希望不要下雨……,
UI.DayPerview.9,落枕了……头还有点晕。,
UI.PopUp.Warning,警告,
UI.PopUp.SaveError,"警告
保存失败",
UI.PopUp.QuitGameTips,"是否要退出？
<color=#A69884>（未保存的进度将不再存在）",
UI.PopUp.SaveToAutoProfileTips,无法保存到自动存档,
UI.PopUp.OverrideProfileTips,是否覆盖存档?,
UI.PopUp.DontSaveAndExit,"不保存当天的存档
（警告：自动存档中的数据会被覆盖）",
UI.PopUp.RestartTips,是否开始新游戏?,
UI.PopUp.ProfileError,错误：无法加载此存档,
UI.PopUp.ReturnToMenu,回到开始菜单,
