location,source,target
NilBack.Nil.2,有办法了！,
NilBack.Nil.3,我可以帮你登上那个 Will 的账号,
NilBack.Nil.4,你用他的身份去和客人聊天,
NilBack.Monologue.5,用他的身份……,
NilBack.Typing.6,这家伙好像在公司里也是个人嫌狗厌的角色啊,
NilBack.Nil.7,考验你演技的时候到了,
NilBack.Nil.8,背叛者的忠诚才更加动人,
NilBack.Nil.9,不是吗？,
NilBack.Typing.10,（笑）,
NilBack.Nil.11,（笑）,
NilBack.Nil.12,加油啊，敲键盘的大哥哥,
NilBack.Nil.201,不要忘了网络替身的工作秘籍之五,
NilBack.Nil.202,不知道做什么的时候,
NilBack.Nil.203,就进攻吧,
NilBack.Typing.204,好的,
NilBack.Typing.205,爬,
NilBack.Typing.206,还有别的秘籍吗,
NilBack.Nil.207,当然,
NilBack.Nil.208,我之前和你提过的之三,
NilBack.Nil.209,还有超终极绝杀之九,
NilBack.Typing.210,都是奇数啊,
NilBack.Nil.211,这不是重点！,
NilBack.Typing.13.1,说来，就这样登上他的账号没关系吗,
NilBack.Typing.14,你不是每次都要给他们推一个免责协议,
NilBack.Nil.15,哦，那是个没有法律效力的协议,
NilBack.Nil.16,旨在达成一个商业共识,
NilBack.Nil.17,他们出钱，我们办事,
NilBack.Nil.18,如果客户真捅到TT那里去，要用别的办法,
NilBack.Typing.19,好吧,
NilBack.Nil.20,加油喵,
NilBack.Typing.13.2,/好的,
NilBack.Nil.22,对了，我突然想起来这玩意儿似乎有一些可靠性上的问题,
NilBack.Typing.23.1,什么意思,
NilBack.Typing.23.2,说人话,
NilBack.Typing.23.3,如果我给你一个地基的剪力,
NilBack.Nil.101,艹，什么玩意儿,
NilBack.Nil.26,就是在多开的时候会出问题,
NilBack.Nil.27,简单来说，我替你保留了 Norida 的账号,
NilBack.Nil.28,喏，就是这样了,
NilBack.Nil.29,在左边这一栏切分好了你们三个人的号,
NilBack.Nil.102,现在应该只显示了你和 Nori 的,
NilBack.Nil.103,Will 的号在同步数据,
NilBack.Nil.104,这个聊天软件老土豆了，等一会儿就好,
NilBack.Nil.105,不过一但你和某个人开始聊天以后就不能换号了,
NilBack.Nil.106,比方说用 Will 和 Viz 聊了,
NilBack.Nil.107,Norida 和 Viz 的窗口就会被锁住,
NilBack.Nil.108,Frank 那边也是一样，只能用 Will 或者 Norida 其中一人找他聊,
NilBack.Nil.109,总之就这几个人的这点事,
NilBack.Nil.110,你要是没看明白就翻回来再读读,
NilBack.Nil.111,我今天可是有一场大战要打,
NilBack.Nil.112,一会儿可能就离线了,
NilBack.Typing.113,为啥？,
NilBack.Nil.114,哼↑↓好问题,
NilBack.Nil.115,因为战意在我的血液里燃烧,
NilBack.Nil.116,当时针越过山巅,
NilBack.Nil.117,所有的限制都将不复存在！,
NilBack.Nil.118,哇哈哈哈哈——！,
NilBack.Typing.119,没，我说为啥不能换号,
NilBack.Nil.120,呃，这么做会违背因果律造成时空紊乱,
NilBack.Nil.121,时光警察会把我们抓进抽屉里,
NilBack.Nil.32,你真要听吗,
NilBack.Typing.33.1,你说吧,
NilBack.Nil.34,我是创建了一个新的实例覆盖在原来的 UI 上实现多开的,
NilBack.Nil.35,但是不知道为什么只要把这个实例显示出来,
NilBack.Nil.36,聊天软件就会崩溃捏,
NilBack.Typing.37,好的,
NilBack.Typing.33.2,算了,
NilBack.Nil.39,好的，搭档,
NilBack.Nil.40,你这一单谈的多少钱啊？,
NilBack.Typing.41.1,六十万,
NilBack.Nil.42,还不错嘛,
NilBack.Typing.43,仅仅是不错吗？,
NilBack.Monologue.44,怎么感觉这家伙最近没心思搞钱了……,
NilBack.Nil.45,哦，挺多的，足够你啃几年的鸭脖了我猜,
NilBack.Typing.46,哈？？,
NilBack.Nil.47,这距离你在麻园买一套房的梦想迈出了坚实而渺远的一步,
NilBack.Nil.48,六十万可以买一个好的厕所了应该,
NilBack.Monologue.49,……,
NilBack.Typing.50.1,我不会买房的,
NilBack.Typing.50.2,求你别说了,
NilBack.Typing.52,我看到什么都不会，呃，后面我忘了,
NilBack.Typing.53,反正泪流满面,
NilBack.Nil.54,好的，小建筑师,
NilBack.Typing.41.2,我不告诉你,
NilBack.Nil.56,随便你！,
NilBack.Nil.57,反正偷税的时候我都会知道的,
NilBack.Monologue.58,差不多干正事吧。,
NilBack.Monologue.59,这次的替身可以在两人之间选择。,
NilBack.Monologue.60,不过别忘了一旦使用某人的身份后开始聊天后就不能再切换身份。,
NilBack.Monologue.61,好——,
NilBack.Monologue.62,Will，启动！！,
NilBack.Todo.63,从好友列表中寻找线索,
