location,source,target
MikitoLynn.Tips.1,你好，我是 Lynn，我们现在可以开始聊天了。,
MikitoLynn.Typing.2,我是 Will 的朋友,
MikitoLynn.Typing.3,我想知道 Will 的下落,
MikitoLynn.Lynn.4,你终于来了,
MikitoLynn.Lynn.5,我一直在等你,
MikitoLynn.Monologue.6,……,
MikitoLynn.Monologue.7,这不是我自己的号吗？,
MikitoLynn.Lynn.8,我知道你会来,
MikitoLynn.Typing.9.1,为什么？,
MikitoLynn.Typing.9.2,我是谁？,
MikitoLynn.Lynn.11,去找他吧,
MikitoLynn.Lynn.12,去那个没有痛苦和思念的地方,
MikitoLynn.Monologue.13,……,
MikitoLynn.Typing.14.1,呃？,
MikitoLynn.Typing.15,这是什么意思呢？,
MikitoLynn.Typing.14.2,你不妨说得明白一点,
MikitoLynn.Lynn.17,我也不知道是哪里,
MikitoLynn.Lynn.18,他说如果有人问起的话，就这样告诉那个人,
MikitoLynn.Todo.0,Will 在那个没有痛苦和思念的地方,
MikitoLynn.Lynn.19,虽然挺吃醋的,
MikitoLynn.Lynn.20,还是希望你能找到他,
MikitoLynn.Lynn.21,他是个很好的编剧,
MikitoLynn.Lynn.22,是个好男人,
MikitoLynn.Lynn.23,你要珍惜,
MikitoLynn.Typing.24.1,你有收到过一份剧本吗？,
MikitoLynn.Lynn.25,没有,
MikitoLynn.Typing.24.2,/好的,
MikitoLynn.Typing.27,那天晚上到底发生了什么，17号机械洲的酒会,
MikitoLynn.Lynn.28,我闯进他家,
MikitoLynn.Lynn.29,一口干了他床头的半瓶化妆水,
MikitoLynn.Lynn.30,然后我们在医院度过了一个如梦似幻但是难忘的夜晚,
MikitoLynn.Lynn.31,说真的，我永远不会忘记那个晚上,
MikitoLynn.Lynn.32,好了,
MikitoLynn.Lynn.33,我的工作结束了,
MikitoLynn.Lynn.34,祝你好运,
