location,source,target
OutsideHolly2.InteractTips,这个人……？,
OutsideHolly2.InteractTips.2,Holly 不走吗？,
OutsideHolly2.Holly.1,竟然是你。,
OutsideHolly2.Miki.2,你是？,
OutsideHolly2.Holly.3,Holly。,
OutsideHolly2.Holly.4,不久前我们在这里见过面。,
OutsideHolly2.Miki.5,（啊，是之前那个在路边哭的女生。）,
OutsideHolly2.Miki.6,（变化好大。）,
OutsideHolly2.Holly.7,没想到还会再见到你。,
OutsideHolly2.Holly.8,请留步。,
OutsideHolly2.Holly.9,你就是大名鼎鼎的 Miki 吧。,
OutsideHolly2.Holly.10,常用 IP 池特征 34755。,
OutsideHolly2.Miki.11.1,什么意思？,
OutsideHolly2.Miki.11.2,认错人了吧。,
OutsideHolly2.Holly.13,你违反限制法案，利用赛博生命从事非法网络替身活动。,
OutsideHolly2.Holly.14,以及勾结赛博生命组织、开发利用非法 AI 软件等。,
OutsideHolly2.Holly.15,数罪并罚。,
OutsideHolly2.Holly.16,跟我走一趟吧。,
OutsideHolly2.Miki.17,……,
OutsideHolly2.Holly.18,……,
OutsideHolly2.Holly.19,怎么样？,
OutsideHolly2.Holly.20,这个玩笑。,
OutsideHolly2.Miki.21.1,很吓人。,
OutsideHolly2.Holly.22,哈哈，是有点。,
OutsideHolly2.Miki.21.2,我已经习惯了。,
OutsideHolly2.Miki.24,这种对话经常发生。,
OutsideHolly2.Holly.25,为什么？,
OutsideHolly2.Miki.26,我也想知道为什么。,
OutsideHolly2.Holly.27,其实这也不算是个玩笑。,
OutsideHolly2.Holly.28,我现在是 TT 的员工。,
OutsideHolly2.Holly.29,在你眼里可能可笑。,
OutsideHolly2.Holly.30,我自己都觉得实在荒唐。,
OutsideHolly2.Miki.31.1,恭喜你。,
OutsideHolly2.Holly.32,根本没什么可喜的，唉。,
OutsideHolly2.Miki.31.2,要在 TT 长干吗？,
OutsideHolly2.Holly.34,我不知道。,
OutsideHolly2.Holly.35,如果可以的话，应该会一直待下去。,
OutsideHolly2.Miki.31.3,不说话。,
OutsideHolly2.Holly.37,TT 那边发了你们的单子。,
OutsideHolly2.Holly.38,你和你背后的那个组织都被盯上了。,
OutsideHolly2.Holly.39,我虽然把单子点了。,
OutsideHolly2.Holly.40,说不定复审的时候又会被上面的调查员揪出来。,
OutsideHolly2.Holly.41,我劝你们避避风头。,
OutsideHolly2.Holly.42,这阵子到处都在撒人。,
OutsideHolly2.Holly.43,不想被下一个 FINDER 找上的话——,
OutsideHolly2.Holly.44,就暂时别活动了。,
OutsideHolly2.Holly.45,当然，你的替身活动确实帮了我的忙。,
OutsideHolly2.Miki.46.1,现在我们是共犯了。,
OutsideHolly2.Holly.47,没有，我把这段经历隐瞒掉了。,
OutsideHolly2.Miki.46.2,我会注意的。,
OutsideHolly2.Holly.49,嗯。,
OutsideHolly2.Holly.50,你自己做决定吧。,
OutsideHolly2.Holly.51,（小声）这样我也就不欠你了。,
OutsideHolly2.Miki.52,什么？,
OutsideHolly2.Holly.53,你该走了。,
OutsideHolly2.Miki.54,好吧。,
OutsideHolly2.Miki.55,……,
OutsideHolly2.Holly.56,对了，你对这个地址有什么印象吗？,
OutsideHolly2.Miki.57,这是什么？,
OutsideHolly2.Holly.58,不知道吗……,
OutsideHolly2.Holly.59,没什么了，走吧。,
OutsideHolly2.Holly.60,我还有点事情要办。,
OutsideHolly2.Miki.61.1,拜拜。,
OutsideHolly2.Miki.61.2,再想想工作的事情吧。,
OutsideHolly2.Holly.63,好，我会的。,
OutsideHolly2.Miki.61.3,下次什么时候见？,
OutsideHolly2.Holly.65,我不知道。,
OutsideHolly2.Holly.66,也许不要再见比较好。,
OutsideHolly2.Holly.67,（……）,
OutsideHolly2.Holly.68,（只要……只要这样的话……）,
OutsideHolly2.Holly.69,（就能……变得幸福吗……）,
OutsideHolly2.Holly.70,Miki。,
OutsideHolly2.Miki.71,嗯？,
OutsideHolly2.Holly.72,拿上这个吧。,
OutsideHolly2.Holly.73,你以后可能会用到？,
OutsideHolly2.Miki.74,啊？,
OutsideHolly2.Holly.75,希望你不要用到。,
OutsideHolly2.Holly.76,快走吧。,
OutsideHolly2.Miki.77.1,拜托，是你要见我诶。,
OutsideHolly2.Holly.78,我的错。,
OutsideHolly2.Holly.79,我之后会弥补。,
OutsideHolly2.Miki.80,啊——倒是——,
OutsideHolly2.Holly.81,请离开吧。,
OutsideHolly2.Miki.82,（……）,
OutsideHolly2.Miki.77.2,让我离开的原因是？,
OutsideHolly2.Holly.84,因为我没办法下定决心。,
OutsideHolly2.Holly.85,是个软弱的半吊子。,
OutsideHolly2.Holly.86,如果我和你一样有勇气——,
OutsideHolly2.Holly.87,算了，这不重要。,
